Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Andoljsek;545000;SLV;1937;1990;1990;1990;3;5;8192;1;0;5;1;LVladimir_Andoljsek;1937;1960;1999;x
Cerni;545001;SLV;1941;1947;1961;1990;1;7;1024;2;0;5;1;LJosip_Cerni;1941;1970;1999;x
Debeljak;545002;SLV;1936;1990;1990;1990;3;5;8192;1;0;5;1;LJanko_Debeljak;1936;1961;1999;x
Kern;545003;SLV;1938;1945;1990;1990;2;7;4096;2;0;5;1;SLV-KR_Ivan_Kern;1938;1964;1999;x
Levicnik;545004;SLV;1943;1945;1950;1990;1;8;4096;2;0;5;1;LKarel_Levicnik;1943;1965;1999;x
Levicnik;545005;SLV;1943;1945;1950;1990;1;8;64;2;0;5;0;LKarel_Levicnik;1943;1965;1999;x
Masera;545006;SLV;1943;1990;1990;1990;3;5;0;1;0;5;1;LSergej_Masera;1943;1970;1999;x
Rojs;545007;SLV;1941;1990;1990;1990;3;5;2048;1;0;5;1;LSrecko_Rojs;1941;1970;1999;x
Rustja;545008;SLV;1946;1990;1990;1990;3;6;0;1;0;5;1;LFranjo_Rustja;1946;1970;1999;x
Saje B.;545009;SLV;1942;1990;1990;1990;3;5;2048;1;0;5;1;LBaldomir_Saje;1942;1970;1999;x
Saje R.;545010;SLV;1947;1990;1990;1990;3;5;1024;1;0;5;1;LRadoslav_Saje;1947;1970;1999;x
Salher;545011;SLV;1921;1990;1990;1990;3;4;512;2;0;5;1;LRichard_Salcher;1921;1940;1999;x
Tomsic;545012;SLV;1941;1990;1990;1990;3;5;0;1;0;5;1;L46036;1941;1970;1999;x
Kraigher;545013;SLV;1936;1947;1990;1990;3;6;0;2;0;5;2;LGeorge_Kraigher;1936;1956;1999;x
Krizaj;545014;SLV;1946;1990;1990;1990;3;5;0;1;0;5;2;LJosip_Krizaj;1946;1970;1999;x
Pirc;545015;SLV;1941;1945;1990;1990;3;5;4096;1;0;5;2;SLV-KR_France_Pirc;1941;1964;1999;x
Poljanec;545016;SLV;1945;1990;1990;1990;3;4;20480;1;0;5;2;LSava_Poljanec;1945;1970;1999;x
Ulepic;545017;SLV;1944;1947;1956;1990;1;6;16384;1;0;5;2;LZdenko_Ulepic;1944;1970;1999;x
Vidmar;545018;SLV;1936;1990;1990;1990;3;5;8192;1;0;5;2;LGianni_Widmer;1936;1957;1999;x
Andrejka;545019;SLV;1935;1990;1990;1990;3;5;16;1;0;5;0;LViktor_Andrejka;1935;1946;1999;x
Armic;545020;SLV;1940;1990;1990;1990;3;4;2;1;0;5;0;LBogumil_Armic;1940;1955;1999;x
Avsic;545021;SLV;1942;1944;1990;1990;2;5;5;1;0;5;0;SLV-KR_Jakob_Avsic;1942;1961;1999;x
Bencic;545022;SLV;1944;1956;1990;1990;2;4;34;0;0;5;0;LDragomir_Bencic;1944;1970;1999;x
Bozic;545023;SLV;1943;1990;1990;1990;3;4;256;1;0;5;0;LIvan_Bozic;1943;1959;1999;x
Dekaneva;545024;SLV;1936;1990;1990;1990;3;5;0;1;0;5;0;LLinus_Dekaneva;1936;1948;1999;x
Janez;545025;SLV;1939;1990;1990;1990;3;6;64;2;0;5;0;LFerdinand_Janez;1939;1951;1999;x
Jerman;545026;SLV;1947;1990;1990;1990;3;4;129;0;0;5;0;LMirko_Jerman;1947;1970;1999;x
