Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Barre;921740;U40;1945;1947;1990;1990;2;3;1;1;0;5;0;M575026;1945;1960;1999;x
Burzagli;921741;U40;1938;1946;1990;1990;3;4;16;1;0;4;0;L6012;1938;1960;1999;x
de Simone;921742;U40;1930;1937;1990;1990;2;4;128;1;0;5;0;L6058;1930;1960;1999;x
Gherzi;921743;U40;1938;1990;1990;1990;3;3;0;0;0;4;0;L6079;1938;1960;1999;x
Graziani;921744;U40;1930;1930;1930;1937;0;5;1;2;0;5;0;L6084;1930;1945;1999;x
Greenacre;921745;U40;1941;1990;1990;1990;3;5;256;0;0;5;0;L1147;1941;1960;1999;x
Hill;921746;U40;1942;1990;1990;1990;3;5;4;0;0;5;0;L1162;1942;1960;1999;x
Johnson;921747;U40;1939;1990;1990;1990;3;5;514;1;0;5;0;L1177;1939;1945;1999;x
McCreery;921748;U40;1939;1943;1946;1990;2;6;128;3;0;5;0;L1216;1939;1960;1999;x
Orlando;921749;U40;1938;1943;1990;1990;2;4;0;1;0;5;0;L6111;1938;1960;1999;x
Pesenti;921750;U40;1930;1930;1990;1990;2;5;768;1;0;5;0;M575006;1930;1946;1999;x
Romero;921751;U40;1930;1940;1990;1990;2;3;0;1;0;4;0;L6127;1930;1960;1999;x
Sandford;921752;U40;1942;1990;1990;1990;3;7;16;1;0;5;0;M575019;1942;1960;1999;x
Soames;921753;U40;1939;1942;1990;1990;2;5;0;1;0;5;0;L1283;1939;1960;1999;x
Trezzani;921754;U40;1930;1938;1945;1990;1;5;4;2;0;4;0;L6138;1930;1960;1999;x
Burrogh;921755;U40;1939;1943;1990;1990;2;6;1024;1;0;5;1;L1330;1939;1960;1999;x
Gasparri;921756;U40;1930;1938;1990;1990;2;3;4096;1;0;4;1;L6171;1930;1960;1999;x
Gould-Bradford;921757;U40;1941;1990;1990;1990;3;5;0;0;0;5;1;L1349;1941;1960;1999;x
Mascherpa;921758;U40;1930;1939;1990;1990;2;4;8192;1;0;5;1;L6179;1930;1960;1999;x
Whitby;921759;U40;1940;1990;1990;1990;3;5;0;0;0;5;1;L1405;1940;1960;1999;x
Vaccarella;921760;U40;1938;1990;1990;1990;3;3;0;0;0;5;1;L6192;1938;1960;1999;x
di Ferro;921761;U40;1930;1943;1990;1990;3;3;131072;1;0;3;2;L6206;1930;1960;1999;x
Fairweather;921762;U40;1941;1990;1990;1990;3;5;0;0;0;5;2;L1439;1941;1960;1999;x
Glenlay;921763;U40;1941;1990;1990;1990;3;3;4096;0;0;5;2;L575023;1941;1960;1999;x
Oxland;921764;U40;1939;1942;1990;1990;3;5;0;1;0;5;2;L1466;1939;1960;1999;x
Rezza;921765;U40;1930;1938;1990;1990;2;3;0;1;0;5;2;L6228;1930;1945;1999;x
Rostron;921766;U40;1939;1944;1990;1990;3;6;16384;1;0;5;2;L1476;1939;1960;1999;x
Santini;921767;U40;1930;1930;1941;1990;1;4;0;1;0;3;2;L6232;1930;1960;1999;x
Silvestri;921768;U40;1937;1945;1990;1990;2;5;65536;1;0;4;2;L6234;1937;1960;1999;x
Visconti;921769;U40;1940;1990;1990;1990;3;5;4096;0;0;5;2;L6237;1940;1960;1999;x
