Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Armstrong;450000;SAF;1938;1944;1990;1990;3;5;1;1;0;5;0;L450000;1938;1958;1999;x
Bester;450001;SAF;1944;1990;1990;1990;3;5;1;1;0;5;0;L450001;1944;1970;1999;x
Beyers;450002;SAF;1937;1945;1949;1990;1;6;1;2;0;5;0;LLeonard_Beyers;1937;1959;1999;x
Borain;450003;SAF;1940;1990;1990;1990;3;4;262144;1;0;5;0;L450003;1940;1957;1999;x
Botha, H.N.W.;450004;SAF;1915;1940;1990;1990;2;5;640;2;0;5;0;L450004;1915;1945;1999;x
Brink, A.J.E.;450005;SAF;1920;1922;1937;1990;1;7;768;3;0;5;0;L450005;1920;1946;1999;x
Brink, G.E.;450006;SAF;1936;1940;1946;1990;1;7;1;3;0;5;0;L450006;1936;1955;1999;x
Buchanan;450007;SAF;1940;1990;1990;1990;3;4;8388608;1;0;5;0;L450007;1940;1953;1999;x
Cooper;450008;SAF;1938;1990;1990;1990;3;5;4;1;0;5;0;L450008;1938;1954;1999;x
de Villiers;450009;SAF;1939;1943;1990;1990;3;5;2;2;0;5;0;L450009;1939;1957;1999;x
du Toit;450010;SAF;1942;1946;1990;1990;2;7;68;2;0;5;0;L450010;1942;1970;1999;x
Furstenburg;450011;SAF;1940;1946;1990;1990;3;6;128;2;0;5;0;L450011;1940;1970;1999;x
Gilbert;450012;SAF;1944;1990;1990;1990;3;5;256;1;0;5;0;L450012;1944;1964;1999;x
Hartshorn;450013;SAF;1942;1990;1990;1990;3;4;256;1;0;4;0;L450013;1942;1959;1999;x
Hayton;450014;SAF;1941;1990;1990;1990;3;5;262144;1;0;5;0;L450014;1941;1960;1999;x
Hoare;450015;SAF;1933;1939;1990;1990;2;5;544;2;0;5;0;L450015;1933;1945;1999;x
Collyer;450016;SAF;1930;1930;1990;1990;2;6;514;3;0;5;0;L450016;1930;1941;1999;x
Klopper;450017;SAF;1942;1944;1946;1990;1;5;4;3;0;5;0;LHendrik_Klopper;1942;1968;1999;x
Kriegler;450018;SAF;1941;1990;1990;1990;3;5;4;1;0;5;0;L450018;1941;1963;1999;x
Mitchell-Baker;450019;SAF;1930;1944;1990;1990;2;4;513;1;0;5;0;L450019;1930;1945;1999;x
Newton-King;450020;SAF;1943;1990;1990;1990;3;6;128;1;0;5;0;L450020;1943;1965;1999;x
