Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Anderson;914100;U06;1930;1930;1990;1990;2;6;513;1;0;5;0;L573000;1930;1943;1999;x
Atkinson;914101;U06;1940;1944;1990;1990;2;7;256;1;0;5;0;L573001;1940;1960;1999;x
Austin;914102;U06;1941;1943;1990;1990;2;6;128;1;0;5;0;M573042;1941;1960;1999;x
Baker;914103;U06;1942;1990;1990;1990;3;4;0;0;0;5;0;L573003;1942;1960;1999;x
Barber;914104;U06;1943;1990;1990;1990;3;5;128;0;0;5;0;L573004;1943;1960;1999;x
Barry;914105;U06;1940;1943;1990;1990;2;5;2;1;0;5;0;L573005;1940;1960;1999;x
Black;914106;U06;1942;1990;1990;1990;3;4;1;0;0;5;0;L573006;1942;1960;1999;x
Bradley;914107;U06;1942;1990;1990;1990;3;4;128;0;0;5;0;L573007;1942;1960;1999;x
Breidster;914108;U06;1930;1940;1944;1990;1;7;5;2;0;5;0;L573008;1930;1960;1999;x
Browning;914109;U06;1938;1942;1990;1990;2;5;64;1;0;5;0;L573009;1938;1960;1999;x
Brownley;914110;U06;1930;1990;1990;1990;3;3;0;0;0;5;0;L573010;1930;1944;1999;x
Carlson;914111;U06;1943;1990;1990;1990;3;5;256;0;0;5;0;L573011;1943;1960;1999;x
Coutts;914112;U06;1940;1943;1990;1990;2;6;256;1;0;5;0;L573012;1940;1960;1999;x
Deas;914113;U06;1943;1990;1990;1990;3;4;1;0;0;5;0;L573013;1943;1960;1999;x
Deauville;914114;U06;1941;1990;1990;1990;3;4;0;0;0;5;0;L573014;1941;1960;1999;x
Denhardt;914115;U06;1930;1930;1990;1990;2;5;2;1;0;5;0;L573015;1930;1960;1999;x
DeWeese;914116;U06;1930;1938;1990;1990;2;4;0;1;0;5;0;L573016;1930;1960;1999;x
Ellis;914117;U06;1930;1990;1990;1990;3;4;514;1;0;5;0;L573017;1930;1942;1999;x
Elmore;914118;U06;1938;1942;1990;1990;2;5;2;1;0;5;0;L573018;1938;1960;1999;x
Fleming;914119;U06;1938;1990;1990;1990;3;4;0;0;0;5;0;L573019;1938;1960;1999;x
Graves;914120;U06;1930;1930;1930;1990;1;5;0;1;0;5;0;M573007;1930;1960;1999;x
Haldeman;914121;U06;1930;1930;1930;1990;1;8;514;1;0;5;0;L573021;1930;1942;1999;x
Hamilton;914122;U06;1942;1990;1990;1990;3;6;128;0;0;5;0;L573022;1942;1960;1999;x
Hoffman;914123;U06;1930;1990;1990;1990;3;3;0;0;0;5;0;L573023;1930;1960;1999;x
Hutchison;914124;U06;1930;1940;1990;1990;2;6;4;1;0;5;0;L573024;1930;1960;1999;x
Jarman;914125;U06;1939;1939;1990;1990;2;3;0;0;0;5;0;L573025;1939;1960;1999;x
Jones;914126;U06;1930;1990;1990;1990;3;5;0;0;0;5;0;L573026;1930;1960;1999;x
Jouett;914127;U06;1930;1930;1930;1990;1;6;515;1;0;5;0;M573008;1930;1943;1999;x
Kehoe;914128;U06;1938;1990;1990;1990;3;3;0;0;0;5;0;L573028;1938;1960;1999;x
Knox;914129;U06;1930;1930;1930;1990;1;5;514;1;0;5;0;L573029;1930;1942;1999;x
Lee;914130;U06;1930;1930;1990;1990;2;5;32;0;0;5;0;L573030;1930;1960;1999;x
Lindsey;914131;U06;1939;1990;1990;1990;3;5;16;0;0;5;0;L573031;1939;1960;1999;x
Lloyd;914132;U06;1938;1942;1990;1990;2;6;4;1;0;5;0;L573032;1938;1960;1999;x
May;914133;U06;1939;1943;1990;1990;2;4;0;1;0;5;0;L573033;1939;1960;1999;x
McAllister;914134;U06;1938;1990;1990;1990;3;4;1;0;0;5;0;L573034;1938;1960;1999;x
McClain;914135;U06;1930;1939;1990;1990;2;5;32;1;0;5;0;L573035;1930;1960;1999;x
McMurphy;914136;U06;1930;1930;1990;1990;2;6;514;1;0;5;0;L573036;1930;1941;1999;x
Morris;914137;U06;1930;1930;1990;1990;2;3;514;1;0;5;0;L573037;1930;1945;1999;x
Murray;914138;U06;1930;1940;1942;1990;1;6;64;2;0;5;0;M573041;1930;1960;1999;x
Pattison;914139;U06;1930;1990;1990;1990;3;4;1;0;0;5;0;L573039;1930;1946;1999;x
Polin;914140;U06;1930;1939;1941;1990;1;4;4;2;0;5;0;M573043;1930;1960;1999;x
Rexroad;914141;U06;1930;1990;1990;1990;3;4;2;0;0;5;0;L573041;1930;1960;1999;x
Rivers;914142;U06;1930;1990;1990;1990;3;6;16;0;0;5;0;L573042;1930;1944;1999;x
Sanderson;914143;U06;1940;1990;1990;1990;3;4;1;0;0;5;0;L573043;1940;1960;1999;x
Schuler;914144;U06;1941;1990;1990;1990;3;6;4;0;0;5;0;L573044;1941;1960;1999;x
Van Holt Nash;914145;U06;1930;1930;1930;1990;1;3;513;2;0;5;0;L573045;1930;1941;1999;x
Wark G.;914146;U06;1930;1930;1930;1930;0;5;1;1;0;5;0;L573046;1930;1960;1999;x
Wark H.;914147;U06;1930;1930;1990;1990;2;4;1;0;0;5;0;L573047;1930;1943;1999;x
Wilder;914148;U06;1930;1990;1990;1990;3;2;0;0;0;5;0;L573048;1930;1945;1999;x
Williams;914149;U06;1938;1941;1943;1990;1;6;128;2;0;5;0;M573045;1938;1960;1999;x
Bourne;914150;U06;1930;1930;1990;1990;2;5;1536;1;0;5;1;M573009;1930;1960;1999;x
Bullard;914151;U06;1941;1990;1990;1990;3;4;1024;0;0;5;1;L573051;1941;1960;1999;x
Burnside;914152;U06;1941;1990;1990;1990;3;4;2048;0;0;5;1;L573052;1941;1960;1999;x
Eisert;914153;U06;1930;1930;1940;1990;1;5;4096;1;0;5;1;M573046;1930;1960;1999;x
Holgreve;914154;U06;1942;1990;1990;1990;3;4;0;0;0;5;1;L573054;1942;1960;1999;x
Powers;914155;U06;1930;1939;1941;1990;1;6;8192;2;0;5;1;M573048;1930;1960;1999;x
Spinks;914156;U06;1938;1942;1990;1990;2;5;4096;1;0;5;1;L573056;1938;1960;1999;x
Stoddard;914157;U06;1938;1942;1990;1990;2;6;8192;1;0;5;1;L573057;1938;1960;1999;x
Thomas;914158;U06;1940;1990;1990;1990;3;3;0;0;0;5;1;L573058;1940;1960;1999;x
Ardery;914159;U06;1937;1941;1943;1990;1;6;32768;2;0;5;2;M573049;1937;1960;1999;x
Axtell;914160;U06;1943;1990;1990;1990;3;5;8192;0;0;5;2;L573060;1943;1960;1999;x
Bahling;914161;U06;1943;1990;1990;1990;3;5;0;0;0;5;2;L573061;1943;1960;1999;x
Balskus;914162;U06;1943;1990;1990;1990;3;4;65536;0;0;5;2;L573062;1943;1960;1999;x
Bredister;914163;U06;1930;1990;1990;1990;3;4;0;0;0;5;2;L573063;1930;1960;1999;x
Ellis;914164;U06;1930;1990;1990;1990;3;4;512;1;0;5;2;L573017;1930;1942;1999;x
Faulkenberry;914165;U06;1939;1942;1990;1990;2;5;4096;1;0;5;2;M573051;1939;1960;1999;x
Hawkins;914166;U06;1941;1990;1990;1990;3;4;0;0;0;5;2;L573066;1941;1960;1999;x
Jellen;914167;U06;1940;1990;1990;1990;3;4;4096;0;0;5;2;L573067;1940;1960;1999;x
McAllister;914168;U06;1930;1930;1990;1990;2;4;0;0;0;5;2;L573068;1930;1960;1999;x
Moore;914169;U06;1941;1990;1990;1990;3;4;0;0;0;5;2;L573069;1941;1960;1999;x
O'Sullivan;914170;U06;1939;1990;1990;1990;3;5;4096;0;0;5;2;L573070;1939;1960;1999;x
Thomas;914171;U06;1940;1990;1990;1990;3;4;131072;0;0;5;2;L573058;1940;1960;1999;x
Vuchterle;914172;U06;1930;1990;1990;1990;3;5;16384;0;0;5;2;L573072;1930;1960;1999;x
Walker;914173;U06;1930;1930;1939;1990;1;6;16384;1;0;5;2;M573010;1930;1943;1999;x
Principe;914174;U06;1942;1990;1990;1990;3;3;65536;1;0;5;2;Principe;1942;1990;1999;x
Preu;914175;U06;1943;1990;1990;1990;2;5;32768;1;0;5;2;Preu;1943;1990;1999;x
Rodwin;914176;U06;1930;1990;1990;1990;3;2;0;1;0;5;0;Rodwin;1930;1990;1999;x
Rudman;914177;U06;1930;1990;1990;1990;3;1;0;0;0;5;1;Rudman;1930;1990;1999;x
Slifkin;914178;U06;1941;1990;1990;1990;3;2;131072;1;0;5;2;Slifkin;1941;1990;1999;x
Weingrad;914179;U06;1939;1990;1990;1990;3;2;0;0;0;5;0;Weingrad;1939;1990;1999;x
Ryan;914180;U06;1930;1990;1990;1990;3;5;0;1;0;5;1;Thomas_J_Ryan;1930;1990;1999;x
DeBlanc;914181;U06;1941;1990;1990;1990;3;4;4096;1;0;5;2;DeBlanc;1941;1990;1999;x
Gayler;914182;U06;1930;1990;1990;1990;3;3;4096;1;0;5;2;Gayler;1930;1990;1999;x
Hofer;914183;U06;1930;1990;1990;1990;3;3;0;1;0;5;2;Hofer;1930;1990;1999;x
Holloway;914184;U06;1930;1990;1990;1990;1;4;32768;1;0;5;2;Holloway;1930;1990;1999;x
McCampbell;914185;U06;1930;1990;1990;1990;3;4;135680;1;0;5;2;McCampbell;1930;1990;1999;x
O'Hare;914186;U06;1930;1990;1990;1990;3;2;0;1;0;5;2;Ohare;1930;1990;1999;x
Preddy;914187;U06;1939;1990;1990;1990;3;7;69632;2;0;5;2;Preddy;1939;1990;1999;x
Rector;914188;U06;1939;1990;1990;1990;3;3;0;1;0;5;2;Rector;1939;1963;1999;x
Scott;914189;U06;1930;1990;1990;1990;2;5;4096;1;0;5;2;Scott;1930;1990;1999;x
Anderson;914190;U06;1930;1990;1990;1990;3;3;0;1;0;5;1;CSA_Anderson;1930;1990;1999;x
Bagley;914191;U06;1930;1990;1990;1990;1;7;512;3;2;5;1;Bagley;1930;1990;1999;x
Barfoot;914192;U06;1940;1990;1990;1990;3;2;0;0;0;5;0;Barfoot;1940;1990;1999;x
Barrow;914193;U06;1930;1990;1990;1990;3;5;0;1;0;5;0;Barrow;1930;1990;1999;x
Beahan;914194;U06;1930;1990;1990;1990;3;3;0;1;0;5;0;Beahan;1930;1990;1999;x
Blair;914195;U06;1930;1990;1990;1990;3;2;0;1;0;5;1;Blair;1930;1990;1999;x
Bonnyman;914196;U06;1942;1990;1990;1990;3;2;0;1;0;5;0;Bonnyman;1942;1990;1999;x
Brannon;914197;U06;1941;1990;1990;1990;3;1;0;0;0;5;1;Brannon;1941;1990;1999;x
Brice;914198;U06;1930;1990;1990;1990;1;6;131072;2;0;5;2;Brice;1930;1956;1999;x
Briscoe;914199;U06;1930;1990;1990;1990;1;7;0;2;0;5;1;Briscoe;1930;1990;1999;x
Cates;914200;U06;1930;1990;1990;1990;3;7;256;3;0;5;0;Cates;1930;1990;1999;x
Commiskey;914201;U06;1944;1990;1990;1990;3;3;0;1;0;5;0;Commiskey;1944;1990;1999;x
Coolidge;914202;U06;1941;1990;1990;1990;3;2;256;0;0;5;0;Coolidge;1941;1990;1999;x
Crommelin;914203;U06;1930;1990;1990;1990;3;5;0;1;0;5;1;Crommelin;1930;1990;1999;x
Dailey;914204;U06;1941;1990;1990;1990;3;2;0;0;0;5;0;Dailey;1941;1990;1999;x
Darby;914205;U06;1941;1990;1990;1990;3;2;0;0;0;5;0;Darby;1941;1990;1999;x
Doss;914206;U06;1939;1990;1990;1990;3;1;0;0;0;5;0;Doss;1939;1990;1999;x
Dunaway;914207;U06;1943;1990;1990;1990;3;3;256;1;0;5;0;Dunaway;1943;1990;1999;x
Dyess;914208;U06;1930;1990;1990;1990;3;3;0;1;0;5;0;Dyess;1930;1944;1999;x
Elrod;914209;U06;1931;1990;1990;1990;3;3;131072;1;0;5;2;Elrod;1931;1941;1999;x
Ferebee;914210;U06;1942;1990;1990;1990;3;2;32768;1;0;5;2;Ferebee;1942;1970;1999;x
Freeman;914211;U06;1930;1990;1990;1990;3;5;0;1;0;5;1;Freeman;1930;1990;1999;x
George_Gay;914212;U06;1937;1990;1990;1990;3;3;0;1;0;5;1;George_Gay;1937;1990;1999;x
Gilmore;914213;U06;1930;1990;1990;1990;3;3;8192;1;0;5;1;Gilmore;1930;1943;1999;x
Grant;914214;U06;1930;1990;1990;1990;2;4;0;1;0;5;2;CSA_Grant;1930;1990;1999;x
Gribble;914215;U06;1937;1990;1990;1990;2;4;32;1;0;5;0;Gribble;1937;1990;1999;x
Harris;914216;U06;1930;1990;1990;1990;1;5;0;1;0;5;0;Harris;1930;1990;1999;x
Herren;914217;U06;1930;1990;1990;1990;3;6;1;1;0;5;0;Herren;1930;1990;1999;x
Herring;914218;U06;1942;1990;1990;1990;2;5;0;1;0;5;1;Herring;1942;1990;1999;x
Hogaboom;914219;U06;1930;1990;1990;1990;3;5;0;1;0;5;0;Hogaboom;1930;1990;1999;x
Holloway III;914220;U06;1941;1990;1990;1990;1;5;65536;1;0;5;1;Holloway_III;1941;1990;1999;x
Huff;914221;U06;1938;1990;1990;1990;3;5;0;1;0;5;0;CSA_Huff;1938;1990;1999;x
Hughes;914222;U06;1942;1990;1990;1990;3;2;0;;0;5;0;Hughes;1942;1943;1999;x
Jackson;914223;U06;1942;1990;1990;1990;3;3;0;1;0;5;0;Joe_M_Jackson;1942;1990;1999;x
Kennemore;914224;U06;1940;1990;1990;1990;3;2;0;0;0;5;0;Kennemore;1940;1951;1999;x
King;914225;U06;1930;1990;1990;1990;3;5;2;1;0;5;0;Edward_P_King;1930;1958;1999;x
Kinser;914226;U06;1942;1990;1990;1990;3;2;0;0;0;5;0;Kinser;1942;1945;1999;x
Lipton;914227;U06;1942;1990;1990;1990;3;3;0;1;0;5;0;Lipton;1942;1990;1999;x
Mabry;914228;U06;1937;1990;1990;1990;3;4;0;1;0;5;0;Mabry;1937;1990;1999;x
McCain;914229;U06;1930;1990;1990;1990;1;5;1536;1;0;5;1;CSA_McCain;1930;1945;1999;x
McAfee;914230;U06;1930;1990;1990;1990;3;2;0;1;0;5;0;McAfee;1930;1990;1999;x
McGaha;914231;U06;1937;1990;1990;1990;3;3;32;1;0;5;0;McGaha;1937;1990;1999;x
Moncla;914232;U06;1945;1990;1990;1990;3;3;0;1;0;5;0;Moncla;1945;1953;1999;x
