Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Absaliamov;9800;SOV;1940;1990;1990;1990;2;4;0;1;0;5;0;L9800;1940;1960;1999;x
Afanasiev;9801;SOV;1940;1990;1990;1990;3;4;0;1;0;5;0;L9801;1940;1946;1999;x
Afrosimov;9802;SOV;1930;1990;1990;1990;3;6;64;1;0;5;0;L9802;1930;1942;1999;x
Ahlyustin;9803;SOV;1939;1990;1990;1990;3;5;0;1;0;5;0;L9803;1939;1941;1999;x
Ahmanov;9804;SOV;1940;1944;1990;1990;2;5;0;2;0;5;0;L9804;1940;1960;1999;x
Alekhin;9805;SOV;1930;1990;1990;1990;3;8;524;1;0;5;0;L9805;1930;1945;1999;x
Alekseev;9806;SOV;1942;1943;1990;1990;2;6;128;2;0;5;0;L9806;1942;1944;1999;x
Alekseenko;9807;SOV;1939;1990;1990;1990;3;6;0;1;0;5;0;L9807;1939;1941;1999;x
Alexandrov;9808;SOV;1939;1990;1990;1990;3;6;64;1;0;5;0;L9808;1939;1945;1999;x
Andreev;9809;SOV;1942;1945;1990;1990;3;6;0;2;0;5;0;L9809;1942;1960;1999;x
Anisimov;9810;SOV;1942;1944;1946;1990;2;6;0;3;0;5;0;L9810;1942;1960;1999;x
Anikushkin;9811;SOV;1942;1990;1990;1990;3;6;128;1;0;5;0;L9811;1942;1960;1999;x
Antonov  A.I.;9812;SOV;1940;1942;1943;1990;1;7;0;3;0;5;0;L9812;1940;1960;1999;x
Antonov  V.S.;9813;SOV;1944;1990;1990;1990;3;4;0;1;0;5;0;L9813;1944;1960;1999;x
Apanasenko;9814;SOV;1930;1930;1941;1990;1;6;0;2;0;5;0;L9814;1930;1943;1999;x
Argunov;9815;SOV;1942;1944;1990;1990;2;7;24;2;0;5;0;L9815;1944;1960;1999;x
Artemenko;9816;SOV;1940;1990;1990;1990;3;4;2;1;0;5;0;L9816;1940;1942;1999;x
Artijushenko;9817;SOV;1943;1990;1990;1990;3;5;0;1;0;5;0;L9817;1943;1960;1999;x
Aseichev;9818;SOV;1940;1990;1990;1990;3;5;1;1;0;5;0;L9818;1940;1942;1999;x
Aslanov;9819;SOV;1944;1990;1990;1990;3;4;128;1;0;5;0;L9819;1944;1946;1999;x
Babadzhanian;9820;SOV;1945;1947;1990;1990;3;7;128;2;0;5;0;L9820;1945;1960;1999;x
Babayan;9821;SOV;1944;1990;1990;1990;3;4;0;1;0;5;0;L9821;1944;1960;1999;x
Badanov;9822;SOV;1940;1942;1944;1990;2;7;128;3;0;5;0;L9822;1940;1960;1999;x
Bagramian;9823;SOV;1940;1941;1943;1990;2;7;5;3;0;5;0;L9823;1940;1960;1999;x
Baharov;9824;SOV;1942;1990;1990;1990;3;5;0;1;0;5;0;L9824;1942;1944;1999;x
Bahmetiev;9825;SOV;1942;1945;1990;1990;3;6;128;2;0;5;0;L9825;1942;1960;1999;x
Bakunin;9826;SOV;1940;1941;1990;1990;2;6;32;2;0;5;0;L9826;1940;1960;1999;x
Baranov  S.V.;9827;SOV;1939;1990;1990;1990;2;5;0;1;0;5;0;L9827;1939;1941;1999;x
Baranov  V.I.;9828;SOV;1940;1944;1990;1990;3;8;128;2;0;5;0;L9828;1940;1960;1999;x
Barinov;9829;SOV;1940;1943;1946;1990;2;6;4;3;0;5;0;L9829;1940;1960;1999;x
Batitskij;9830;SOV;1943;1946;1990;1990;2;6;0;2;0;5;0;L9830;1943;1960;1999;x
Batiuk;9831;SOV;1941;1990;1990;1990;3;4;8;1;0;5;0;L9831;1941;1943;1999;x
Batiuna;9832;SOV;1942;1944;1945;1990;2;6;1;3;0;5;0;L9832;1942;1960;1999;x
Batov;9833;SOV;1937;1941;1944;1990;2;7;256;3;0;5;0;L9833;1937;1960;1999;x
Beletsko;9834;SOV;1944;1990;1990;1990;3;4;0;1;0;5;0;L9834;1944;1960;1999;x
Belik;9835;SOV;1944;1947;1990;1990;3;5;0;2;0;5;0;L9835;1944;1960;1999;x
Beloborodov;9836;SOV;1941;1944;1945;1990;2;6;0;3;0;5;0;L9836;1941;1960;1999;x
Belous;9837;SOV;1930;1990;1990;1990;3;6;8;1;0;5;0;L9837;1930;1946;1999;x
Belov  E.E.;9838;SOV;1943;1944;1990;1990;2;6;0;2;0;5;0;L9838;1943;1960;1999;x
Belov  I.P.;9839;SOV;1930;1930;1930;1990;1;6;0;1;0;5;0;L9839;1930;1943;1999;x
Belov  P.A.;9840;SOV;1940;1942;1944;1990;2;6;1;3;0;5;0;L9840;1940;1960;1999;x
Belov  S.I.;9841;SOV;1930;1930;1990;1990;2;6;128;1;0;5;0;L9841;1930;1944;1999;x
Berezin;9842;SOV;1943;1990;1990;1990;3;4;0;1;0;5;0;L9842;1943;1960;1999;x
Berman;9843;SOV;1930;1930;1990;1990;2;6;4;1;0;5;0;L9843;1930;1944;1999;x
Berzarin;9844;SOV;1930;1938;1943;1990;1;7;4;3;0;5;0;L9844;1930;1960;1999;x
Bikzhanov;9845;SOV;1940;1942;1990;1990;2;4;0;2;0;5;0;L9845;1940;1960;1999;x
Biriuzov;9846;SOV;1940;1943;1944;1990;1;7;2;3;0;5;0;L9846;1940;1960;1999;x
Biryukov;9847;SOV;1940;1942;1944;1990;2;6;1;3;0;5;0;L9847;1940;1960;1999;x
Blagodatov;9848;SOV;1941;1944;1990;1990;3;6;1;2;0;5;0;L9848;1941;1960;1999;x
Blücher;9849;SOV;1930;1930;1930;1930;0;5;516;1;0;3;0;L9849;1930;1943;1999;x
Bochenkov;9850;SOV;1930;1938;1990;1990;2;5;2;2;0;5;0;L9850;1930;1942;1999;x
Bogdanov  I.A.;9851;SOV;1938;1941;1990;1990;3;5;0;2;0;5;0;L9851;1938;1942;1999;x
Bogdanov  S.I.;9852;SOV;1942;1943;1944;1945;1;9;128;4;0;5;0;L9852;1942;1960;1999;x
Boldin;9853;SOV;1937;1940;1944;1990;2;7;0;3;0;5;0;L9853;1937;1960;1999;x
Bolotnikov;9854;SOV;1940;1942;1990;1990;3;4;128;2;0;5;0;L9854;1940;1943;1999;x
Bondarev;9855;SOV;1939;1943;1990;1990;2;6;16;2;0;5;0;L9855;1939;1960;1999;x
Borisov;9856;SOV;1939;1990;1990;1990;3;4;0;1;0;5;0;L9856;1939;1941;1999;x
Borzikov;9857;SOV;1940;1990;1990;1990;3;6;128;1;0;5;0;L9857;1940;1960;1999;x
Borzilov;9858;SOV;1939;1990;1990;1990;3;6;640;1;0;5;0;L9858;1939;1941;1999;x
Brezhnev;9859;SOV;1944;1990;1990;1990;3;5;0;1;0;5;0;L9859;1944;1960;1999;x
Briukov;9860;SOV;1942;1945;1990;1990;3;6;256;2;0;5;0;L9860;1942;1960;1999;x
Budennij;9861;SOV;1930;1930;1930;1930;0;5;512;1;0;5;0;L9861;1930;1960;1999;x
Budyho;9862;SOV;1939;1990;1990;1990;3;5;0;1;0;5;0;L9862;1939;1941;1999;x
Bulatov;9863;SOV;1939;1990;1990;1990;3;3;0;1;0;5;0;L9863;1939;1960;1999;x
Bulganin;9864;SOV;1941;1942;1944;1947;1;4;0;4;0;5;0;L9864;1941;1960;1999;x
Bunjashin;9865;SOV;1943;1990;1990;1990;3;4;0;1;0;5;0;L9865;1943;1960;1999;x
Burkov;9866;SOV;1942;1943;1990;1990;2;4;0;2;0;5;0;L9866;1942;1960;1999;x
Butkov;9867;SOV;1942;1943;1990;1990;2;6;128;2;0;5;0;L9867;1942;1960;1999;x
Chepurkin;9868;SOV;1944;1946;1990;1990;3;4;1;2;0;5;0;L9868;1944;1960;1999;x
Cheremisov;9869;SOV;1940;1945;1990;1990;2;6;4;2;0;5;0;L9869;1940;1960;1999;x
Cherepanov;9870;SOV;1930;1938;1990;1990;2;6;0;2;0;5;0;L9870;1940;1960;1999;x
Cherevichenko;9871;SOV;1930;1939;1941;1990;1;6;1;3;0;5;0;L9871;1930;1960;1999;x
Cherniaev;9872;SOV;1940;1990;1990;1990;3;4;2;1;0;5;0;L9872;1940;1942;1999;x
Cherniakhovskij;9873;SOV;1942;1943;1944;1990;2;8;0;3;0;5;0;L9873;1942;1970;1999;x
Chernoburov;9874;SOV;1943;1990;1990;1990;3;6;32;1;0;5;0;L9874;1943;1945;1999;x
Chernov;9875;SOV;1940;1990;1990;1990;3;4;0;1;0;5;0;L9875;1940;1945;1999;x
Chernyak;9876;SOV;1930;1940;1990;1990;2;6;0;2;0;5;0;L9876;1930;1960;1999;x
Cherokmanov;9877;SOV;1941;1945;1990;1990;3;6;4;2;0;5;0;L9877;1941;1960;1999;x
Chibisov;9878;SOV;1939;1940;1943;1990;1;7;16;3;0;5;0;L9878;1939;1960;1999;x
Chistyakov  M.N.;9879;SOV;1940;1941;1942;1944;1;8;0;4;0;5;0;L9879;1940;1960;1999;x
Chistyakov  V.I.;9880;SOV;1939;1990;1990;1990;3;4;0;1;0;5;0;L9880;1939;1941;1999;x
Chuikov;9881;SOV;1938;1940;1943;1990;1;9;11;4;0;5;0;L9881;1938;1960;1999;x
Dalmatov;9882;SOV;1941;1990;1990;1990;3;7;256;1;0;5;0;L9882;1941;1960;1999;x
Dedaev;9883;SOV;1939;1990;1990;1990;3;4;2;1;0;5;0;L9883;1939;1941;1999;x
Deev;9884;SOV;1930;1990;1990;1990;3;5;256;1;0;5;0;L9884;1930;1944;1999;x
Dement'ev;9885;SOV;1930;1939;1990;1990;3;5;64;2;0;5;0;L9885;1930;1942;1999;x
Denisenko;9886;SOV;1943;1990;1990;1990;3;5;4;1;0;5;0;L9886;1943;1960;1999;x
Denisov;9887;SOV;1941;1990;1990;1990;3;5;128;1;0;5;0;L9887;1941;1943;1999;x
Devyatov;9888;SOV;1941;1990;1990;1990;3;4;4;1;0;5;0;L9888;1941;1943;1999;x
Dobroserdov;9889;SOV;1939;1990;1990;1990;3;4;0;1;0;5;0;L9889;1939;1941;1999;x
Dratvin;9890;SOV;1940;1943;1990;1990;2;6;16;2;0;5;0;L9890;1940;1960;1999;x
Dubovoy;9891;SOV;1943;1990;1990;1990;3;5;0;1;0;5;0;L9891;1943;1960;1999;x
Dudarev;9892;SOV;1942;1990;1990;1990;3;6;256;1;0;5;0;L9892;1942;1960;1999;x
Dukhov;9893;SOV;1945;1990;1990;1990;3;6;128;1;0;5;0;L9893;1945;1960;1999;x
Dybenko;9894;SOV;1930;1930;1990;1990;2;6;513;1;0;5;0;L9894;1930;1943;1999;x
Efremov;9895;SOV;1930;1940;1990;1990;2;6;0;2;0;5;0;L9895;1930;1942;1999;x
Yegorov  A.I.;9896;SOV;1930;1930;1930;1930;0;8;514;2;0;5;0;L9896;1930;1943;1999;x
Egorov  E.A.;9897;SOV;1939;1990;1990;1990;3;4;4;1;0;5;0;L9897;1939;1941;1999;x
Egorov  D.G.;9898;SOV;1940;1990;1990;1990;3;5;0;1;0;5;0;L9898;1940;1942;1999;x
Egorov  P.G.;9899;SOV;1939;1990;1990;1990;3;4;0;1;0;5;0;L9899;1939;1941;1999;x
Eideman;9900;SOV;1930;1930;1930;1990;1;6;9;1;0;5;0;L9900;1930;1943;1999;x
