Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Aakerhielm;9000;SWE;1941;1990;1990;1990;3;3;0;0;0;4;0;L9000;1941;1960;1999;x
af Klercker;9001;SWE;1930;1930;1930;1990;1;4;514;1;0;5;0;L9001;1930;1939;1999;x
Andrén;9002;SWE;1930;1990;1990;1990;3;3;32;0;0;4;0;L9002;1930;1943;1999;x
Backlund;9003;SWE;1944;1990;1990;1990;3;4;1;0;0;5;0;L9003;1944;1960;1999;x
Bennedich;9004;SWE;1930;1990;1990;1990;3;3;64;0;0;4;0;L9004;1930;1940;1999;x
Bredberg;9005;SWE;1940;1942;1990;1990;2;4;0;1;0;5;0;L9005;1940;1960;1999;x
Cederskiöld;9006;SWE;1939;1990;1990;1990;3;4;0;0;0;5;0;L9006;1939;1960;1999;x
Douglas;9007;SWE;1930;1942;1944;1990;1;6;4;2;0;3;0;L9007;1930;1946;1999;x
Ehrensvärd CA.;9008;SWE;1939;1943;1945;1990;1;7;12;3;0;4;0;L9008;1939;1960;1999;x
Gadd  H.;9009;SWE;1930;1942;1990;1990;3;3;0;1;0;4;0;L9009;1930;1946;1999;x
Gadd  S.;9010;SWE;1944;1990;1990;1990;3;4;64;0;0;5;0;L9010;1944;1960;1999;x
Gyllenkrok;9011;SWE;1930;1990;1990;1990;3;4;2;0;0;3;0;L9011;1930;1940;1999;x
Hagelberg;9012;SWE;1938;1942;1990;1990;3;4;24;1;0;3;0;L9012;1938;1960;1999;x
Hamilton;9013;SWE;1930;1990;1990;1990;3;4;12;1;0;5;0;L9013;1930;1941;1999;x
Holmquist;9014;SWE;1930;1930;1990;1990;2;3;8;0;0;4;0;L9014;1930;1942;1999;x
Högberg;9015;SWE;1943;1990;1990;1990;3;4;0;0;0;5;0;L9015;1943;1960;1999;x
Jung;9016;SWE;1942;1944;1990;1990;1;5;12;0;0;4;0;L9016;1942;1960;1999;x
