Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abrash;528000;SYR;1936;1990;1990;1990;3;2;0;0;0;5;0;M528054;1936;1960;1999;x
al-Aslan;528001;SYR;1936;1990;1990;1990;3;2;0;0;0;5;0;L528001;1936;1960;1999;x
al-Fiqri;528002;SYR;1936;1990;1990;1990;3;2;16;0;0;5;0;L528002;1936;1960;1999;x
al-Gawzi;528003;SYR;1930;1930;1930;1990;1;3;576;1;0;5;0;M528024;1930;1946;1999;x
al-Quawugji;528004;SYR;1930;1943;1990;1990;2;2;2;1;0;5;0;M528049;1930;1960;1999;x
al-Shishakli;528005;SYR;1937;1942;1945;1990;2;3;0;2;0;5;0;M528051;1937;1960;1999;x
al-Zaim;528006;SYR;1930;1942;1945;1990;2;3;0;2;0;5;0;M528047;1930;1949;1999;x
Amiel;528007;SYR;1930;1941;1944;1990;2;5;128;2;0;5;0;M528007;1930;1960;1999;x
Ballarin;528008;SYR;1930;1943;1990;1990;2;4;1;1;0;5;0;L528008;1930;1960;1999;x
Mangin;528017;SYR;1940;1990;1990;1990;3;3;4;0;0;5;0;L528017;1940;1960;1999;x
Salvat;528020;SYR;1938;1940;1943;1990;2;3;0;2;0;5;0;M528036;1938;1960;1999;x
Sharba;528021;SYR;1943;1990;1990;1990;3;2;1;0;0;5;0;L528021;1943;1960;1999;x
Stahl;528022;SYR;1939;1990;1990;1990;3;4;256;0;0;5;0;L528022;1939;1960;1999;x
Tourkmani;528023;SYR;1944;1990;1990;1990;3;2;128;0;0;5;0;L528023;1944;1960;1999;x
Verheust;528024;SYR;1930;1990;1990;1990;3;5;257;0;0;5;0;L528024;1930;1960;1999;x
Abrash;528025;SYR;1942;1945;1990;1990;2;2;0;1;0;5;1;M528054;1942;1960;1999;x
al-Gawzi;528026;SYR;1930;1930;1930;1990;1;1;8704;0;0;5;1;M528024;1930;1946;1999;x
Carré de Lusancay;528027;SYR;1930;1990;1990;1990;3;2;0;0;0;5;1;M528009;1930;1960;1999;x
Yusuf Al-Azma;528037;SYR;1930;1990;1990;1990;2;4;262160;2;0;7;0;Yusuf_Al_Azma;1930;1948;1999;x
al-Shishakli;528028;SYR;1936;1942;1990;1990;2;2;0;1;0;5;2;M528051;1936;1960;1999;x
Johani;528033;SYR;1944;1990;1990;1990;3;2;0;0;0;5;2;L528033;1944;1960;1999;x
Silu;528034;SYR;1943;1946;1950;1990;1;4;2;2;0;5;0;M528061;1943;1960;1999;x
Hinnawi;528035;SYR;1942;1944;1990;1990;2;3;1;1;0;5;0;M528076;1942;1950;1999;x
al Razi;528036;SYR;1948;1951;1990;1990;2;2;0;1;0;5;2;M528077;1948;1960;1999;x
