Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Rank 3 Year;End Year;Retirement Year;x
Arflack;571000;TEX;1930;1990;1990;1990;3;4;128;0;0;5;0;L571000;1930;1960;1999;x
Arnold;571001;TEX;1930;1930;1990;1990;2;5;4;1;0;5;0;M571023;1930;1960;1999;x
Ashcroft;571002;TEX;1930;1930;1946;1990;2;6;128;2;0;5;0;M571026;1930;1960;1999;x
Baker;571003;TEX;1930;1990;1990;1990;3;3;0;0;0;5;0;L571003;1930;1960;1999;x
Bisson;571004;TEX;1930;1990;1990;1990;3;7;256;0;0;5;0;L571004;1930;1960;1999;x
Collins;571005;TEX;1930;1939;1990;1990;2;5;128;1;0;5;0;L571005;1930;1960;1999;x
Densford;571006;TEX;1930;1990;1990;1990;3;4;32;0;0;5;0;L571006;1930;1960;1999;x
Ellis;571007;TEX;1930;1990;1990;1990;3;4;16;0;0;5;0;L571007;1930;1960;1999;x
Etheredge;571008;TEX;1930;1930;1990;1990;3;6;4;1;0;5;0;L571008;1930;1960;1999;x
Finn;571009;TEX;1930;1941;1990;1990;2;5;64;1;0;5;0;L571009;1930;1960;1999;x
Goodwin;571010;TEX;1930;1990;1990;1990;3;3;0;0;0;5;0;L571010;1930;1960;1999;x
Hicks;571011;TEX;1930;1990;1990;1990;3;4;4;0;0;5;0;L571011;1930;1960;1999;x
Kennedy;571012;TEX;1930;1990;1990;1990;3;3;0;0;0;5;0;L571012;1930;1945;1999;x
Kimball;571013;TEX;1930;1990;1990;1990;3;4;256;0;0;5;0;L571013;1930;1960;1999;x
Knox;571014;TEX;1930;1930;1930;1990;1;5;64;3;0;5;0;M571007;1930;1960;1999;x
McAllister;571015;TEX;1930;1930;1990;1990;2;5;32;1;0;5;0;L571015;1930;1960;1999;x
Myers;571016;TEX;1930;1940;1990;1990;2;7;4;1;0;5;0;L571016;1930;1960;1999;x
Ricketts;571017;TEX;1930;1930;1930;1990;1;5;4;1;0;5;0;M571008;1930;1960;1999;x
Stockman;571018;TEX;1930;1930;1930;1990;1;6;514;1;0;5;0;M571025;1930;1946;1999;x
Taylor;571019;TEX;1930;1930;1990;1990;2;6;1;1;0;5;0;L571019;1930;1960;1999;x
Wallace;571020;TEX;1930;1940;1990;1990;2;4;1;1;0;5;0;L571020;1930;1960;1999;x
Watt-Page;571021;TEX;1930;1930;1930;1990;1;7;6;2;0;5;0;L571021;1930;1960;1999;x
Bush;571022;TEX;1939;1943;1990;1990;2;6;1024;1;0;5;1;M571027;1939;1960;1999;x
Emerson;571023;TEX;1930;1990;1990;1990;3;5;8192;0;0;5;1;M571014;1930;1960;1999;x
Pedersen;571024;TEX;1930;1990;1990;1990;3;7;0;0;0;5;1;L571024;1930;1960;1999;x
Pollard;571025;TEX;1930;1930;1939;1990;1;6;4096;1;0;5;1;M571009;1930;1960;1999;x
Scholl;571026;TEX;1930;1990;1990;1990;3;5;0;0;0;5;1;L571026;1930;1960;1999;x
Sharp;571027;TEX;1930;1990;1990;1990;3;4;2048;0;0;5;1;L571027;1930;1960;1999;x
Willard;571028;TEX;1930;1930;1942;1990;1;6;0;2;0;5;1;M571011;1930;1960;1999;x
Armington;571029;TEX;1930;1930;1942;1990;1;6;32768;2;0;5;2;M571010;1930;1960;1999;x
Ash;571030;TEX;1930;1990;1990;1990;3;4;0;0;0;5;2;L571030;1930;1960;1999;x
Collins;571031;TEX;1930;1938;1990;1990;2;6;16384;1;0;5;2;M571028;1930;1960;1999;x
Dehnert;571032;TEX;1930;1990;1990;1990;3;5;65536;0;0;5;2;L571032;1930;1960;1999;x
Lee;571033;TEX;1930;1990;1990;1990;3;5;0;0;0;5;2;L571033;1930;1960;1999;x
Soffer;571034;TEX;1930;1990;1990;1990;3;5;0;0;0;5;2;L571034;1930;1960;1999;x
Turner;571035;TEX;1930;1990;1990;1990;3;5;4096;0;0;5;2;L571035;1930;1960;1999;x
Warren;571036;TEX;1930;1990;1990;1990;3;6;4096;0;0;5;2;L571036;1930;1960;1999;x
Willard;571037;TEX;1930;1940;1942;1990;1;5;131072;2;0;5;2;M571011;1930;1960;1999;x
Winston;571038;TEX;1930;1990;1990;1990;3;4;4096;0;0;5;2;L571038;1930;1960;1999;x
Veal;571039;TEX;1939;1943;1990;1990;2;4;0;1;0;5;2;L571039;1939;1960;1999;x
Murphy;571040;TEX;1930;1930;1930;1990;2;8;261;4;0;5;0;Murphy;1930;1990;1999;x
Celotto;571041;TEX;1930;1990;1990;1990;3;3;0;1;0;5;2;Celotto;1930;1990;1999;x
Korn;571042;TEX;1930;1990;1990;1990;3;2;65536;0;0;5;2;Korn;1930;1990;1999;x
Adams;571043;TEX;1942;1990;1990;1990;3;1;256;0;0;5;0;Adams;1942;1990;1999;x
Davis;571044;TEX;1930;1990;1990;1990;3;3;4096;1;0;5;2;George_Andrew_Davis;1930;1990;1999;x
Tex Hill;571045;TEX;1930;1990;1990;1990;3;3;4096;1;0;5;2;Tex_Hill;1930;1990;1999;x
Johnson;571046;TEX;1941;1990;1990;1990;3;5;69632;2;0;5;2;Robert_S_Johnson;1941;1990;1999;x
Kearby;571047;TEX;1943;1990;1990;1990;3;4;0;1;0;5;2;Kearby;1943;1990;1999;x
Momyer;571048;TEX;1938;1990;1990;1990;1;5;0;1;0;5;2;Momyer;1938;1990;1999;x
Patton;571049;TEX;1930;1930;1930;1941;1;9;148;5;0;5;0;L60294;1930;1960;1999;x
LeMay;571050;TEX;1930;1930;1942;1990;3;9;36864;2;0;4;2;L60532;1930;1960;1999;x
Halsey;571051;TEX;1930;1930;1942;1945;1;9;12288;4;0;5;1;L60414;1930;1947;1999;x
Lindbergh;571052;TEX;1930;1930;1939;1943;2;7;4096;3;0;5;2;M6020;1930;1960;1999;x
Miller;571053;TEX;1930;1990;1990;1990;3;2;0;0;0;5;0;Leslie_A_Miller;1930;1990;1999;x
Jordan;571054;TEX;1930;1990;1990;1990;3;2;0;0;0;5;0;Len_B_Jordan;1930;1990;1999;x
Metcalf;571055;TEX;1946;1990;1990;1990;3;2;0;0;0;5;0;Lee_Metcalf;1946;1990;1999;x
Simpson;571056;TEX;1930;1990;1990;1990;3;2;0;0;0;5;0;Milward_Lee_Simpson;1930;1990;1999;x
Hickey;571057;TEX;1942;1990;1990;1990;3;2;0;0;0;5;0;John_J_Hickey;1942;1990;1999;x
Bonner;571058;TEX;1944;1990;1990;1990;3;3;0;1;0;5;0;John_W_Bonner;1944;1990;1999;x
Johnson;571059;TEX;1930;1990;1990;1990;3;2;8192;0;0;5;2;Bob_Johnson;1930;1990;1999;x
Hugo;571060;TEX;1946;1990;1990;1990;3;1;32768;0;0;5;2;Richard_Hugo;1946;1990;1999;x
Love;571061;TEX;1930;1990;1990;1990;3;4;4096;0;0;5;2;John_Arthur_Love;1930;1990;1999;x
Barrett;571062;TEX;1930;1990;1990;1990;3;2;0;0;0;5;2;Frank_A_Barrett;1930;1990;1999;x
Thatcher;571063;TEX;1946;1990;1990;1990;3;3;32768;0;0;5;2;David_J_Thatcher;1946;1990;1999;x
Nutter;571064;TEX;1945;1990;1990;1990;3;4;32768;1;0;5;2;Donald_G_Nutter;1945;1990;1999;x
McNichols;571065;TEX;1930;1990;1990;1990;3;1;0;0;0;5;1;Stephen_McNichols;1930;1990;1999;x
Burke;571066;TEX;1930;1990;1990;1990;3;6;4608;4;0;5;1;U66_Burke;1930;1990;1999;x
Smylie;571067;TEX;1945;1990;1990;1990;3;1;0;0;0;5;1;Robert_Smylie;1945;1990;1999;x
Zemke;571068;TEX;1930;1990;1990;1990;3;4;4096;1;0;5;2;Zemke;1930;1990;1999;x
Bucher;571069;TEX;1947;1990;1990;1990;3;5;0;1;0;5;1;U66_Bucher;1947;1990;1999;x
Worden;571070;TEX;1930;1990;1990;1990;3;3;0;1;0;5;0;Worden;1930;1990;1999;x
Bocuzzi;571071;TEX;1930;1990;1990;1990;3;2;0;1;0;5;2;Bocuzzi;1930;1990;1999;x
Walker;571072;TEX;1945;1990;1990;1990;3;2;2048;0;0;5;1;Walker;1945;1990;1999;x
Agerholm;571073;TEX;1942;1990;1990;1990;3;1;0;0;0;5;0;Agerholm;1942;1990;1999;x
Nolan;571074;TEX;1930;1990;1990;1990;3;3;196608;0;0;5;2;Nolan;1930;1990;1999;x
Davis;571075;TEX;1930;1990;1990;1990;3;2;131072;0;0;5;2;Davis;1930;1990;1999;x
Rothenberg;571076;TEX;1930;1990;1990;1990;3;2;131072;0;0;5;2;Rothenberg;1930;1990;1999;x
Richards;571077;TEX;1930;1990;1990;1990;3;2;131072;0;0;5;2;Richards;1930;1990;1999;x
Propst;571078;TEX;1930;1990;1990;1990;3;2;131072;0;0;5;2;Propst;1930;1990;1999;x
Mrus;571079;TEX;1930;1990;1990;1990;3;2;0;1;0;5;0;Mrus;1930;1990;1999;x
Cannon;571080;TEX;1930;1990;1990;1990;3;4;0;1;0;5;0;George_H_Cannon;1930;1990;1999;x
Roberts;571081;TEX;1930;1990;1990;1990;3;5;0;1;0;5;0;Harold_C_Roberts;1930;1990;1999;x
Roberts;571082;TEX;1930;1990;1990;1990;3;5;0;1;0;5;1;Harold_C_Roberts;1930;1990;1999;x
Foss;571083;TEX;1940;1940;1942;1990;3;4;4096;1;0;5;2;Joe_Foss;1940;1990;1999;x
Schilling;571084;TEX;1930;1990;1990;1990;3;2;0;1;0;5;2;USA_Schilling;1930;1990;1999;x
Armstrong;571085;TEX;1930;1990;1990;1990;2;6;131072;1;0;5;2;USA_Armstrong;1930;1990;1999;x
Balch;571086;TEX;1930;1930;1990;1990;3;7;1536;3;3;5;1;Balch;1930;1990;1999;x
Bestwick;571087;TEX;1930;1990;1990;1990;3;2;0;0;0;5;0;Bestwick;1930;1990;1999;x
Black;571088;TEX;1930;1990;1990;1990;3;2;0;1;0;5;1;Delbert_Black;1930;1990;1999;x
Cary;571089;TEX;1930;1990;1990;1990;3;6;512;3;3;5;1;Cary;1930;1990;1999;x
