Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Wangchen Geleg Surkhang;150000;TIB;1938;1990;1990;1990;3;2;0;0;0;4;0;L150020_Wangchen Geleg;1938;1990;1999;x
Tsoko;150001;TIB;1930;1930;1990;1990;1;3;516;1;0;4;0;L150021_Tsoko;1930;1990;1999;x
Tsarong;150002;TIB;1930;1930;1930;1990;1;4;514;1;0;4;0;L150022_Tsarong;1930;1990;1999;x
Tendong Shappe;150003;TIB;1930;1930;1990;1990;2;3;513;1;0;4;0;L150023_Tendong Shappe;1930;1990;1999;x
Ruthog;150006;TIB;1930;1990;1990;1990;3;2;0;0;0;4;0;L150024_Ruthog;1930;1990;1999;x
Ragashar;150007;TIB;1940;1990;1990;1990;3;2;0;0;0;4;0;L150025_Ragashar;1940;1990;1999;x
Namseling;150008;TIB;1930;1990;1990;1990;3;2;0;0;0;4;0;L150026_Namseling;1930;1990;1999;x
Lhawang Tobgyal Surkhang;150009;TIB;1942;1942;1990;1990;1;3;8;0;0;4;0;L150027_Lhawang Tobgyal;1942;1990;1999;x
Khyungram Theji;150010;TIB;1930;1990;1990;1990;2;2;513;0;0;4;0;L150028_Khyungram;1930;1990;1999;x
Jigme Taring;150011;TIB;1938;1990;1990;1990;2;3;2;2;0;4;0;L150029_Jigme Taring uniforme;1938;1990;1999;x
Doring Theji;150012;TIB;1930;1990;1990;1990;2;3;8;1;0;4;0;L150030_Doring Theiji;1930;1990;1999;x
Dingja;150013;TIB;1930;1930;1990;1990;2;3;514;0;0;4;0;L150031_Dingja;1930;1990;1999;x
Changra Depon;150014;TIB;1930;1930;1930;1990;3;2;576;0;0;4;0;L150032_Changra Depon;1930;1990;1999;x
Yuthok;150015;TIB;1938;1990;1990;1990;1;4;4;1;0;4;0;L150033_Yuthok;1938;1990;1999;x
Tobygal Pangdatsang;150016;TIB;1940;1990;1990;1990;1;3;32;1;0;4;0;;1940;1990;1999;x
Ngapo Ngawang Jigme;150017;TIB;1940;1940;1990;1990;1;4;16;1;0;4;0;L150009;1940;1990;1999;x
Bapa Yeshe;150018;TIB;1944;1944;1990;1990;2;3;256;0;0;4;0;L150001;1944;1990;1999;x
Andruk Gonpo Tashi;150019;TIB;1942;1944;1990;1990;1;4;257;1;0;4;0;L150035_Gompo Tashi Andrugtsang;1942;1990;1999;x
Gyato Wangdu;150020;TIB;1944;1944;1990;1990;2;3;260;1;0;4;0;L150036_Gyato Wangdu;1944;1990;1999;x
Tsoko;150021;TIB;1930;1930;1990;1990;3;2;0;0;0;4;1;L150021_Tsoko;1930;1990;1999;x
Ruthog;150022;TIB;1930;1990;1990;1990;3;2;0;0;0;4;1;L150024_Ruthog;1930;1990;1999;x
Jigme Taring;150023;TIB;1938;1990;1990;1990;2;3;0;0;0;4;1;L150029_Jigme Taring uniforme;1938;1990;1999;x
Bapa Yeshe;150024;TIB;1944;1944;1990;1990;2;3;0;0;0;4;1;L150001;1944;1990;1999;x
Namseling;150025;TIB;1930;1990;1990;1990;3;2;0;0;0;4;2;L150026_Namseling;1930;1990;1999;x
Tendong Shappe;150026;TIB;1930;1930;1990;1990;3;2;0;0;0;4;2;L150023_Tendong Shappe;1930;1990;1999;x
Yuthok;150027;TIB;1938;1990;1990;1990;2;3;0;0;0;4;2;L150033_Yuthok;1938;1990;1999;x
Gyato Wangdu;150028;TIB;1944;1944;1990;1990;2;3;0;0;0;4;2;L150036_Gyato Wangdu;1944;1990;1999;x
