Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abakumov;523000;TRA;1930;1990;1990;1990;3;2;0;0;0;5;0;M523027;1930;1970;1999;x
Baikoff;523001;TRA;1930;1990;1990;1990;3;4;520;1;0;5;0;L523001;1930;1970;1999;x
Borshevski;523002;TRA;1930;1930;1930;1990;1;3;513;1;0;5;0;Barshevski;1930;1970;1999;x
Naumsky;523003;TRA;1930;1990;1990;1990;3;3;128;0;0;5;0;Naumsky;1930;1970;1999;x
Rokotov;523004;TRA;1930;1990;1990;1990;3;3;32;0;0;5;0;Rokotov;1930;1970;1999;x
Chebykimov;523005;TRA;1930;1930;1990;1990;2;2;64;0;0;5;0;M523037;1930;1970;1999;x
Clausius;523006;TRA;1930;1930;1990;1990;2;3;512;1;0;5;0;L523006;1930;1970;1999;x
Daletski;523007;TRA;1930;1990;1990;1990;3;2;1;0;0;5;0;L523007;1930;1970;1999;x
Rogatkin;523008;TRA;1930;1990;1990;1990;3;2;0;0;0;5;0;Rogatkin;1930;1970;1999;x
Fokine;523009;TRA;1930;1930;1990;1990;2;2;8;0;0;5;0;M523008;1930;1970;1999;x
Gapon;523010;TRA;1930;1990;1990;1990;3;3;256;0;0;5;0;M523045;1930;1970;1999;x
Hadjiev;523011;TRA;1930;1930;1939;1990;2;4;16;1;0;5;0;M523038;1930;1970;1999;x
Hvorostrovski;523012;TRA;1930;1930;1990;1990;2;3;256;1;0;5;0;Hvorostovski;1930;1970;1999;x
Jakov;523013;TRA;1930;1990;1990;1990;3;2;1;0;0;5;0;L523013;1930;1970;1999;x
Karamzhin;523014;TRA;1930;1939;1990;1990;2;3;256;1;0;5;0;L523014;1930;1970;1999;x
Karenin;523015;TRA;1930;1990;1990;1990;3;2;0;0;0;5;0;L523015;1930;1970;1999;x
Khadartsev;523016;TRA;1930;1990;1990;1990;3;2;64;0;0;5;0;Khadartsev;1930;1970;1999;x
Klossovski;523017;TRA;1930;1990;1990;1990;3;2;0;0;0;5;0;L523017;1930;1970;1999;x
Konoros;523018;TRA;1930;1930;1990;1990;2;3;16;0;0;5;0;L523018;1930;1970;1999;x
Korovalcheff;523019;TRA;1930;1930;1930;1990;1;6;537;1;0;5;0;M523042;1930;1970;1999;x
Kosov;523020;TRA;1930;1930;1930;1990;1;2;513;1;0;5;0;L523020;1930;1970;1999;x
Kovlon;523021;TRA;1930;1930;1930;1990;1;2;514;1;0;5;0;M523041;1930;1970;1999;x
Kudrov;523022;TRA;1930;1930;1990;1990;2;3;0;0;0;5;0;L523022;1930;1970;1999;x
Kuzmenko;523023;TRA;1930;1939;1990;1990;3;3;32;1;0;5;0;Kuzmenko;1930;1970;1999;x
Lavrov;523024;TRA;1930;1990;1990;1990;3;2;0;0;0;5;0;L523024;1930;1970;1999;x
Lebedjev;523025;TRA;1930;1930;1930;1990;1;2;520;1;0;5;0;L523025;1930;1990;1999;x
Lepushin;523026;TRA;1930;1940;1990;1990;3;3;128;1;0;5;0;L523026;1930;1970;1999;x
Lobov;523027;TRA;1930;1930;1990;1990;2;2;16;0;0;5;0;L523027;1930;1970;1999;x
Machinko;523028;TRA;1930;1930;1939;1990;2;3;1;1;0;5;0;L523028;1930;1970;1999;x
Marfiniev;523029;TRA;1930;1930;1990;1990;2;2;513;1;0;5;0;L523029;1930;1970;1999;x
Merkulov;523030;TRA;1930;1930;1941;1990;2;3;0;1;0;5;0;M523005;1930;1970;1999;x
Mikhailovich;523031;TRA;1930;1930;1940;1990;1;5;9;1;0;5;0;L523031;1930;1970;1999;x
Morchenko;523032;TRA;1930;1930;1990;1990;2;3;0;0;0;5;0;L523032;1930;1970;1999;x
Nikitin;523033;TRA;1930;1939;1941;1990;2;3;2;2;0;5;0;M523007;1930;1970;1999;x
Onopkov;523034;TRA;1930;1990;1990;1990;3;5;264;0;0;5;0;L523034;1930;1970;1999;x
Plautin;523035;TRA;1930;1939;1990;1990;3;3;1;1;0;5;0;L523035;1930;1970;1999;x
Saburov;523036;TRA;1930;1941;1990;1990;3;4;12;1;0;5;0;M523039;1930;1970;1999;x
Porelov;523037;TRA;1930;1990;1990;1990;3;5;256;0;0;5;0;Porelov;1930;1970;1999;x
Mikitsky;523038;TRA;1930;1990;1990;1990;3;3;64;0;0;5;0;Mikitsky;1930;1970;1999;x
Obruchko;523039;TRA;1930;1990;1990;1990;3;4;514;1;0;5;0;Obruchko;1930;1970;1999;x
Neumoev;523040;TRA;1930;1990;1990;1990;3;3;128;0;0;5;0;Neumoev;1930;1970;1999;x
Dmyrkin;523041;TRA;1930;1930;1990;1990;2;2;0;0;0;5;1;L504000;1930;1970;1999;x
Dranilov;523042;TRA;1930;1990;1990;1990;3;2;0;0;0;5;1;L502012;1930;1970;1999;x
Ertelkin;523043;TRA;1930;1930;1990;1990;2;2;8192;0;0;5;1;L502013;1930;1970;1999;x
Kulchin;523045;TRA;1930;1990;1990;1990;3;2;0;0;0;5;1;L502015;1930;1970;1999;x
Samarskiy;523046;TRA;1930;1990;1990;1990;3;2;0;0;0;5;1;M520034;1930;1970;1999;x
Abakumov;523047;TRA;1930;1990;1990;1990;3;3;16384;0;0;5;2;M523010;1930;1970;1999;x
Paramonov;523048;TRA;1930;1942;1990;1990;2;3;0;1;0;5;2;Paramonov;1930;1970;1999;x
Shustenko;523050;TRA;1930;1940;1990;1990;2;3;8192;1;0;5;2;Shustenko;1930;1970;1999;x
Porechenkov;523051;TRA;1930;1941;1990;1990;3;3;0;1;0;5;2;Porechenkov;1930;1970;1999;x
Walz;523052;TRA;1930;1943;1990;1990;3;3;4096;1;0;5;2;L523052;1930;1970;1999;x
N. Krasnov;523053;TRA;1930;1930;1930;1941;0;6;5;3;0;0;0;Mrus krasnov;1930;1990;1999;x
N. Grabbe;523054;TRA;1930;1930;1941;1990;1;5;516;2;0;0;0;TRA_Grabbe;1930;1944;1999;x
Filimonov;523055;TRA;1930;1930;1990;1990;1;5;513;2;0;0;0;TRA_Filimonov;1930;1990;1999;x
Ivanis;523056;TRA;1930;1941;1990;1990;2;6;129;3;0;0;0;TRA_Ivanis;1930;1990;1999;x
Kislov;523057;TRA;1930;1941;1990;1990;2;5;132;1;0;0;0;TRA_Kislov;1930;1990;1999;x
Polyakov;523058;TRA;1930;1990;1990;1990;3;5;16;1;0;0;0;TRA_Polyakov;1930;1990;1999;x
K. Popov;523059;TRA;1930;1930;1930;1943;1;6;6;3;0;0;0;TRA_Popov;1930;1990;1999;x
Golubintzev;523060;TRA;1930;1939;1990;1990;2;4;4;2;0;0;0;TRA_Golubintzev;1930;1990;1999;x
Bukretov;523061;TRA;1930;1990;1990;1990;2;6;129;2;0;0;0;TRA_Bukretov;1930;1990;1999;x
