Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Banchukov;525000;TRK;1930;1990;1990;1990;3;5;384;0;0;5;0;L525000;1930;1960;1999;x
Barabanov;525001;TRK;1930;1990;1990;1990;3;3;256;0;0;5;0;M525037;1930;1960;1999;x
Baranov;525002;TRK;1930;1930;1990;1990;2;2;0;0;0;5;0;M525039;1930;1960;1999;x
Batyrov;525003;TRK;1930;1939;1943;1990;1;4;8;2;0;5;0;L525003;1930;1960;1999;x
Beloglazov;525004;TRK;1930;1940;1990;1990;3;3;256;1;0;5;0;L525004;1930;1960;1999;x
Belov;525005;TRK;1930;1990;1990;1990;3;3;128;0;0;5;0;M525007;1930;1960;1999;x
Berlin;525006;TRK;1930;1938;1990;1990;2;3;1;1;0;5;0;M525040;1930;1960;1999;x
Borisenko;525007;TRK;1930;1938;1990;1990;2;2;64;1;0;5;0;L525007;1930;1960;1999;x
Bunin;525008;TRK;1930;1990;1990;1990;3;2;4;0;0;5;0;L525008;1930;1960;1999;x
Fuchs;525009;TRK;1930;1990;1990;1990;3;3;2;0;0;5;0;L525009;1930;1960;1999;x
Guth;525010;TRK;1930;1990;1990;1990;3;3;16;0;0;5;0;L525010;1930;1960;1999;x
Ihssen;525011;TRK;1930;1990;1990;1990;3;3;32;0;0;5;0;L525011;1930;1960;1999;x
Kahsnitz;525012;TRK;1930;1990;1990;1990;3;3;1;0;0;5;0;L525012;1930;1960;1999;x
Kangelary;525013;TRK;1930;1930;1990;1990;2;5;257;0;0;5;0;L525013;1930;1960;1999;x
Kiehl;525014;TRK;1930;1990;1990;1990;3;3;0;0;0;5;0;L525014;1930;1960;1999;x
Raevs;525015;TRK;1930;1990;1990;1990;3;2;0;0;0;5;0;M525038;1930;1960;1999;x
Schuchardt;525016;TRK;1930;1990;1990;1990;3;3;128;0;0;5;0;L525016;1930;1960;1999;x
Thomas;525017;TRK;1930;1990;1990;1990;3;2;0;0;0;5;0;L525017;1930;1960;1999;x
Ulrich;525018;TRK;1930;1930;1930;1990;1;4;128;1;0;5;0;M525008;1930;1960;1999;x
Vierkorn;525019;TRK;1930;1990;1990;1990;3;4;288;0;0;5;0;L525019;1930;1960;1999;x
von der Damereau-Dambrowski;525020;TRK;1930;1990;1990;1990;3;3;2;0;0;5;0;L525020;1930;1960;1999;x
von Elverfeldt;525021;TRK;1930;1990;1990;1990;3;3;4;0;0;5;0;L525021;1930;1960;1999;x
von Krziwanek;525022;TRK;1930;1990;1990;1990;3;3;64;0;0;5;0;L525022;1930;1960;1999;x
von Wangenheim;525023;TRK;1930;1990;1990;1990;3;3;0;0;0;5;0;L525023;1930;1960;1999;x
Batalov;525024;TRK;1930;1940;1990;1990;3;2;0;1;0;5;1;M525009;1930;1960;1999;x
Baturin;525025;TRK;1930;1942;1990;1990;2;3;4096;1;0;5;1;M525010;1930;1960;1999;x
Filipev;525026;TRK;1930;1939;1990;1990;2;3;1024;1;0;5;1;M525042;1930;1960;1999;x
Kasatonov;525027;TRK;1930;1939;1943;1990;2;3;0;2;0;5;1;L525027;1930;1960;1999;x
Baturin;525028;TRK;1930;1942;1990;1990;2;3;131072;1;0;5;2;M525010;1930;1960;1999;x
Beloglazov;525029;TRK;1930;1940;1990;1990;3;2;0;1;0;5;2;L525004;1930;1960;1999;x
Demchenko;525030;TRK;1930;1990;1990;1990;3;3;0;0;0;5;2;L525030;1930;1960;1999;x
Mensch;525031;TRK;1930;1990;1990;1990;3;3;0;0;0;5;2;L525031;1930;1960;1999;x
Petrikov;525032;TRK;1930;1990;1990;1990;3;2;16384;0;0;5;2;M525043;1930;1960;1999;x
Zadorozhny;525033;TRK;1930;1941;1990;1990;3;3;4096;1;0;5;2;M525044;1930;1960;1999;x
