Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bergmann;518001;UKR;1936;1938;1990;1990;2;4;6;2;0;5;0;L518001;1936;1948;1999;x
Bezruchko;518002;UKR;1930;1939;1990;1990;2;3;8;1;0;5;0;L518002;1930;1960;1999;x
Dashkevich-Gorbatsky;518003;UKR;1917;1920;1990;1990;2;6;520;3;0;5;0;KR_Dashkevich;1917;1945;1999;x
Bogdanov;518004;UKR;1930;1950;1990;1990;3;5;16;0;0;5;0;L518004;1930;1960;1999;x
Peresada-Sukhodolsky;518005;UKR;1921;1932;1990;1990;3;5;1;1;0;5;0;L518005;1921;1948;1999;x
Boyarski;518006;UKR;1930;1990;1990;1990;3;3;64;0;0;5;0;L518006;1930;1960;1999;x
Breithaupt;518007;UKR;1930;1930;1940;1990;2;4;0;1;0;5;0;L518007;1930;1960;1999;x
Bunyachenko;518008;UKR;1930;1938;1990;1990;2;5;4;1;0;5;0;L518008;1930;1960;1999;x
Duka;518010;UKR;1941;1961;1990;1990;3;7;16;2;0;5;0;M518057;1941;1970;1999;x
Eckhardt;518011;UKR;1941;1944;1990;1990;2;4;1;1;0;5;0;L518011;1941;1962;1999;x
Fischer;518013;UKR;1941;1990;1990;1990;3;3;32;0;0;5;0;L518013;1941;1959;1999;x
Frank;518014;UKR;1939;1943;1990;1990;2;2;0;0;0;5;0;L518014;1939;1963;1999;x
Gall;518015;UKR;1930;1941;1990;1990;2;4;2;2;0;5;0;L518015;1930;1950;1999;x
Geiger G.;518016;UKR;1935;1944;1990;1990;3;3;2;1;0;5;0;L518016;1935;1952;1999;x
Gerok;518017;UKR;1930;1943;1990;1990;2;4;2;2;0;5;0;L518017;1930;1947;1999;x
Getman;518018;UKR;1940;1943;1953;1964;1;7;136;2;0;5;0;L9942;1940;1970;1999;x
Udovychenko O.I.;518020;UKR;1920;1938;1990;1990;2;6;1;1;0;5;0;L518020;1920;1960;1999;x
Kinzel;518021;UKR;1939;1943;1945;1990;1;5;2;2;0;5;0;M518061;1939;1963;1999;x
Korbukov;518023;UKR;1930;1990;1990;1990;3;4;128;0;0;5;0;L518023;1930;1960;1999;x
Krat;518024;UKR;1920;1990;1990;1990;3;5;4;1;0;5;0;LMikhail_Krat;1920;1958;1999;x
Glebov I.S.;518025;UKR;1942;1944;1958;1990;2;7;1;2;0;5;0;L9945;1942;1969;1999;x
Kruschev;518026;UKR;1930;1930;1990;1990;2;2;32;0;0;5;0;M518062;1930;1960;1999;x
Smossky;518027;UKR;1920;1990;1990;1990;3;5;68;1;0;5;0;LKonstantin_Smossky;1920;1960;1999;x
Leikov;518028;UKR;1930;1990;1990;1990;3;4;128;0;0;5;0;L518028;1930;1960;1999;x
Dashkevich ;518029;UKR;1930;1940;1990;1990;2;5;65;1;0;5;0;LRoman_Dashkevich;1930;1960;1999;x
Malyschkin;518030;UKR;1938;1941;1990;1990;2;4;1;1;0;5;0;L518030;1938;1960;1999;x
Meandrov;518031;UKR;1930;1990;1990;1990;3;5;1;2;0;5;0;L518031;1930;1960;1999;x
Melnik S.M.;518032;UKR;1940;1943;1990;1990;2;6;4;2;0;5;0;L518032;1940;1965;1999;x
Gudymenko;518033;UKR;1940;1942;1990;1990;2;5;34;1;0;5;0;L9965;1940;1954;1999;x
Khomenko;518034;UKR;1940;1942;1990;1990;2;6;2;2;0;5;0;L9972;1940;1965;1999;x
Dubinskiy;518035;UKR;1937;1945;1990;1990;2;7;132;2;0;5;0;LIlya_Vladimirovich_Dubinsky;1937;1963;1999;x
Ruvinski;518036;UKR;1930;1930;1942;1990;2;4;32;1;0;5;0;M518064;1930;1960;1999;x
Sakhno;518037;UKR;1942;1990;1990;1990;3;6;128;2;0;5;0;L10265;1942;1970;1999;x
von Treuenfeld;518038;UKR;1933;1944;1990;1990;2;4;1;1;0;5;0;L518054;1933;1950;1999;x
Schroeder;518039;UKR;1935;1990;1990;1990;3;5;515;2;0;5;0;L518039;1935;1946;1999;x
Shandruk;518040;UKR;1925;1936;1990;1990;2;5;33;2;0;5;0;KR_Shandruk;1925;1954;1999;x
Shatov;518041;UKR;1930;1990;1990;1990;3;3;8;0;0;5;0;L518041;1930;1960;1999;x
Zhilenkov;518042;UKR;1941;1990;1990;1990;3;4;16;1;0;5;0;L518042;1941;1970;1999;x
Shukhevich;518043;UKR;1941;1943;1990;1990;2;6;20;1;0;5;0;LRoman_Shukhevich;1941;1970;1999;x
Skoropadsky;518044;UKR;1930;1930;1990;1990;2;4;514;1;0;5;0;M518059;1930;1945;1999;x
Karponosov;518045;UKR;1941;1943;1990;1990;2;6;1;2;0;5;0;L9999;1941;1967;1999;x
Valissky;518047;UKR;1930;1990;1990;1990;3;4;0;0;0;5;0;LArkady_Valissky;1940;1960;1999;x
von Bomhard;518049;UKR;1937;1939;1990;1990;2;4;0;1;0;5;0;L518049;1937;1956;1999;x
von Bülow;518050;UKR;1939;1990;1990;1990;3;3;0;1;0;5;0;L518050;1939;1964;1999;x
von Eberstein;518051;UKR;1933;1936;1990;1990;2;2;0;0;0;5;0;L518051;1933;1959;1999;x
von Falkowski;518052;UKR;1935;1990;1990;1990;3;2;0;0;0;5;0;L518052;1935;1952;1999;x
von Gallwitz;518053;UKR;1938;1990;1990;1990;3;3;32;0;0;5;0;L518053;1938;1957;1999;x
Shapovalov;518054;UKR;1930;1942;1990;1990;2;6;6;1;0;5;0;L518038;1930;1965;1999;x
Yefimov N.A.;518055;UKR;1930;1935;1990;1990;2;5;1;1;0;5;0;M518056;1930;1962;1999;x
Zakutniy;518056;UKR;1939;1990;1990;1990;3;5;1;1;0;5;0;L518056;1939;1962;1999;x
Zverev G.A.;518057;UKR;1941;1990;1990;1990;3;4;2;1;0;5;0;L518057;1941;1965;1999;x
Dushin;518058;UKR;1943;1990;1990;1990;3;4;0;1;0;5;1;M518070;1943;1970;1999;x
Maximov;518059;UKR;1918;1920;1990;1990;2;6;0;2;0;5;1;KR_Maximov;1918;1946;1999;x
Bilinsky;518060;UKR;1918;1921;1990;1990;3;5;0;2;0;5;1;L518060;1918;1947;1999;x
Kühn;518061;UKR;1936;1990;1990;1990;3;4;0;0;0;5;1;L518061;1936;1956;1999;x
Martjenko;518062;UKR;1930;1990;1990;1990;3;3;0;0;0;5;1;L518062;1930;1960;1999;x
Pilipenko;518063;UKR;1944;1946;1990;1990;2;5;8192;1;0;5;1;M518071;1944;1970;1999;x
Riedel;518064;UKR;1935;1990;1990;1990;3;4;4096;1;0;5;1;L518064;1935;1954;1999;x
von Trotha;518065;UKR;1934;1941;1990;1990;2;4;4096;1;0;5;1;M518072;1934;1950;1999;x
Walter H.;518066;UKR;1936;1990;1990;1990;3;4;8704;1;0;5;1;L518066;1936;1949;1999;x
Wolfram;518067;UKR;1931;1942;1990;1990;2;5;8704;2;0;5;1;L518067;1931;1947;1999;x
Alaydin;518068;UKR;1930;1942;1990;1990;2;5;131072;2;0;5;2;M518010;1930;1960;1999;x
Boettge;518069;UKR;1939;1990;1990;1990;3;3;0;0;0;5;2;L518069;1939;1958;1999;x
Dushin;518070;UKR;1943;1990;1990;1990;3;5;131072;1;0;5;2;M518070;1943;1970;1999;x
Fedun-Poltava;518071;UKR;1930;1990;1990;1990;3;4;32768;0;0;5;2;L518071;1930;1960;1999;x
Maltsev;518072;UKR;1930;1930;1941;1990;2;5;0;2;0;5;2;M518077;1930;1960;1999;x
Muggenthaler;518073;UKR;1936;1939;1990;1990;2;4;8192;1;0;5;2;L518073;1936;1953;1999;x
Nuber;518076;UKR;1931;1941;1990;1990;2;3;65536;1;0;5;2;L518076;1931;1948;1999;x
Yanchenko;518078;UKR;1918;1930;1990;1990;2;7;4096;3;0;5;2;L518078;1918;1960;1999;x
Egorov;518079;UKR;1919;1925;1990;1990;2;7;16384;2;0;5;2;L518079;1929;1960;1999;x
Kuk;518080;UKR;1947;1990;1990;1990;3;5;20;0;0;5;0;LVasyl_Kuk;1947;1970;1999;x
