Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Auuro Beujon;270000;VEN;1939;1990;1990;1990;3;6;288;0;0;5;0;L270000;1939;1944;1999;x
Betancourt Bello;270001;VEN;1939;1942;1990;1990;2;4;4;1;0;3;0;L270001;1939;1960;1999;x
Cardenas Arias;270002;VEN;1942;1990;1990;1990;3;3;0;0;0;5;0;L270002;1942;1960;1999;x
Contreras Villalobos;270003;VEN;1944;1946;1990;1990;2;4;4;1;0;3;0;L270003;1944;1960;1999;x
Carlos Delgado Chalbaud;270004;VEN;1944;1945;1990;1990;2;4;1;1;0;4;0;L270004;1944;1950;1999;x
de la Piríe;270005;VEN;1930;1990;1990;1990;3;3;1;0;0;5;0;L270005;1930;1942;1999;x
Elías Guiterrez;270006;VEN;1930;1930;1941;1990;1;4;2;2;0;5;0;L270006;1930;1945;1999;x
Fernandez Ortiz;270007;VEN;1930;1990;1990;1990;3;4;256;0;0;5;0;L270007;1930;1941;1999;x
Garcia Mendoza;270008;VEN;1942;1990;1990;1990;3;3;1;0;0;4;0;L270008;1942;1960;1999;x
Gonzalez Lopez;270009;VEN;1944;1946;1990;1990;2;4;128;2;0;4;0;L270009;1944;1960;1999;x
Guilarte Figueroa;270010;VEN;1939;1942;1990;1990;2;3;4;1;0;4;0;L270010;1939;1946;1999;x
Larrazabal Ugueto;270011;VEN;1945;1950;1952;1990;1;5;128;2;0;2;0;L270011;1945;1960;1999;x
Leoni Otero;270012;VEN;1942;1944;1990;1990;2;3;0;1;0;3;0;L270012;1942;1960;1999;x
Elanor Lopez Contreras;270013;VEN;1930;1930;1930;1990;1;6;513;1;0;5;0;L270013;1930;1944;1999;x
Lopez Henriques;270014;VEN;1930;1990;1990;1990;3;3;64;0;0;4;0;L270014;1930;1940;1999;x
Lopez Marino;270015;VEN;1930;1939;1990;1990;3;4;0;1;0;5;0;L270015;1930;1943;1999;x
Lopez Pérez;270016;VEN;1942;1990;1990;1990;3;3;256;0;0;4;0;L270016;1942;1947;1999;x
Marchello Lopez;270017;VEN;1944;1947;1990;1990;3;4;0;1;0;5;0;L270017;1944;1960;1999;x
Isasias Medina Angarita;270018;VEN;1930;1930;1939;1941;0;4;2;3;0;3;0;L270018;1930;1945;1999;x
Monsalvo Mareno;270019;VEN;1942;1990;1990;1990;3;3;0;0;0;4;0;L270019;1942;1947;1999;x
Montilla;270020;VEN;1941;1944;1990;1990;3;3;64;1;0;5;0;L270020;1941;1960;1999;x
Marco Perez Jimenez;270021;VEN;1942;1944;1945;1990;1;4;0;2;0;4;0;L270021;1942;1960;1999;x
Reyes Chamorra;270022;VEN;1930;1930;1990;1990;2;4;2;1;0;5;0;L270022;1930;1941;1999;x
Ruiz Tuerro;270023;VEN;1945;1990;1990;1990;3;4;4;0;0;2;0;L270023;1945;1960;1999;x
Sanabria Arcia;270024;VEN;1943;1990;1990;1990;3;3;1;0;0;3;0;L270024;1943;1960;1999;x
Sanchez Croes;270025;VEN;1945;1946;1990;1990;2;4;32;1;0;4;0;L270025;1945;1960;1999;x
Segundo Díaz;270026;VEN;1941;1943;1990;1990;2;4;0;1;0;4;0;L270026;1941;1960;1999;x
Simon Rios;270027;VEN;1930;1990;1990;1990;3;3;0;0;0;5;0;L270027;1930;1939;1999;x
Toro Key;270028;VEN;1930;1938;1990;1990;3;5;256;1;0;4;0;L270028;1930;1942;1999;x
Vicente Gomez;270029;VEN;1930;1930;1990;1990;2;4;2;1;0;5;0;L270029;1930;1941;1999;x
Alvaréz Santiago;270030;VEN;1941;1944;1990;1990;3;4;0;1;0;5;1;L270030;1941;1960;1999;x
Mariano Mendez;270051;VEN;1936;1936;1990;1990;1;1;512;1;0;5;0;;1941;1960;1999;x
Molina Talavayo;270031;VEN;1944;1946;1990;1990;2;3;0;1;0;3;1;L270031;1944;1960;1999;x
Montez Macusandrí;270032;VEN;1937;1941;1990;1990;2;4;0;1;0;5;1;L270032;1937;1946;1999;x
Ramos Díaz;270033;VEN;1943;1990;1990;1990;3;3;1024;0;0;4;1;L270033;1943;1960;1999;x
Rosa Sanchez;270034;VEN;1930;1930;1990;1990;2;4;4608;0;0;5;1;L270034;1930;1938;1999;x
Santabria Villa;270035;VEN;1930;1930;1990;1990;2;3;0;0;0;2;1;L270035;1930;1941;1999;x
Tagueva Mireílles;270036;VEN;1945;1990;1990;1990;3;3;0;0;0;5;1;L270036;1945;1960;1999;x
Mariano Enrique Lopez Mendez;270052;VEN;1936;1936;1990;1990;1;0;4608;0;0;5;1;;1945;1960;1999;x
Wolfgang Enrique Larrazabal Ugueto;270054;VEN;1936;1936;1990;1990;1;0;4608;0;0;5;1;L270011;1945;1960;1999;x
Toro Key;270037;VEN;1930;1938;1990;1990;3;4;0;1;0;4;1;L270037;1930;1942;1999;x
Villa Lobos;270038;VEN;1945;1990;1990;1990;3;4;4096;0;0;3;1;L270038;1945;1960;1999;x
Boniface Benitez;270039;VEN;1930;1990;1990;1990;3;3;0;0;0;4;2;L270039;1930;1939;1999;x
Contreras Villalobos;270040;VEN;1943;1945;1990;1990;2;4;0;1;0;3;2;L270040;1943;1960;1999;x
de Luca Varesano;270041;VEN;1944;1990;1990;1990;3;3;4096;0;0;2;2;L270041;1944;1960;1999;x
Díaz Fraile;270042;VEN;1939;1941;1990;1990;3;4;32768;1;0;4;2;L270042;1939;1944;1999;x
Lopez Henriques;270043;VEN;1930;1930;1990;1990;2;3;0;0;0;4;2;L270043;1930;1941;1999;x
Meyer Baldo;270044;VEN;1930;1990;1990;1990;3;4;4096;0;0;5;2;L270044;1930;1943;1999;x
Petit;270045;VEN;1930;1990;1990;1990;3;4;0;1;0;5;2;L270045;1930;1939;1999;x
Reynoso Rucker;270046;VEN;1943;1990;1990;1990;3;3;0;0;0;3;2;L270046;1943;1960;1999;x
Serrano Pérez;270047;VEN;1940;1943;1990;1990;3;3;0;1;0;4;2;L270047;1940;1947;1999;x
Torres Vilera;270048;VEN;1939;1943;1945;1990;2;4;131072;2;0;3;2;L270048;1939;1960;1999;x
Monedro Zarza;270049;VEN;1939;1990;1990;1990;3;4;256;0;0;5;0;L270049;1939;1960;1999;x
Llovera Paez;270050;VEN;1947;1948;1990;1990;2;4;0;1;0;5;0;M38086;1947;1960;1999;x
