Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Barbini;5500;URO;1939;1946;1990;1990;2;6;4096;1;0;5;1;LGiovanni_Barbini;1939;1966;1999;x
Beccati;5501;URO;1942;1990;1990;1990;3;5;8192;1;0;5;1;LLino_Beccati;1942;1970;1999;x
Botti;5502;URO;1940;1990;1990;1990;3;5;1024;1;0;5;1;LUgo_Botti;1940;1970;1999;x
Bragadin;5503;URO;1942;1990;1990;1990;3;6;0;1;0;5;1;LMarcantonio_Bragadin;1942;1970;1999;x
Calderara, M.;5504;URO;1925;1932;1990;1990;2;5;8704;3;0;5;1;LMario_Calderara;1925;1944;1999;x
Capon;5505;URO;1923;1926;1931;1990;1;6;8704;3;0;5;1;LAugusto_Capon;1923;1938;1999;x
Fontana;5506;URO;1939;1990;1990;1990;3;5;0;1;0;5;1;LGiuseppe_Fontana;1939;1968;1999;x
Notarbartolo di Sciara;5507;URO;1939;1990;1990;1990;3;5;2048;1;0;5;1;LMarco_Notarbartolo_di_Sciara;1939;1970;1999;x
Pittoni;5508;URO;1941;1990;1990;1990;3;5;1024;1;0;5;1;LFranco_Tosoni_Pittoni;1941;1970;1999;x
Romei;5509;URO;1941;1990;1990;1990;3;4;2048;0;0;5;1;LRomeo_Romei;1941;1970;1999;x
Visintini, L.;5510;URO;1943;1990;1990;1990;3;4;1024;0;0;5;1;LLicio_Visintini;1943;1970;1999;x
Wiel;5511;URO;1936;1944;1990;1990;2;6;1024;1;0;5;1;LIsidoro_Wiel;1936;1962;1999;x
Zelik;5512;URO;1940;1990;1990;1990;3;5;1024;0;0;5;1;LBruno_Zelik;1940;1970;1999;x
de Zara;5513;URO;1936;1941;1944;1990;1;8;4096;3;0;5;1;L6162;1936;1954;1999;x
Baschirotto;5514;URO;1942;1990;1990;1990;3;6;4096;1;0;5;2;LGianlino_Baschirotto;1942;1970;1999;x
Bertolaso;5515;URO;1944;1990;1990;1990;3;6;4096;1;0;5;2;LGiorgio_Bertolaso;1944;1970;1999;x
Biron;5516;URO;1943;1990;1990;1990;3;5;4096;1;0;5;2;LGiuseppe_Biron;1943;1970;1999;x
Brunetta;5517;URO;1936;1990;1990;1990;3;5;131072;1;0;5;2;LAgostino_Brunetta;1936;1960;1999;x
Calderara, A.;5518;URO;1931;1940;1990;1990;2;5;40960;2;0;5;2;LAttilio_Calderara;1931;1952;1999;x
Cappa;5519;URO;1943;1990;1990;1990;3;4;131072;0;0;5;2;LFranco_Cappa;1943;1970;1999;x
Gelmetti;5520;URO;1936;1990;1990;1990;3;5;0;1;0;5;2;LUmberto_Gelmetti;1936;1959;1999;x
