Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abalan;542000;VIE;1939;1990;1990;1990;3;3;128;0;0;5;0;L542000;1939;1960;1999;x
Baucheron de Boissoudy;542001;VIE;1943;1990;1990;1990;3;3;2;0;0;5;0;L542001;1943;1960;1999;x
Bao Dai;542002;VIE;1930;1930;1930;1930;0;1;0;0;0;5;0;L542002;1930;1960;1999;x
Bernardino;542003;VIE;1941;1990;1990;1990;3;4;256;0;0;5;0;L542003;1941;1960;1999;x
Chavanac;542004;VIE;1941;1990;1990;1990;3;3;64;0;0;5;0;L542004;1941;1960;1999;x
Decoux;542005;VIE;1930;1940;1990;1990;2;3;4;1;0;5;0;M542006;1930;1946;1999;x
de Beauharné;542006;VIE;1930;1930;1990;1990;2;4;514;1;0;5;0;M542008;1930;1940;1999;x
d'Hers;542007;VIE;1940;1990;1990;1990;3;2;1;0;0;5;0;L542007;1940;1960;1999;x
de la Poype;542008;VIE;1943;1990;1990;1990;3;3;32;0;0;5;0;L542008;1943;1960;1999;x
Duc Dat;542009;VIE;1944;1990;1990;1990;3;2;1;0;0;5;0;L542009;1944;1960;1999;x
Duong Van Minh;542010;VIE;1943;1947;1990;1990;3;3;128;1;0;5;0;M542046;1943;1960;1999;x
Fabrichet;542011;VIE;1930;1990;1990;1990;3;4;514;1;0;5;0;L542011;1930;1946;1999;x
Fourcaud;542012;VIE;1941;1990;1990;1990;3;4;5;0;0;5;0;L542012;1941;1960;1999;x
Germain;542013;VIE;1940;1990;1990;1990;3;3;4;0;0;5;0;L542013;1940;1960;1999;x
Hasey;542014;VIE;1943;1990;1990;1990;3;3;32;0;0;5;0;L542014;1943;1960;1999;x
Hoang Minh Chao;542015;VIE;1939;1943;1990;1990;2;4;16;1;0;5;0;L542015;1939;1960;1999;x
Ho Chi Minh;542016;VIE;1930;1930;1930;1990;1;6;3;3;0;5;0;M542047;1930;1960;1999;x
Iehlé;542017;VIE;1940;1943;1990;1990;2;4;256;1;0;5;0;M542037;1940;1960;1999;x
Jore;542018;VIE;1930;1939;1940;1990;1;4;64;3;0;5;0;M542021;1930;1960;1999;x
le Cocq;542019;VIE;1938;1990;1990;1990;3;4;256;0;0;5;0;L542019;1938;1945;1999;x
le Coniac de la Longrays;542020;VIE;1941;1943;1946;1990;2;5;5;3;0;5;0;L542020;1941;1960;1999;x
Le Duan;542021;VIE;1930;1940;1945;1990;1;6;1;3;0;5;0;L542021;1930;1960;1999;x
Le Van Kim;542022;VIE;1944;1990;1990;1990;3;2;1;0;0;5;0;L542022;1944;1960;1999;x
Livry-Level;542023;VIE;1940;1944;1990;1990;2;4;4;2;0;5;0;L542023;1940;1960;1999;x
Magné;542024;VIE;1938;1944;1990;1990;2;4;64;1;0;5;0;L542024;1938;1960;1999;x
Ne Van Chinh;542025;VIE;1945;1990;1990;1990;3;2;128;0;0;5;0;L542025;1945;1960;1999;x
Nguyen Cao The;542026;VIE;1945;1990;1990;1990;3;2;0;0;0;5;0;L542026;1945;1960;1999;x
Nguyen Coo Hieu;542027;VIE;1945;1990;1990;1990;3;3;4;0;0;5;0;L542027;1945;1960;1999;x
Nguyen Huu Coo;542028;VIE;1942;1947;1990;1990;3;3;2;1;0;5;0;M542043;1942;1960;1999;x
Nguyen Khanh;542029;VIE;1945;1990;1990;1990;3;2;256;0;0;5;0;L542029;1945;1960;1999;x
Pelissier;542030;VIE;1930;1990;1990;1990;3;4;1;0;0;5;0;L542030;1930;1944;1999;x
Robin;542031;VIE;1930;1930;1990;1990;2;3;2;0;0;5;0;M542002;1930;1940;1999;x
Thao Bac Tho;542032;VIE;1945;1990;1990;1990;3;2;0;0;0;5;0;L542032;1945;1960;1999;x
Vigneux;542033;VIE;1940;1990;1990;1990;3;3;128;0;0;5;0;L542033;1940;1960;1999;x
Vinh Loc;542034;VIE;1944;1990;1990;1990;3;2;1;0;0;5;0;L542034;1944;1960;1999;x
Vo Nguyen Giap;542035;VIE;1930;1939;1942;1990;1;9;20;5;0;5;0;L542035;1930;1960;1999;x
Vuong Van Dong;542036;VIE;1945;1990;1990;1990;3;2;256;0;0;5;0;L542036;1945;1960;1999;x
An Nuoc Cao;542037;VIE;1945;1990;1990;1990;3;2;1024;0;0;5;1;L542037;1945;1960;1999;x
Bernardino;542038;VIE;1941;1990;1990;1990;3;2;0;0;0;5;1;L542003;1941;1960;1999;x
Ho Tan Quyen;542039;VIE;1941;1946;1990;1990;2;3;1024;1;0;5;1;M542051;1941;1960;1999;x
Iehlé;542040;VIE;1940;1943;1990;1990;2;3;0;1;0;5;1;M542037;1940;1960;1999;x
Le Quan;542041;VIE;1938;1944;1990;1990;2;3;8192;1;0;5;1;M542042;1938;1960;1999;x
Le Vouch;542042;VIE;1930;1990;1990;1990;3;3;0;0;0;5;1;L542042;1930;1960;1999;x
Nguyen Thanh Tri;542043;VIE;1943;1990;1990;1990;3;2;2048;0;0;5;1;L542043;1943;1960;1999;x
Pasquier;542044;VIE;1930;1930;1930;1990;1;3;4608;1;0;5;1;M542009;1930;1941;1999;x
Thrang Tun Doc;542045;VIE;1945;1990;1990;1990;3;2;0;0;0;5;1;M542052;1945;1960;1999;x
Boudier;542046;VIE;1939;1990;1990;1990;3;3;131072;0;0;5;2;M542053;1939;1960;1999;x
Brévié;542047;VIE;1930;1930;1990;1990;2;3;16384;0;0;5;2;M542010;1930;1942;1999;x
Brisdoux-Galloni d'Istria;542048;VIE;1940;1990;1990;1990;3;3;0;0;0;5;2;L542048;1940;1960;1999;x
de Montbron;542049;VIE;1941;1990;1990;1990;3;3;8192;0;0;5;2;L542049;1941;1960;1999;x
le Langé;542050;VIE;1942;1990;1990;1990;3;3;0;0;0;5;2;M542054;1942;1960;1999;x
Livry-Level;542051;VIE;1940;1944;1990;1990;2;4;65536;1;0;5;2;L542023;1940;1960;1999;x
Nguyen Huu Tho;542052;VIE;1930;1930;1990;1990;2;2;4096;0;0;5;2;M542055;1930;1960;1999;x
Pompéi;542053;VIE;1941;1990;1990;1990;3;3;0;0;0;5;2;L542053;1941;1960;1999;x
Simonet;542054;VIE;1942;1990;1990;1990;3;3;32768;0;0;5;2;L542054;1942;1960;1999;x
