Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Chardonne;511001;WLL;1930;1930;1990;1990;2;5;264;0;0;5;0;L68002;1930;1960;1999;x
Degrelle;511002;WLL;1930;1930;1930;1930;0;7;10;2;0;5;0;M511001;1930;1960;1999;x
Hagemans;511003;WLL;1930;1990;1990;1990;3;4;256;0;0;5;0;M511025;1930;1942;1999;x
Lippert;511004;WLL;1930;1990;1990;1990;3;6;12;0;0;5;0;M511010;1930;1944;1999;x
Ouwerx;511005;WLL;1930;1930;1990;1990;2;3;2;0;0;5;0;M15075;1930;1960;1999;x
Reeder;511006;WLL;1930;1939;1990;1990;2;4;2;1;0;5;0;M510061;1940;1945;1999;x
Schörgi;511007;WLL;1930;1990;1990;1990;3;5;256;0;0;5;0;L511007;1930;1960;1999;x
Vermeire;511008;WLL;1930;1930;1930;1990;1;4;0;0;0;5;0;M511007;1930;1960;1999;x
Vermeire;511009;WLL;1930;1930;1930;1990;1;3;0;0;0;5;1;M511007;1930;1960;1999;x
Wieting;511010;WLL;1930;1930;1990;1990;2;5;1024;0;0;5;1;L511010;1930;1960;1999;x
Heyden;511011;WLL;1930;1990;1990;1990;3;4;1024;0;0;5;1;L511011;1930;1960;1999;x
Lippert;511012;WLL;1930;1990;1990;1990;3;4;4096;0;0;5;2;M511010;1930;1944;1999;x
Niehoff;511013;WLL;1930;1938;1990;1990;2;4;0;1;0;5;2;L511013;1930;1960;1999;x
Reeder;511014;WLL;1930;1939;1990;1990;2;4;0;1;0;5;2;M510061;1940;1945;1999;x
Riva;511015;WLL;1930;1990;1990;1990;3;4;16384;0;0;5;2;L511015;1930;1960;1999;x
Schörgi;511016;WLL;1930;1990;1990;1990;3;5;0;0;0;5;2;L511007;1930;1960;1999;x
