Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abdujohoman;160000;CXB;1930;1930;1990;1990;2;2;0;0;0;4;0;L160000;1930;1943;1999;x
Chang Hsi-liang;160001;CXB;1930;1930;1938;1990;1;2;32;1;0;4;0;L160001;1930;1960;1999;x
Chiang You-fen;160002;CXB;1930;1990;1990;1990;3;2;0;0;0;4;0;L160002;1930;1960;1999;x
Dalerim Khan;160003;CXB;1930;1941;1990;1990;3;3;0;1;0;4;0;L160003;1930;1942;1999;x
Ghai;160004;CXB;1940;1990;1990;1990;3;2;2;0;0;4;0;L160005;1940;1960;1999;x
Ghanni Batur;160005;CXB;1930;1990;1990;1990;3;2;16;0;0;4;0;L160006;1930;1944;1999;x
Ha Yu-liang;160006;CXB;1930;1941;1990;1990;3;2;0;1;0;4;0;L160007;1930;1960;1999;x
Hsu You-hsing;160007;CXB;1930;1943;1990;1990;3;2;256;1;0;4;0;L160008;1930;1960;1999;x
Liu Cheng-hsin;160008;CXB;1930;1990;1990;1990;3;2;1;0;0;5;0;L160012;1930;1960;1999;x
Liu Pin;160009;CXB;1930;1990;1990;1990;3;2;4;0;0;4;0;L160013;1930;1960;1999;x
Ma Hu-shan;160010;CXB;1930;1940;1990;1990;2;3;4;0;0;3;0;M750057;1930;1941;1999;x
Mahmud;160011;CXB;1930;1930;1930;1990;1;3;2;1;0;2;0;L160015;1930;1944;1999;x
Osman Batur;160012;CXB;1930;1930;1990;1990;2;3;20;1;0;2;0;L160016;1930;1941;1999;x
Safiulin;160013;CXB;1930;1930;1990;1990;2;2;4;0;0;4;0;L160019;1930;1942;1999;x
Senungtayev;160014;CXB;1930;1990;1990;1990;3;2;16;0;0;4;0;L160020;1930;1942;1999;x
Seypidin;160015;CXB;1930;1939;1942;1990;2;3;1;2;0;4;0;L160021;1930;1960;1999;x
Shallif Khan;160016;CXB;1930;1930;1990;1990;2;3;64;0;0;2;0;L160022;1930;1943;1999;x
Sheng Shih-chi;160017;CXB;1930;1990;1990;1990;3;2;128;0;0;5;0;L160023;1930;1960;1999;x
Sheng Shih-tsai;160018;CXB;1930;1930;1930;1930;0;2;16;1;0;5;0;L160024;1930;1960;1999;x
Sun Ching-lin;160019;CXB;1930;1990;1990;1990;3;2;0;0;0;4;0;L160025;1930;1960;1999;x
Tang Chih-chuan;160020;CXB;1930;1990;1990;1990;3;2;256;0;0;4;0;L160026;1930;1941;1999;x
Tsui Ying-chun;160021;CXB;1930;1990;1990;1990;3;2;0;0;0;4;0;L160027;1930;1960;1999;x
Wu Hsi-chih;160022;CXB;1930;1990;1990;1990;3;2;128;0;0;4;0;L160028;1930;1960;1999;x
You Teh-sheng;160023;CXB;1930;1990;1990;1990;3;2;0;0;0;4;0;L160029;1930;1943;1999;x
Yuan Ling-yun;160024;CXB;1930;1938;1942;1990;2;3;0;2;0;4;0;L160030;1930;1960;1999;x
Sa Chen-ping;160025;CXB;1930;1930;1930;1990;1;2;0;1;0;4;1;L160033;1930;1960;1999;x
Ma Hongkui;160026;CXB;1930;1930;1930;1990;1;3;1;2;0;2;0;M750054;1930;1960;1999;x
Ma Hongbin;160027;CXB;1930;1930;1990;1990;2;2;0;0;0;2;0;L50236;1930;1942;1999;x
Ma Bufang;160028;CXB;1930;1930;1990;1990;2;2;0;0;0;2;0;M750052;1930;1939;1999;x
Ma Buqing;160029;CXB;1930;1938;1941;1990;1;2;1;1;0;5;0;M750053;1930;1960;1999;x
Ma Hongbin;160030;CXB;1930;1930;1990;1990;2;1;0;0;0;2;1;L50236;1930;1942;1999;x
Ma Bufang;160031;CXB;1930;1930;1990;1990;2;1;0;0;0;2;1;M750052;1930;1939;1999;x
Ma Hongkui;160032;CXB;1930;1939;1941;1990;1;2;0;2;0;2;2;M750054;1930;1960;1999;x
Ma Zhongying;160033;CXB;1930;1930;1990;1990;2;5;20;3;0;4;0;L153003;1930;1960;1999;x
Ma Lin;160034;CXB;1930;1990;1990;1990;3;2;0;1;0;4;0;M750058;1930;1960;1999;x
Ma Fuxiang;160035;CXB;1930;1930;1930;1930;0;2;518;1;0;5;0;M750059;1930;1945;1999;x
Ma Shaowu;160036;CXB;1930;1990;1990;1990;3;3;0;1;0;5;0;M750062;1930;1944;1999;x
Ma Jiyuan;160037;CXB;1930;1937;1990;1990;2;4;1;2;0;4;0;M750061;1930;1944;1999;x
