ARG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
35001;Head of State;Agustin P. Justo;1936;1964;1999;PA;Resigned Generalissimo;High;M35001;x
35002;Head of Government;Agustin P. Justo;1936;1964;1999;PA;Old General;High;M35001;x
35003;Foreign Minister;Carlos Saavedra Lamas;1936;1964;1999;PA;The Cloak N Dagger Schemer;High;M35003;x
35004;Minister of Armament;Alberto Hueyo;1936;1964;1999;PA;laissez-faire capitalist;High;M35004;x
35005;Minister of Security;Ramon Castillo;1936;1964;1999;PA;Prince of Terror;Medium;M35005;x
35006;Head of Military Intelligence;Jorge de la Torre;1936;1964;1999;PA;Industrial Specialist;Medium;M35006;x
35007;Chief of Staff;Manuel A. Rodriguez;1936;1964;1999;PA;School of Defence;Very High;M35007;x
35008;Chief of Army;Manuel A. Rodriguez;1936;1964;1999;PA;Decisive Battle Doctrine;Very High;M35007;x
35009;Chief of Navy;Pedro S. Casal;1936;1964;1999;PA;Base Control Doctrine;Medium;M35009;x
35010;Chief of Air Force;Antonio Parodi;1936;1964;1999;PA;Air Superiority Doctrine;Very High;M35010;x
35031;Head of State;Agustin P. Justo;1936;1964;1999;SC;Resigned Generalissimo;High;M35001;x
35032;Head of State;Luis Podesta Costa;1938;1964;1999;SC;Benevolent Gentleman;High;M35014;x
35033;Head of State;Ramon Castillo;1942;1964;1999;PA;Stern Imperialist;High;M35005;x
35034;Head of State;Manuel Maria de Iriondo;1946;1964;1999;SC;Insignificant Layman;High;M35034;x
35035;Head of State;Marcelo T. Alvear;1936;1964;1999;SL;Die-hard Reformer;High;M35035;x
35036;Head of State;Robustiano Patron Costas;1942;1964;1999;SC;Popular Figurehead;High;M35036;x
35038;Head of State;Gustavo Mendoza Curtin;1940;1964;1999;SD;Popular Figurehead;High;M35038;x
35039;Head of State;Roberto M. Ortiz;1936;1964;1999;PA;Pig-headed Isolationist;High;M35039;x
35040;Head of State;Julio A. Roca;1940;1964;1999;SC;Autocratic Charmer;High;M35040;x
35041;Head of State;Edelmiro Farrell;1943;1964;1999;SC;Resigned Generalissimo;High;M35041;x
35042;Head of State;Cesar Armeghino;1944;1964;1999;PA;Autocratic Charmer;High;M35042;x
35043;Head of State;Carlos Alberto Pueyrredon;1936;1964;1999;FA;Ruthless Powermonger;High;M35011;x
35044;Head of State;Juan Domingo Peron;1943;1964;1999;FA;Autocratic Charmer;High;M35021;x
35045;Head of Government;Agustin P. Justo;1936;1964;1999;SC;Old General;High;M35001;x
35046;Head of Government;Luis Podesta Costa;1938;1964;1999;SC;Backroom Backstabber;High;M35014;x
35047;Head of Government;Ramon Castillo;1940;1964;1999;PA;Old General;High;M35005;x
35048;Head of Government;Manuel Maria de Iriondo;1946;1964;1999;SC;Silent Workhorse;High;M35034;x
35049;Head of Government;Marcelo T. Alvear;1936;1964;1999;SL;Naive Optimist;High;M35035;x
35050;Head of Government;Robustiano Patron Costas;1942;1964;1999;SC;Smiling Oilman;High;M35036;x
35052;Head of Government;Gustavo Mendoza Curtin;1940;1964;1999;SD;Corporate Suit;High;M35038;x
35053;Head of Government;Roberto M. Ortiz;1936;1964;1999;PA;Flamboyant Tough Guy;High;M35039;x
35054;Head of Government;Julio A. Roca;1940;1964;1999;SC;Happy Amateur;High;M35040;x
