AZB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
516001;Head of State;Nizham Narimanov;1936;1964;1999;LWR;Stern Imperialist;High;M516001;X
516002;Head of Government;Faraz Guzeinov;1936;1964;1999;LWR;Backroom Backstabber;High;M516002;X
516003;Foreign Minister;Suleyman Rustam;1936;1964;1999;LWR;The Cloak N Dagger Schemer;High;M516003;X
516004;Minister of Armament;Ilyas Afandiev;1936;1964;1999;LWR;Theoretical Scientist;Medium;M516004;X
516005;Minister of Security;Arash Bulbul;1936;1964;1999;LWR;Compassionate Gentleman;Medium;M516005;X
516006;Head of Military Intelligence;Rasul Reza;1936;1964;1999;LWR;Industrial Specialist;Medium;M516006;X
516007;Chief of Staff;Hajibaba Zeynalov;1948;1970;1999;SD;School of Mass Combat;High;LHajibaba_Mamed_oglu_Zeynalov;X
516008;Chief of Army;Khalil Mamedov;1950;1964;1999;LWR;Elastic Defence Doctrine;Medium;M516008;X
516009;Chief of Navy;Kambiz Krasnoshapka;1936;1964;1999;LWR;Open Seas Doctrine;High;M516009;X
516010;Chief of Air Force;Rizvan Zeynalov;1941;1970;1999;SL;Naval Aviation Doctrine;High;LRizvan_Zeynalov;X
516011;Head of State;Rajib Kulbenzhian;1936;1964;1999;ML;Barking Buffoon;High;M516011;X
516012;Head of Government;Fatali Khan Khoyski;1936;1964;1999;ML;Smiling Oilman;Very High;M516003;X
516013;Head of Government;Arash Bulbul;1936;1964;1999;ML;Flamboyant Tough Guy;Medium;M516005;X
516014;Foreign Minister;Khaslatam Narimanov;1936;1964;1999;LWR;General Staffer;High;M516014;X
516015;Foreign Minister;Mammad Amin Rasulzade;1936;1964;1999;SC;Biased Intellectual;High;AZB_Rasulzade;X
516038;Head of State;Mammad Amin Rasulzade;1936;1970;1999;SC;Stern Imperialist;Very High;AZB_Rasulzade;X
516039;Head of Government;Nasib Yusifbeyli;1936;1970;1999;SC;Silent Workhorse;Very High;AZB_Yusifbeyli;X
516040;Foreign Minister;Mammad Yusif Jafarov;1936;1970;1999;SC;Apologetic Clerk;Very High;AZB_Jafarov;X
516041;Minister of Armament;Abdulali bey Amirjanov;1936;1948;1999;SC;Administrative Genius;Very High;AZB_Amirjanov;X
516042;Minister of Security;Behbud Khan Javanshir;1936;1970;1999;SC;Prince of Terror;Very High;AZB_Javanshir;X
516043;Head of Military Intelligence;Mammad Hasan Hajinski;1936;1970;1999;SC;Political Specialist;Very High;AZB_Hajinski;X
516044;Minister of Armament;Ali-Agha Shikhlinski;1936;1944;1999;PA;Artillery Proponent;High;AZB_Shikhlinski;X
516045;Chief of Army;Sadykh bey Aghabeyov;1936;1970;1999;SC;Static Defence Doctrine;High;AZB_Aghabeyov;X
516046;Chief of Navy;Khosrov bey Sultanov;1936;1944;1999;SC;Base Control Doctrine;Very High;AZB_Sultanov;X
516047;Chief of Air Force;Ibrahim bey Usubov;1936;1945;1999;SC;Air Defence Doctrine;High;AZB_Usobov;X
516048;Head of State;Ali-Agha Shikhlinski;1936;1944;1999;PA;Resigned Generalissimo;Very High;AZB_Shikhlinski;X
516049;Head of Government;Ali-Agha Shikhlinski;1936;1944;1999;PA;Old General;Very High;AZB_Shikhlinski;X
516016;Foreign Minister;Arash Bulbul;1936;1964;1999;SD;Great Compromiser;Medium;M516005;X
516017;Foreign Minister;Mahammad Rahman;1936;1964;1999;ML;Iron Fisted Brute;Medium;M516017;X
516018;Minister of Armament;Mehdi Husein;1936;1964;1999;LWR;Tank Proponent;Medium;M516018;X
516019;Minister of Armament;dr. Mahmood Ghasbalatam;1936;1964;1999;LWR;Laissez-Faire Capitalist;Medium;M516019;X
516020;Minister of Armament;Amin Aziz;1936;1964;1999;LWR;Infantry Proponent;Medium;M516020;X
516021;Minister of Armament;Rajib Kulbenzhian;1936;1964;1999;SD;Corrupt Kleptocrat;High;M516011;X
516022;Minister of Armament;Ismayl Shikhali;1936;1964;1999;ML;Military Entrepreneur;High;M516022;X
516023;Minister of Security;Nigar Rafibelyi;1936;1964;1999;LWR;Crime Fighter;Medium;M516023;X
516024;Minister of Security;Sabat Rahman;1936;1964;1999;LWR;Silent Lawyer;Medium;M516024;X
516025;Minister of Security;Rasul Reza;1936;1964;1999;SD;Man of the People;Medium;M516006;X
516026;Minister of Security;Mirza Ibrahimov;1936;1964;1999;ML;Back Stabber;Medium;M516026;X
516027;Head of Military Intelligence;Nariman Narimanov;1936;1964;1999;LWR;Naval Intelligence Specialist;Medium;M516027;X
516028;Head of Military Intelligence;Soultanov Khosrov Ebk;1936;1964;1999;SD;Logistics Specialist;Medium;M516028;X
516029;Head of Military Intelligence;Rahmud Azizbayob;1936;1964;1999;ML;Dismal Enigma;Medium;M516029;X
516030;Chief of Staff;Samed Bey Mehmandarov;1930;1935;1999;SD;School of Defence;Medium;M516030;X
516031;Chief of Staff;Khalil Mamedov;1950;1964;1999;ML;School of Manoeuvre;Medium;M516008;X
516032;Chief of Army;Qalib bey Vekilov;1920;1958;1999;SC;Combat Engineering Doctrine;High;LGalib_bey_Vekilov;X
516033;Chief of Air Force;Leyla Mammadbeyova;1935;1970;1999;SL;Vertical Envelopment Doctrine;High;LLeyla_Mammadbeyova;X
516034;Chief of Navy;Samed Bey Mehmandarov;1930;1935;1999;SD;Base Control Doctrine;High;M516030;X
516035;Chief of Navy;Jalil Javadov;1949;1970;1999;ML;Riverine Warfare Doctrine;High;LJalil_Javadov;X
516036;Chief of Air Force;Ali bey Verdiyev;1920;1957;1999;SD;Aviation Organizer;High;MAli_bey_Verdiyev;X
516037;Chief of Air Force;Zuleykha Seyidmammadova;1938;1970;1999;SD;Army Aviation Doctrine;High;LZuleykha_Seyidmammadova;X
516050;Chief of Navy;Viktor Sergeevich Cherokov;1945;1970;1999;SD;Open Seas Doctrine;High;LViktor_Sergeevich_Cherokov;X
516051;Chief of Staff;Abdulhamid bey Qaytabashi;1936;1960;1999;SC;School of Defence;High;LAbdulhamid_Qaytabashi;X
516052;Chief of Army;Abdulhamid bey Qaytabashi;1936;1960;1999;SC;Guns and Butter Doctrine;High;LAbdulhamid_Qaytabashi;X
516053;Chief of Staff;Shirin bey Kasamanli;1920;1962;1999;SC;School of Mass Combat;High;LShirin-bek_Kesamansky;X
516054;Chief of Staff;Rüstam Shikhlinski;1920;1953;1999;PA;School of Fire Support;High;LRustam_Shikhlinski;X
516055;Chief of Army;Rüstam Shikhlinski;1920;1953;1999;PA;Decisive Battle Doctrine;High;LRustam_Shikhlinski;X
516056;Chief of Staff;Hazi Aslanov;1948;1970;1999;LWR;School of Manoeuvre;High;LHazi_Aslanov;X
516057;Chief of Army;Hazi Aslanov;1948;1970;1999;LWR;Armoured Spearhead Doctrine;High;LHazi_Aslanov;X
516058;Chief of Staff;Jamshid Nakhichevan;1936;1970;1999;SD;School of Manoeuvre;High;LJamshid_Nakhchivanski;X
516059;Chief of Army;Jamshid Nakhichevan;1936;1970;1999;SD;Old Cavalry General;High;LJamshid_Nakhchivanski;X
516060;Chief of Army;Hajibaba Zeynalov;1948;1970;1999;SD;Doctrine of Autonomy;High;LHajibaba_Mamed_oglu_Zeynalov;X
516061;Chief of Army;Habib bey Salimov;1936;1964;1999;SC;Old Cavalry General;High;LHabib_bey_Salimov;X
516062;Chief of Army;Vali bey Yadigarov;1938;1970;1999;SC;Old Cavalry General;High;LVali_bey_Yadigarov;X
516063;Chief of Army;Qambay Vezirov;1932;1965;1999;SL;Elastic Defence Doctrine;High;LGambay_Vezirov;X
516064;Chief of Navy;Tarlan Aliyarbeyov;1930;1958;1999;ML;Riverine Warfare Doctrine;High;LTarlan_Aliyarbeyov;X
516065;Chief of Air Force;Nureddin Aliyev;1946;1970;1999;SC;Army Aviation Doctrine;High;LNureddin_Majid_oglu_Aliyev;X
516066;Chief of Air Force;Adil Quliyev;1948;1970;1999;SC;Air Superiority Doctrine;High;LAdil_Guliyev;X
