BEN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
533001;Head of State;Leon Geismar;1936;1964;1999;SL;Ruthless Powermonger;High;M533001;x
533002;Head of Government;Julien Georges Lamy;1936;1964;1999;SL;Backroom Backstabber;High;M533002;x
533003;Foreign Minister;Hubert Deschamps;1936;1964;1999;SL;Iron Fisted Brute;High;M533003;x
533004;Minister of Armament;Horace Valentin Crocicchia;1936;1964;1999;SL;Battle Fleet Proponent;Medium;M533004;x
533005;Minister of Security;Louis Bressolles;1936;1964;1999;SL;Crime Fighter;Medium;M533005;x
533006;Head of Military Intelligence;Albert Mercadier;1936;1964;1999;SL;Technical Specialist;Medium;M533006;x
533007;Chief of Staff;Jean de Saint-Alary;1936;1964;1999;SL;School of Defence;Medium;M533007;x
533008;Chief of Army;Leonce Joseph Delpech;1936;1964;1999;SL;Static Defence Doctrine;Medium;M533008;x
533009;Chief of Navy;Francis d'Oultre Seille;1936;1964;1999;SL;Indirect Approach Doctrine;Medium;M533009;x
533010;Chief of Air Force;Louis Flury-Hérard;1936;1964;1999;SL;Vertical Envelopment Doctrine;Medium;M533010;x
533011;Head of State;Michel Lucien Montagne;1936;1964;1999;SL;Autocratic Charmer;High;M533011;x
533012;Head of State;Leonce Joseph Delpech;1941;1964;1999;SL;Resigned Generalissimo;High;M533008;x
533013;Head of State;Jean de Saint-Alary;1941;1964;1999;SL;Weary Stiffneck;High;M533007;x
533014;Head of State;Pierre Salceti;1942;1964;1999;SL;Benevolent Gentleman;High;M533014;x
533015;Head of State;Albert Mercadier;1943;1964;1999;SL;Stern Imperialist;High;M533006;x
533016;Head of State;Jean Noutary;1944;1964;1999;SL;Pig-headed Isolationist;High;M533016;x
533017;Head of State;Gaston Mondon-Vidailhet;1936;1964;1999;PA;Die-hard Reformer;High;M533017;x
533018;Head of State;Felix Houphouet-Boigny;1936;1964;1999;LWR;Popular Figurehead;High;M533018;x
533019;Head of Government;Gaston Mondon-Vidailhet;1936;1964;1999;SL;Corporate Suit;High;M533017;x
533020;Head of Government;Louis Bressolles;1938;1964;1999;SL;Flamboyant Tough Guy;High;M533005;x
533021;Head of Government;Horace Valentin Crocicchia;1938;1964;1999;SL;Old Admiral;High;M533004;x
533022;Head of Government;Hubert Deschamps;1941;1964;1999;SL;Naive Optimist;High;M533003;x
533023;Head of Government;Georges Pierre Rey;1942;1964;1999;SL;Naive Optimist;High;M533023;x
533024;Head of Government;Andre Latrille;1943;1964;1999;SL;Old General;High;M533024;x
533025;Head of Government;Henry de Mauduit;1945;1964;1999;SL;Ambitious Union Boss;High;M533025;x
533026;Head of Government;Oswald Durand;1947;1964;1999;SL;Ambitious Union Boss;High;M533026;x
533027;Head of Government;Georges Pierre Rey;1936;1964;1999;PA;Political Protege;High;M533023;x
533028;Head of Government;Sylvanus Olympio;1936;1964;1999;LWR;Corporate Suit;High;M533028;x
533029;Foreign Minister;Louis Picon;1940;1964;1999;SL;The Cloak N Dagger Schemer;High;M533029;x
533030;Foreign Minister;Jean Noutary;1943;1964;1999;SL;Great Compromiser;High;M533016;x
533031;Foreign Minister;Edme-Henri Gallois;1945;1964;1999;SL;Apologetic Clerk;High;M533031;x
533032;Foreign Minister;Oswald Durand;1936;1964;1999;PA;Iron Fisted Brute;High;M533026;x
533033;Foreign Minister;Nicolas Grunitzky;1936;1964;1999;LWR;Biased Intellectual;High;M533033;x
533034;Foreign Minister;Souro Migan Apithy;1942;1964;1999;LWR;Ideological Crusader;High;M533034;x
533035;Minister of Armament;Georges Pierre Rey;1939;1964;1999;SL;Submarine Proponent;Medium;M533023;x
533036;Minister of Armament;Epiphanio Olympio;1941;1964;1999;SL;Military Entrepreneur;Medium;M533036;x
533037;Minister of Armament;Raymond Echanne;1943;1964;1999;SL;laissez-faire capitalist;Medium;M533037;x
533038;Minister of Armament;Charles Guéritault;1936;1964;1999;PA;Air to Ground Proponent;Medium;M533038;x
533039;Minister of Armament;Hubert Maga;1936;1964;1999;LWR;Battle Fleet Proponent;Medium;M533039;x
533040;Minister of Armament;Pierre Azenard;1941;1964;1999;LWR;Air Superiority Proponent;Medium;M533040;x
533041;Minister of Security;Paul Milleliri;1941;1964;1999;SL;Back Stabber;Medium;M533041;x
533042;Minister of Security;Henry de Mauduit;1943;1964;1999;SL;Man of the People;Medium;M533025;x
533043;Minister of Security;André Lavergne;1945;1964;1999;SL;Prince of Terror;Medium;M533043;x
533044;Minister of Security;Albert Doti;1936;1964;1999;PA;Back Stabber;Medium;M533044;x
533045;Minister of Security;Maurice Yameogo;1936;1964;1999;LWR;Crime Fighter;Medium;M533045;x
533046;Head of Military Intelligence;Charles Guéritault;1940;1964;1999;SL;Dismal Enigma;Medium;M533038;x
