BHU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
74001;Head of State;Jigme Wangchuk;1936;1964;1999;PA;Ruthless Powermonger;High;M74001;x
74002;Head of Government;Sonam Tobgay Dorji;1936;1964;1999;PA;Backroom Backstabber;High;M74002;x
74003;Foreign Minister;Sonam Tobgay Dorji;1936;1964;1999;PA;Biased Intellectual;High;M74002;x
74004;Minister of Armament;Ahmad Akhaz;1936;1964;1999;PA;Infantry Proponent;Medium;M74004;x
74005;Minister of Security;Mang-pos Bhur-ba'i Rgyalpo;1936;1964;1999;PA;Man of the People;Medium;M74005;x
74006;Head of Military Intelligence;Reginald B. Stevens;1936;1964;1999;PA;Dismal Enigma;Medium;M74006;x
74007;Chief of Staff;Namgyal Bahadur;1936;1964;1999;PA;School of Manoeuvre;Medium;M74007;x
74008;Chief of Army;Philip Toozey;1936;1964;1999;PA;Guns and Butter Doctrine;Medium;M74008;x
74009;Chief of Navy;Tommy Gould;1936;1964;1999;PA;Indirect Approach Doctrine;Medium;M74009;x
74010;Chief of Air Force;Nicky Barr;1936;1964;1999;PA;Air Superiority Doctrine;Medium;M74010;x
74011;Foreign Minister;Sir Basil Gould;1937;1964;1999;PA;Iron Fisted Brute;High;M74011;x
74012;Foreign Minister;Namgyal Bahadur;1938;1964;1999;PA;General Staffer;Medium;M74007;x
74013;Foreign Minister;Mang-pos Bhur-ba'i Rgyalpo;1939;1964;1999;PA;Ideological Crusader;Medium;M74005;x
74014;Foreign Minister;Ahmad Akhaz;1940;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M74004;x
74015;Foreign Minister;William Stevenson Meyer;1941;1964;1999;PA;Apologetic Clerk;Medium;M74015;x
74016;Foreign Minister;Arthur John Hopkinson;1945;1964;1999;PA;Great Compromiser;High;M74016;x
74017;Foreign Minister;Edward Cook;1945;1964;1999;PA;Biased Intellectual;High;M74017;x
74018;Minister of Armament;William Stevenson Meyer;1937;1964;1999;PA;Resource Industrialist;Medium;M74015;x
74019;Minister of Armament;Karma S. Bahadur;1938;1964;1999;PA;Military Entrepreneur;Medium;M74019;x
74020;Minister of Armament;Sonam Tobgay Dorji;1939;1964;1999;PA;laissez-faire capitalist;Medium;M74002;x
74021;Minister of Armament;Edward Cook;1939;1964;1999;PA;Administrative Genius;High;M74017;x
74022;Minister of Armament;Nicky Barr;1940;1964;1999;PA;Air Superiority Proponent;Medium;M74010;x
74023;Minister of Armament;Tommy Gould;1941;1964;1999;PA;Submarine Proponent;Medium;M74009;x
