BOL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
43001;Head of State;Jose Tejada Sorzano;1936;1964;1999;SL;Weary Stiffneck;Low;M43001;x
43002;Head of Government;Jose Tejada Sorzano;1936;1964;1999;SL;Smiling Oilman;Low;M43001;x
43003;Foreign Minister;José Maria Gutierrez;1936;1964;1999;SL;Iron Fisted Brute;High;M43003;x
43004;Minister of Armament;Moritz Hochschild;1936;1964;1999;SL;Laissez-Faire Capitalist;Medium;M43004;x
43005;Minister of Security;José Santos Quinteros;1936;1964;1999;SL;Compassionate Gentleman;High;M43005;x
43006;Head of Military Intelligence;Carlos Altamirano;1936;1964;1999;SL;Dismal Enigma;Medium;M43006;x
43007;Chief of Staff;Gualberto Villarroel Lopez;1936;1964;1999;FA;School of Fire Support;Very Low;M43007;x
43008;Chief of Army;Hans Kundt;1936;1964;1999;SL;Decisive Battle Doctrine;Medium;M43008;x
43009;Chief of Navy;Gil Ibarra Juarez;1936;1964;1999;SL;Indirect Approach Doctrine;Medium;M43009;x
43010;Chief of Air Force;Bernardino Bilbao Rioja;1936;1964;1999;FA;Army Aviation Doctrine;Medium;M43010;x
;Replacements;;;;;;;;;x
43031;Head of State;Enrique Finot;1936;1964;1999;SD;Pig-headed Isolationist;High;M43031;x
43032;Head of State;German Busch Beccera;1937;1964;1999;SD;Popular Figurehead;High;M43032;x
43033;Head of State;Rafael Franco Rafél;1936;1964;1999;SL;Benevolent Gentleman;High;M43033;x
43034;Head of State;Waldo Belmonte Pool;1938;1964;1999;SL;Insignificant Layman;High;M43034;x
43035;Head of State;Néstor Guillén Olmos;1944;1964;1999;SC;Autocratic Charmer;High;M43035;x
43036;Head of State;Abadon Saavedra Mallea;1936;1964;1999;SC;Stern Imperialist;High;M43036;x
43037;Head of State;Carlos Quintanilla Quiroga;1938;1964;1999;SC;Resigned Generalissimo;High;M43037;x
