CAN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
45002;Head of Government;Mackenzie King;1936;1964;1999;ML;Flamboyant Tough Guy;High;M45002;X
45155;Chief of Army;J.F.C Fuller;1936;1970;1999;PA;Armoured Spearhead Doctrine;Very High;CAN_Fuller;X
45156;Chief of Staff;J.F.C Fuller;1936;1970;1999;PA;School of Manoeuvre;Very High;CAN_Fuller;X
45157;Head of Government;Louis St. Laurent;1936;1970;1999;ML;Flamboyant Tough Guy;Very High;M45042;X
45158;Head of Government;John Diefenbaker;1940;1970;1999;SC;Ambitious Union Boss;Very High;CAN_Diefenbaker;X
45159;Minister of Security;John Diefenbaker;1940;1970;1999;SC;Man of the People;Very High;CAN_Diefenbaker;X
45160;Foreign Minister;Lester B. Pearson;1940;1970;1999;ML;Great Compromiser;Very High;CAN_Pearson;X
45161;Minister of Security;Agnes Macphail;1936;1970;1999;SD;Compassionate Gentleman;Very High;CAN_Macphail;X
45163;Minister of Security;Stuart Garson;1936;1970;1999;SL;Crime Fighter;Very High;CAN_Garson;X
45162;Head of Military Intelligence;Mitchell Hepburn;1936;1970;1999;SL;Political Specialist;Very High;CAN_Hepburn;X
45164;Minister of Armament;Alphonse Fournier;1936;1970;1999;SL;Industrialiser;Very High;CAN_Fournier;X
45166;Head of Government;Thomas A. Crerar;1936;1970;1999;SL;Happy Amateur;Very High;M45070;X
45003;Foreign Minister;Mackenzie King;1936;1964;1999;ML;Great Compromiser;Undying;M45002;X
45004;Minister of Armament;Ian A. MacKenzie;1936;1964;1999;ML;Bank President;High;M45004;X
45005;Minister of Security;Ernest Lapointe;1936;1964;1999;ML;Silent Lawyer;Very High;M45005;X
45006;Head of Military Intelligence;Henry Crerar;1936;1964;1999;ML;Logistics Specialist;High;M45006;X
45007;Chief of Staff;Ernest Ashton;1936;1964;1999;ML;School of Fire Support;Very High;M45007;X
45008;Chief of Army;Ernest Ashton;1936;1964;1999;ML;Guns and Butter Doctrine;Very High;M45007;X
45009;Chief of Navy;Percy Nelles;1936;1964;1999;ML;Open Seas Doctrine;Very High;M45009;X
45010;Chief of Air Force;George Croil;1936;1964;1999;ML;Carpet Bombing Doctrine;Very High;M45010;X
45033;Head of State;Adrien Arcand;1936;1964;1999;FA;Barking Buffoon;High;M45011;X
45176;Foreign Minister;Anthony Eden;1936;1970;1977;PA;Ideological Crusader;Very High;M1003;X
45178;Minister of Security;H. Harmsworth, Viscount Rothermere;1936;1941;1941;FA;Back Stabber;Very High;CAN_Rothermere;X
45177;Minister of Armament;H. Harmsworth, Viscount Rothermere;1936;1941;1941;FA;Strategic Air Proponent;Very High;CAN_Rothermere;X
45034;Head of State;Tim Buck;1936;1964;1999;ST;Insignificant Layman;High;M45021;X
45036;Head of Government;R.B. Bennett;1936;1964;1999;SC;Silent Workhorse;High;M45036;X
45037;Minister of Armament;Robert Manion;1936;1964;1999;SC;Industrialiser;Very High;M45037;X
45038;Minister of Armament;John Bracken;1936;1964;1999;SC;Military Entrepreneur;High;M45038;X
45039;Head of Government;Adrien Arcand;1936;1964;1999;FA;Happy Amateur;High;M45011;X
45040;Head of Government;Tim Buck;1936;1964;1999;ST;Ambitious Union Boss;High;M45021;X
45042;Foreign Minister;Louis St. Laurent;1943;1964;1999;ML;Ideological Crusader;High;M45042;X
45043;Foreign Minister;R.B. Bennett;1936;1964;1999;SC;Iron Fisted Brute;Undying;M45036;X
45044;Foreign Minister;Newton Wesley Rowell;1936;1941;1999;ML;Ideological Crusader;High;M45044;X
45175;Head of Military Intelligence;Ormonde Winter;1936;1962;1962;FA;O;Very High;CAN_Winter;X
45045;Foreign Minister;Robert Manion;1936;1964;1999;SC;Apologetic Clerk;Undying;M45037;X
45046;Foreign Minister;John Bracken;1937;1964;1999;SC;Biased Intellectual;Undying;M45038;X
45047;Foreign Minister;Adrien Arcand;1936;1964;1999;FA;Ideological Crusader;Low;M45011;X
45048;Foreign Minister;Andrew Greene Carnell;1944;1964;1999;PA;Iron Fisted Brute;Medium;M45016;X
45049;Foreign Minister;Tim Buck;1936;1964;1999;ST;The Cloak N Dagger Schemer;Very Low;M45021;X
45050;Foreign Minister;Armand Lavassieux;1942;1964;1999;LWR;Biased Intellectual;Medium;M45050;X
45051;Foreign Minister;John Lethbridge;1945;1964;1999;LE;Ideological Crusader;Medium;M45028;X
45053;Minister of Armament;James Ralston;1940;1964;1999;ML;Theoretical Scientist;High;M45053;X
45054;Minister of Armament;Douglas S. Abbott;1940;1964;1999;ML;Bank President;Very High;M45054;X
45055;Minister of Armament;Raoul Dandurand;1936;1940;1999;ML;Laissez-Faire Capitalist;Very High;M45055;X
45056;Minister of Armament;Arthur Meighen;1936;1964;1999;SC;Resource Industrialist;High;M45056;X
45057;Minister of Armament;C.D. Howe;1936;1964;1999;ML;The Minister For Everything;Very High;M45057;X
45058;Minister of Armament;John Ross Taylor;1936;1964;1999;FA;Corrupt Kleptocrat;Very Low;M45014;X
45059;Minister of Armament;Tasker Cook;1936;1939;1999;PA;Industrialiser;Medium;M45059;X
45060;Minister of Armament;Charles J. Howlett;1942;1964;1999;PA;Infantry Proponent;Medium;M45060;X
45061;Minister of Armament;René St. Pierre;1944;1964;1999;PA;Battle Fleet Proponent;Medium;M45061;X
45062;Minister of Armament;Pierre Gagnon;1945;1964;1999;PA;Resource Industrialist;Medium;M45062;X
45063;Minister of Armament;Matthew Popovich;1936;1964;1999;LWR;Tank Proponent;Low;M45024;X
45064;Minister of Armament;William Kashtan;1938;1964;1999;LE;Resource Industrialist;Low;M45064;X
45065;Minister of Armament;Robert M. Edwards;1941;1964;1999;LWR;Infantry Proponent;Medium;M45065;X
45066;Minister of Armament;Bob Mann;1943;1964;1999;LE;Air Superiority Proponent;Medium;M45030;X
45068;Minister of Security;George Eulas Foster;1940;1964;1999;ML;Crime Fighter;Medium;M45068;X
