CHL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
44001;Head of State;Arturo Alessandri Palma;1936;1964;1999;SL;Stern Imperialist;High;M44001;x
44002;Head of Government;Gustavo Ross Santa Maria;1936;1964;1999;SL;Naive Optimist;High;M44002;x
44003;Foreign Minister;Miguel Cruchaga Tocornal;1936;1964;1999;SL;Iron Fisted Brute;Medium;M44003;x
44004;Minister of Armament;Eduardo Hillman;1936;1964;1999;SL;Resource Industrialist;High;M44004;x
44005;Minister of Security;Arturo Alessandri Palma;1936;1964;1999;SL;Compassionate Gentleman;Medium;M44001;x
44006;Head of Military Intelligence;Julio Allard Pinto;1936;1964;1999;SL;Naval Intelligence Specialist;Medium;M44006;x
44007;Chief of Staff;C.J. de la Motte;1936;1964;1999;SL;School of Fire Support;Medium;M44007;x
44008;Chief of Army;E. Novoa Fuentes;1936;1964;1999;SL;Static Defence Doctrine;Medium;M44008;x
44009;Chief of Navy;C.J. de la Motte;1936;1964;1999;SL;Open Seas Doctrine;Medium;M44007;x
44010;Chief of Air Force;Dario Mujica Gamboa;1936;1964;1999;SL;Air Superiority Doctrine;Medium;M44010;x
;Replacements;;;;;;;;;x
44011;Head of State;Luis Barros Borgoño;1936;1964;1999;SL;Popular Figurehead;Medium;Luis Barros;x
44012;Head of State;Jorge Gonzalez von Mareés;1936;1964;1999;FA;Autocratic Charmer;High;kaiserreich jorgegonzalezvonmarees;x
44013;Head of State;Pedro Aguirre Cerda;1938;1964;1999;SD;Benevolent Gentleman;High;M44031;x
44014;Head of State;Miguel Cruchaga Tocornal;1938;1964;1999;SL;Autocratic Charmer;Medium;M44003;x
44015;Head of State;Marmaduke Grove;1938;1964;1999;LE;Barking Buffoon;High;M44021;x
44020;Head of State;Carlos Ibáñez del Campo;1938;1964;1999;SC;Resigned Generalissimo;High;M44035;x
44021;Head of State;Carlos Ibáñez del Campo;1938;1964;1999;PA;Resigned Generalissimo;High;M44035;x
44016;Head of State;Gustavo Ross Santa Maria;1938;1964;1999;SC;Popular Figurehead;High;M44002;x
44017;Head of State;Jeronimo Mendez Arancíbia;1941;1964;1999;SD;Stern Imperialist;High;M44157;x
44018;Head of State;Manuel Mora Miranda;1942;1964;1999;SC;Insignificant Layman;High;M44045;x
44019;Head of State;Antonio J. Rios Morales;1942;1964;1999;SD;Weary Stiffneck;High;M44032;x
44022;Head of State;Misael Galleguillos;1944;1964;1999;FA;Insignificant Layman;High;M44012;x
44023;Head of State;Salvador Allende;1945;1964;1999;LWR;Die-hard Reformer;High;M44039;x
44024;Head of State;Alfredo Duhalde Vasquez;1946;1964;1999;SD;Pig-headed Isolationist;High;M44159;x
44025;Head of State;Eduardo Cruz-Coke;1946;1964;1999;SC;Stern Imperialist;High;kaiserreich ECC;x
44026;Head of State;Gabriel Gonzalez Videla;1946;1964;1999;SD;Popular Figurehead;High;M44033;x
44027;Head of State;Arturo Matte Larraín;1952;1964;1999;SL;Popular Figurehead;High;kaiserreich AML;x
44028;Head of Government;Emiliano Figueroa;1936;1964;1999;SL;Silent Workhorse;Medium;Emiliano Figueroa;x
44029;Head of Government;Misael Galleguillos;1936;1964;1999;FA;Ambitious Union Boss;High;M44012;x
44030;Head of Government;Miguel Cruchaga Tocornal;1938;1964;1999;SL;Naive Optimist;Medium;M44003;x
44031;Head of Government;Pedro Aguirre Cerda;1938;1964;1999;SD;Political Protege;High;M44031;x
44032;Head of Government;Arturo Alessandri Palma;1938;1964;1999;SL;Smiling Oilman;High;M44001;x
44033;Head of Government;C.L. Blest Riffo;1938;1964;1999;LE;Old Admiral;High;M44022;x
44034;Head of Government;Gustavo Ross Santa Maria;1938;1964;1999;SC;Naive Optimist;High;M44002;x
44035;Head of Government;Jeronimo Mendez Arancíbia;1941;1964;1999;SD;Silent Workhorse;High;M44157;x
44036;Head of Government;Manuel Mora Miranda;1942;1964;1999;SC;Happy Amateur;High;M44045;x
44037;Head of Government;Carlos Ibáñez del Campo;1942;1964;1999;PA;Old General;High;M44035;x
44038;Head of Government;Marmaduke Grove;1942;1964;1999;LE;old airmarshal;High;M44021;x
44039;Head of Government;Antonio J. Rios Morales;1942;1964;1999;SD;Flamboyant Tough Guy;High;M44032;x
