COL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
37001;Head of State;Alfonso López Pumarejo;1936;1964;1999;SD;Weary Stiffneck;High;M37001;x
37002;Head of Government;Alfonso López Pumarejo;1936;1964;1999;SD;Silent Workhorse;High;M37001;x
37003;Foreign Minister;Ernesto Gonzalez Piedrahita;1936;1964;1999;SD;Ideological Crusader;Medium;M37003;x
37004;Minister of Armament;Benito Hernandez;1936;1964;1999;SD;Corrupt Kleptocrat;Medium;M37004;x
37005;Minister of Security;Jorge Roa Martinez;1936;1964;1999;SD;Compassionate Gentleman;Medium;M37005;x
37006;Head of Military Intelligence;Fernando Londono y Londono;1936;1964;1999;SD;Industrial Specialist;Medium;M37006;x
37007;Chief of Staff;Jorge Mercado Sanchez;1936;1964;1999;SD;School of Defence;Medium;M37007;x
37008;Chief of Army;Eduardo Poirier Escobar;1936;1964;1999;SD;Elastic Defence Doctrine;Medium;M37008;x
37009;Chief of Navy;Luis Acevedo;1936;1964;1999;SD;Decisive Naval Battle Doctrine;Medium;M37009;x
37010;Chief of Air Force;German Olano;1936;1964;1999;SD;Air Superiority Doctrine;Medium;M37010;x
37032;Head of State;Eduardo Santos Montejo;1938;1964;1999;SL;Autocratic Charmer;High;M37032;x
37033;Head of State;Alberto Lleras Camargo;1942;1964;1999;SL;Insignificant Layman;High;M37033;x
37034;Head of State;Gabriel Turbay Ayala;1946;1964;1999;SL;Benevolent Gentleman;High;M37034;x
37035;Head of State;Joaquin Fernandez;1938;1964;1999;SC;Popular Figurehead;High;M37035;x
37036;Head of State;Carlos Arango Vélez;1942;1964;1999;SC;Stern Imperialist;High;M37036;x
37037;Head of State;Jorge Eliecer Gaitan;1945;1964;1999;SC;Popular Figurehead;High;M37037;x
37038;Head of State;Mariano Ospina Pérez;1946;1964;1999;ML;Barking Buffoon;High;M37038;x
37039;Head of State;Julio Valdez;1936;1964;1999;FA;Resigned Generalissimo;High;M37011;x
37040;Head of State;Gustavo Rojas Pinilla;1945;1964;1999;PA;Resigned Generalissimo;High;M37040;x
37041;Head of State;Querista Sellor;1938;1964;1999;LE;Pig-headed Isolationist;High;M37021;x
37042;Head of State;Jorge Eliecer Gaitan;1946;1964;1999;LWR;Popular Figurehead;High;M37037;x
37044;Head of Government;Carlos Lozano y Lozano;1938;1964;1999;SD;Smiling Oilman;High;M37044;x
37045;Head of Government;Darío Echandía;1943;1964;1999;SD;Happy Amateur;High;M37045;x
37046;Head of Government;Eduardo Santos Montejo;1938;1964;1999;SL;Flamboyant Tough Guy;High;M37032;x
37047;Head of Government;Alberto Lleras Camargo;1942;1964;1999;SL;Political Protege;High;M37033;x
37048;Head of Government;Gabriel Turbay Ayala;1946;1964;1999;SL;Ambitious Union Boss;High;M37034;x
37049;Head of Government;Joaquin Fernandez;1938;1964;1999;SC;Corporate Suit;High;M37035;x
37050;Head of Government;Carlos Arango Vélez;1942;1964;1999;SC;Silent Workhorse;High;M37036;x
37051;Head of Government;Jorge Eliecer Gaitan;1945;1964;1999;SC;Naive Optimist;High;M37037;x
37052;Head of Government;Mariano Ospina Pérez;1946;1964;1999;SC;Happy Amateur;High;M37038;x
37053;Head of Government;Julio Valdez;1938;1964;1999;FA;Old General;High;M37011;x
37054;Head of Government;Ruben Piedrahita Arango;1945;1964;1999;PA;Old General;High;M37017;x
37055;Head of Government;Querista Sellor;1938;1964;1999;LE;Backroom Backstabber;High;M37021;x
37056;Head of Government;Jorge Eliecer Gaitan;1946;1964;1999;LWR;Naive Optimist;High;M37037;x
37057;Foreign Minister;Jorge Soto del Corral;1936;1964;1999;SD;The Cloak N Dagger Schemer;Medium;M37057;x
37058;Foreign Minister;Gabriel Turbay Ayala;1937;1964;1999;SD;Iron Fisted Brute;Medium;M37034;x
37059;Foreign Minister;Carlos Lozano y Lozano;1942;1964;1999;SD;Great Compromiser;High;M37044;x
37060;Foreign Minister;Alberto Lleras Camargo;1944;1964;1999;SD;Biased Intellectual;Medium;M37033;x
