CRO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
30000;Head of State;Djuro Djakovic;1936;1956;1999;LE;Syndicalist Demagogue;High;BOS-KR_Djuro_Djakovic;X
30001;Head of State;Andrija Hebrang;1944;1970;1999;LE;Syndicalist Demagogue;High;CRO_andrija_hebrang;X
30002;Head of Government;Andrija Hebrang;1944;1970;1999;LE;Ambitious Union Boss;High;CRO_andrija_hebrang;X
30003;Minister of Armament;Andrija Hebrang;1940;1964;1999;LE;Industrialiser;High;CRO_andrija_hebrang;X
30004;Head of State;Djuro Cvijic;1936;1966;1999;LWR;Die-hard Reformer;High;MDjuro_Cvijic;X
30005;Head of Military Intelligence;Djuro Cvijic;1936;1966;1999;LWR;Political Specialist;High;MDjuro_Cvijic;X
30006;Head of State;Josip Broz;1940;1970;1999;LWR;Die-hard Reformer;High;M20021;X
30007;Chief of Army;Josip Broz;1936;1957;1999;LWR;Doctrine of Autonomy;High;L46004;X
30008;Head of State;Vladimir Bakaric;1952;1970;1999;LWR;Die-hard Reformer;High;MVladimir_Bakaric;X
30009;Head of Military Intelligence;Vladimir Bakaric;1945;1970;1999;LWR;Dismal Enigma;High;MVladimir_Bakaric;X
30010;Head of State;Ivan Ribar;1936;1960;1999;SD;Die-hard Reformer;High;CRO_ivan_ribar;X
30011;Head of Government;Ivan Ribar;1936;1960;1999;SD;Naive Optimist;High;CRO_ivan_ribar;X
30012;Foreign Minister;Ivan Ribar;1936;1960;1999;SD;Great Compromiser;High;CRO_ivan_ribar;X
30013;Head of State;Srdjan Budisavljevic;1936;1960;1999;ML;Benevolent Gentleman;High;CRO-KR_Srdjan_Budisavljevic;X
30014;Head of Government;Srdjan Budisavljevic;1936;1960;1999;ML;Pragmatic Statesman;High;CRO-KR_Srdjan_Budisavljevic;X
30015;Minister of Security;Srdjan Budisavljevic;1936;1960;1999;ML;Compassionate Gentleman;High;CRO-KR_Srdjan_Budisavljevic;X
30016;Head of State;Juraj Krnjevic;1949;1970;1999;ML;Die-hard Reformer;High;CRO-KR_Juraj_Krnjevic;X
30017;Head of Government;Juraj Krnjevic;1949;1970;1999;ML;Political Protege;High;CRO-KR_Juraj_Krnjevic;X
30018;Foreign Minister;Juraj Krnjevic;1936;1970;1999;ML;Ideological Crusader;High;CRO-KR_Juraj_Krnjevic;X
30019;Head of State;Stjepan Radic;1930;1941;1999;SC;Popular Figurehead;High;CRO-KR_Stjepan_Radic;X
30020;Head of State;Vladko Macek;1941;1949;1999;SC;Pig-headed Isolationist;High;M30011;X
30021;Head of Government;Vladko Macek;1930;1949;1999;SC;Naive Optimist;High;M30011;X
30022;Head of State;Vinko Kriskovic;1936;1952;1999;SC;Weary Stiffneck;High;MVinko_Kriskovic;X
30023;Head of Government;Vinko Kriskovic;1936;1952;1999;SC;Silent Workhorse;High;MVinko_Kriskovic;X
30024;Head of State;Josip Predavec;1936;1954;1999;SC;Die-hard Reformer;High;MJosip_Predavec;X
30025;Head of Government;Josip Predavec;1936;1954;1999;SC;Silent Workhorse;High;MJosip_Predavec;X
30026;Head of State;Adam Pribicevic;1936;1957;1999;SC;Weary Stiffneck;High;MAdam_Pribicevic;X
30027;Head of Government;Adam Pribicevic;1936;1957;1999;SC;Naive Optimist;High;MAdam_Pribicevic;X
30028;Foreign Minister;Adam Pribicevic;1936;1957;1999;SC;Apologetic Clerk;High;MAdam_Pribicevic;X
30029;Head of State;August Kosutic;1949;1970;1999;SC;Weary Stiffneck;High;CRO-KR_August_Kosutic;X
30030;Head of Government;August Kosutic;1949;1970;1999;SC;Silent Workhorse;High;CRO-KR_August_Kosutic;X
30031;Minister of Security;August Kosutic;1936;1970;1999;SC;Crime Fighter;High;CRO-KR_August_Kosutic;X
30032;Head of State;Pavle Karadordevic;1939;1970;1999;SC;Benevolent Gentleman;High;M20001;X
30033;Head of State;S.K.u.K.M. Otto I von Habsburg;1936;1970;1999;PA;Young Kaiser;High;kaiserreich ottoivh;X
30034;Head of State;Stjepan barun Sarkotic;1920;1939;1999;FA;Stern Imperialist;High;MStefan_Sarkotic_vonLovcen;X
30035;Head of State;Alojzije Stepinac;1939;1955;1999;FA;Autocratic Charmer;High;CRO-KR_Alois_Stepinac;X
30036;Head of State;Marica Stankovic;1955;1970;1999;FA;Popular Figurehead;High;MMarica_Stankovic;X
