CSX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
503000;Head of State;Li Hanjun;1936;1960;1999;LE;Syndicalist Demagogue;High;MLi_Hanjun;X
503001;Head of State;Lin Yuying;1942;1970;1999;LE;Die-hard Reformer;High;MLin_Yuying;X
503003;Head of Government;Lin Yuying;1936;1970;1999;LE;Ambitious Union Boss;High;MLin_Yuying;X
503004;Head of State;Yang Mingxuan;1940;1964;1999;LWR;Die-hard Reformer;High;MYang_Mingxuan;X
503005;Foreign Minister;Yang Mingxuan;1936;1964;1999;LWR;Great Compromiser;High;MYang_Mingxuan;X
503006;Head of State;Du Renzhi;1964;1970;1999;LWR;Popular Figurehead;High;MDu_Renzhi;X
503007;Minister of Security;Du Renzhi;1950;1970;1999;LWR;Man of the People;High;MDu_Renzhi;X
503008;Head of State;Zhang Junmai;1940;1962;1999;SD;Barking Buffoon;High;MZhang_Junmai;X
503009;Foreign Minister;Zhang Junmai;1936;1962;1999;SD;Biased Intellectual;High;MZhang_Junmai;X
503010;Head of State;Zhang Shenfu;1940;1964;1999;SD;Barking Buffoon;High;MZhang_Shenfu1893;X
503011;Head of State;Wu Yaozong;1940;1970;1999;SD;Pig-headed Isolationist;High;MWu_Yaozong;X
503012;Foreign Minister;Wu Yaozong;1938;1970;1999;SD;Biased Intellectual;High;MWu_Yaozong;X
503013;Head of State;Zhang Xiruo;1945;1970;1999;SD;Weary Stiffneck;High;MZhang_Xiruo;X
503014;Foreign Minister;Zhang Xiruo;1936;1964;1999;SD;Biased Intellectual;High;MZhang_Xiruo;X
503015;Head of State;Jiang Yuntian;1960;1970;1999;SD;Die-hard Reformer;High;MJiang_Yuntian;X
503016;Head of Government;Jiang Yuntian;1950;1970;1999;SD;Naive Optimist;High;MJiang_Yuntian;X
503017;Minister of Security;Jiang Yuntian;1945;1970;1999;SD;Compassionate Gentleman;High;MJiang_Yuntian;X
503018;Head of State;Zhang Dongsun;1940;1962;1999;SL;Popular Figurehead;High;MZhang_Dongsun;X
503019;Foreign Minister;Zhang Dongsun;1936;1961;1999;SL;Ideological Crusader;High;MZhang_Dongsun;X
503020;Head of State;Yan Yangchu;1945;1970;1999;SL;Die-hard Reformer;High;MYan_Yangchu_YC_James_Yen;X
503021;Minister of Security;Yan Yangchu;1936;1965;1999;SL;Man of the People;High;MYan_Yangchu_YC_James_Yen;X
503022;Head of State;Yang Yuzi;1960;1970;1999;SL;Weary Stiffneck;High;MYang_Yuzi;X
503023;Head of Government;Yang Yuzi;1950;1970;1999;SL;Political Protege;High;MYang_Yuzi;X
503024;Foreign Minister;Yang Yuzi;1946;1970;1999;SL;The Cloak N Dagger Schemer;High;MYang_Yuzi;X
503025;Head of State;Han Guojun;1936;1940;1999;ML;Popular Figurehead;High;MHan_Guojun;X
503026;Head of State;Wu Xianzi;1940;1956;1999;ML;Weary Stiffneck;High;MWu_Xianzi;X
503027;Head of Government;Wu Xianzi;1936;1956;1999;ML;Political Protege;High;MWu_Xianzi;X
503028;Head of Military Intelligence;Wu Xianzi;1928;1951;1999;ML;Political Specialist;High;MWu_Xianzi;X
503029;Head of State;Zhang Jia'ao;1958;1970;1999;ML;Die-hard Reformer;High;MZhang_Jiaao_Chang_Kia-ngau;X
503030;Minister of Armament;Zhang Jia'ao;1936;1959;1999;ML;Administrative Genius;High;MZhang_Jiaao_Chang_Kia-ngau;X
503031;Head of State;Yan Huiqing;1936;1949;1999;SC;Benevolent Gentleman;High;M750034;X
503032;Head of Government;Yan Huiqing;1926;1949;1999;SC;Silent Workhorse;High;M750034;X
503033;Foreign Minister;Yan Huiqing;1920;1949;1999;SC;Great Compromiser;High;M750034;X
503034;Head of State;Liang Xiaochu;1936;1966;1999;SC;Weary Stiffneck;High;MLiang_Xiaochu;X
503035;Head of State;Yu Jiaju;1945;1970;1999;SC;Die-hard Reformer;High;MYu_Jiaju;X
503036;Head of Government;Yu Jiaju;1936;1970;1999;SC;Silent Workhorse;High;MYu_Jiaju;X
503037;Head of State;Gu Weijun;1926;1970;1999;PA;Weary Stiffneck;High;CHIWelling;X
503038;Head of Government;Gu Weijun;1925;1970;1999;PA;Naive Optimist;High;CHIWelling;X
503039;Foreign Minister;Gu Weijun;1922;1956;1999;PA;Ideological Crusader;High;CHIWelling;X
503040;Head of State;Chen Qitian;1936;1970;1999;PA;Stern Imperialist;High;Chen Chi-tien;X
503041;Head of Government;Chen Qitian;1936;1970;1999;PA;Pragmatic Statesman;High;Chen Chi-tien;X
503042;Minister of Armament;Chen Qitian;1936;1970;1999;PA;Reformer;High;Chen Chi-tien;X
503043;Head of Military Intelligence;Chen Qitian;1925;1970;1999;PA;Political Specialist;High;Chen Chi-tien;X
503044;Head of State;Wu Peifu;1936;1944;1999;FA;Resigned Generalissimo;High;Wu Peifu;X
503045;Chief of Army;Wu Peifu;1920;1944;1999;PA;Elastic Defence Doctrine;High;Wu Peifu Mil;X
503046;Head of State;Yuan Keding;1936;1958;1999;FA;Stern Imperialist;High;MYuan_Keding;X
503047;Head of State;D.H.D.B.X. Aisin-Gioro Puyi;1936;1967;1999;PA;Xuantong Emperor;High;M58001;X
503048;Head of State;D.H.D.B.X. Aisin-Gioro Puyi;1936;1967;1999;FA;Xuantong Emperor;High;M58001;X
503049;Head of State;D.H.D.B.X. Aisin-Gioro Pujie;1940;1970;1999;PA;Autocratic Charmer;High;M750012;X
503050;Foreign Minister;Aisin-Gioro Pujie;1940;1970;1999;FA;Apologetic Clerk;High;M750012;X
503051;Head of Government;Liu Ningyi;1953;1970;1999;LE;Ambitious Union Boss;High;MLiu_Ningyi;X
503052;Foreign Minister;Liu Ningyi;1948;1970;1999;LE;Ideological Crusader;High;MLiu_Ningyi;X
503053;Head of Government;Deng Chumin;1940;1962;1999;LWR;Ambitious Union Boss;High;MDeng_Chumin;X
503054;Minister of Security;Deng Chumin;1936;1962;1999;LWR;Man of the People;High;MDeng_Chumin;X
503055;Head of Government;Li Wenyi;1962;1970;1999;LWR;Ambitious Union Boss;High;MLi_Wenyi;X
