CZE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
24001;Head of State;Edouard Benes;1936;1964;1999;ML;Pig-headed Isolationist;High;M24001;X
24003;Foreign Minister;Edouard Benes;1936;1964;1999;ML;Biased Intellectual;High;M24001;X
24004;Minister of Armament;Josef Kalfus;1936;1964;1999;ML;Resource Industrialist;High;M24004;X
24006;Head of Military Intelligence;Frantisek Machník;1936;1964;1999;ML;Logistics Specialist;Very High;M24006;X
24007;Minister of Armament;Frantisek Machník;1936;1964;1999;ML;Infantry Proponent;Very High;M24006;X
24008;Chief of Army;Ludvik Krejci;1936;1964;1999;ML;Static Defence Doctrine;Medium;M24008;X
24009;Chief of Navy;Antonin Hasal;1936;1964;1999;ML;Indirect Approach Doctrine;Medium;M24009;X
24010;Chief of Air Force;Karel Janousek;1936;1964;1999;SC;Army Aviation Doctrine;Medium;L18048;X
24031;Head of State;Emil Hácha;1936;1964;1999;ML;Insignificant Layman;High;M24031;X
24164;Chief of Staff;Radola Gajda;1936;1964;1999;NS;School of Manoeuvre;High;M100000009;X
24034;Head of State;Jan Syrovy;1936;1964;1999;PA;Resigned Generalissimo;High;M24034;X
24035;Head of State;Antonín Zápotocky;1943;1964;1999;LE;Benevolent Gentleman;High;M100000000;X
24036;Head of State;Konrad Henlein;1936;1964;1999;NS;Insignificant Layman;High;M24013;X
24037;Head of State;Johann Schwerin von Krosigk;1936;1964;1999;NS;Benevolent Gentleman;High;M24037;X
24038;Head of State;Kurt Daluege;1936;1964;1999;NS;Ruthless Powermonger;High;M24038;X
24039;Head of State;Karl Hermann Frank;1936;1964;1999;PA;Powerhungry Demagogue;High;M24011;X
24040;Head of State;Alois Elias;1936;1964;1999;NS;Resigned Generalissimo;High;M24040;X
24042;Head of State;Klement Gottwald;1936;1964;1999;ST;Barking Buffoon;High;M24021;X
24044;Head of Government;Ján Srámek;1936;1964;1999;ML;Ambitious Union Boss;High;M24044;X
24045;Head of Government;Jan Syrovy;1936;1964;1999;SC;Old General;High;M24034;X
24046;Head of Government;Rudolf Beran;1936;1964;1999;PA;Political Protege;High;M24012;X
24047;Head of Government;Bedrich Homola;1936;1964;1999;SC;Happy Amateur;High;M24047;X
24048;Head of Government;Karel Kalemcek;1936;1964;1999;NS;Happy Amateur;High;M24048;X
24049;Head of Government;Alois Elias;1936;1964;1999;NS;Old General;High;M24040;X
24050;Head of Government;Joseph Jezek;1936;1964;1999;NS;Flamboyant Tough Guy;High;M24016;X
24053;Foreign Minister;Kamil Krofta;1936;1964;1999;ML;Great Compromiser;High;M24053;X
24054;Foreign Minister;Frantisek Chvalkovsky;1936;1964;1999;ML;Iron Fisted Brute;Very High;M24054;X
24055;Foreign Minister;Ján Masaryk;1936;1964;1999;ML;Ideological Crusader;Very High;M24055;X
24056;Head of State;Antonín Novotny;1945;1964;1999;ST;Ruthless Powermonger;Very High;M100000001;X
24057;Foreign Minister;Juraj Slávik;1936;1964;1999;SC;Biased Intellectual;Medium;M24057;X
24058;Foreign Minister;Oldrich Otamír;1936;1964;1999;PA;Apologetic Clerk;Medium;M24058;X
24059;Foreign Minister;Bedrich Neumann;1936;1964;1999;PA;General Staffer;Medium;M24059;X
24060;Foreign Minister;Petr Zenkl;1936;1964;1999;SC;Great Compromiser;Very High;CZE_Zenkl;X
24061;Foreign Minister;Konrad Henlein;1936;1964;1999;NS;Ideological Crusader;High;M24013;X
24062;Foreign Minister;Jaromir Kricaj;1936;1964;1999;NS;Apologetic Clerk;High;M24062;X
24165;Minister of Armament;Jiri Hejda;1936;1964;1999;SC;Laissez-Faire Capitalist;High;M100000011;X
24065;Foreign Minister;Rudolf Slánsky;1936;1964;1999;ST;The Cloak N Dagger Schemer;High;M24024;X
24066;Minister of Armament;Emil Franke;1936;1964;1999;ML;Theoretical Scientist;High;M24066;X
24068;Minister of Armament;Karel Basilek;1936;1964;1999;ML;Military Entrepreneur;High;M24068;X
24069;Minister of Armament;Ferdinand Veverka;1936;1964;1999;ML;Administrative Genius;Medium;M24069;X
24070;Minister of Armament;Emilé Dobricek;1936;1964;1999;PA;Administrative Genius;Low;M24070;X
24071;Minister of Armament;Emil Hácha;1936;1964;1999;ML;Bank President;Very High;M24031;X
24072;Minister of Armament;Frantisek Bekr;1936;1964;1999;SC;Theoretical Scientist;Medium;M24072;X
24073;Minister of Armament;Karel Cérny;1936;1964;1999;PA;Infantry Proponent;High;M24073;X
24074;Minister of Armament;Antonin Pavlik;1936;1964;1999;PA;Tank Proponent;High;M24074;X
24075;Minister of Armament;Ernst Kundt;1936;1964;1999;NS;Resource Industrialist;High;M24014;X
24076;Minister of Armament;Otokar Sebrin;1936;1964;1999;NS;Laissez-Faire Capitalist;High;M24076;X
24077;Minister of Armament;Karel Kalemcek;1936;1964;1999;NS;Administrative Genius;Low;M24048;X
24078;Minister of Armament;Jan Prhcla;1936;1964;1999;NS;Infantry Proponent;Low;M24078;X
24079;Minister of Armament;Bohumil Stepanec;1936;1964;1999;ST;Tank Proponent;Medium;M24079;X
24080;Minister of Armament;Karel Olmanec;1936;1964;1999;ST;Laissez-Faire Capitalist;Medium;M24080;X
24166;Foreign Minister;Frantisek Hodác;1936;1964;1999;FA;Ideological Crusader;Medium;M100000012;X
24082;Minister of Security;Victor Folancec;1936;1964;1999;ML;Crime Fighter;Medium;M24082;X
24084;Minister of Security;Jaromir Kopecky;1936;1964;1999;ML;Prince of Terror;Medium;M24084;X
24085;Minister of Security;Ján Srámek;1936;1964;1999;ML;Silent Lawyer;Medium;M24044;X
24086;Minister of Security;Ernst Frischer;1936;1964;1999;ML;Back Stabber;Medium;M24086;X
24087;Minister of Security;Otakar Eischer;1936;1964;1999;PA;Compassionate Gentleman;Very High;M24087;X
24088;Minister of Security;Francois Hodac;1936;1964;1999;SC;Silent Lawyer;Medium;M24088;X
24089;Minister of Security;Joseph Jezek;1936;1964;1999;SC;Crime Fighter;Medium;M24016;X
24090;Minister of Security;Juraj Slávik;1936;1964;1999;SC;Man of the People;High;M24057;X
24091;Minister of Security;Jan Kapras;1936;1964;1999;SC;Man of the People;Medium;M24015;X
24092;Minister of Security;Johann Schwerin von Krosigk;1936;1964;1999;NS;Man of the People;NA;M24037;X
24093;Minister of Security;Kurt Daluege;1936;1964;1999;NS;Efficient Sociopath;Very High;M24038;X
24094;Minister of Security;Karl Hermann Frank;1936;1964;1999;NS;Crooked Kleptocrat;High;M24011;X
24095;Minister of Security;Prokop Drtina;1936;1964;1999;ST;Man of the People;High;M24025;X
24097;Minister of Security;Kristoph Emmerich;1936;1964;1999;ST;Silent Lawyer;Very High;M24097;X
24098;Minister of Security;Jozef Zeman;1936;1964;1999;ST;Back Stabber;Very High;M24098;X
24099;Head of Military Intelligence;Boris Trumper;1936;1964;1999;ML;Political Specialist;Very High;M24099;X
24100;Head of Military Intelligence;Tobias Kaller;1936;1964;1999;ML;Industrial Specialist;Very High;M24100;X
24102;Head of Military Intelligence;Boris Kovancok;1936;1964;1999;ML;Technical Specialist;Very High;M24102;X
24103;Head of Military Intelligence;Bedrich Homola;1936;1964;1999;SC;Dismal Enigma;Medium;M24047;X
24104;Head of Military Intelligence;Bohumil Nemec;1936;1964;1999;PA;Industrial Specialist;High;M24104;X
24105;Head of Military Intelligence;Rudolf Beran;1936;1964;1999;PA;Political Specialist;High;M24012;X
24106;Head of Military Intelligence;Bohuslav Vseticka;1936;1964;1999;PA;Logistics Specialist;High;M24106;X
24107;Head of Military Intelligence;Joseph Jezek;1936;1964;1999;NS;Political Specialist;Very High;M24016;X
