DDR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
507001;Head of State;Karl Kautsky;1936;1964;1999;LWR;Popular Figurehead;High;kaiserreich karlkautsky;x
507002;Head of Government;Karl Kautsky;1936;1964;1999;LWR;Naive Optimist;High;kaiserreich karlkautsky;x
507003;Head of Military Intelligence;Karl Kautsky;1936;1964;1999;LWR;Political Specialist;High;kaiserreich karlkautsky;x
507004;Head of State;Otto Wels;1936;1964;1999;SD;Pig-headed Isolationist;High;kaiserreich ottowells;x
507005;Head of Government;Otto Wels;1936;1964;1999;SD;Corporate Suit;High;kaiserreich ottowells;x
507006;Minister of Armament;Otto Wels;1936;1964;1999;SD;Resource Industrialist;High;kaiserreich ottowells;x
507007;Head of Government;Arthur Crispien;1936;1964;1999;SD;Political Protege;High;kaiserreich arthurchrispian;x
507008;Minister of Security;Arthur Crispien;1936;1964;1999;SD;Silent Lawyer;High;kaiserreich arthurchrispian;x
507009;Head of State;Hans Vogel;1936;1964;1999;SD;Benevolent Gentleman;High;kaiserreich hansvogel;x
507010;Head of Government;Hans Vogel;1936;1964;1999;SD;Ambitious Union Boss;High;kaiserreich hansvogel;x
507011;Foreign Minister;Hans Vogel;1936;1964;1999;SD;Great Compromiser;High;kaiserreich hansvogel;x #
507012;Minister of Armament;Gustav Bauer;1936;1964;1999;SD;Corrupt Kleptocrat;High;kaiserreich gustavbauer;x
507013;Minister of Security;Gustav Bauer;1936;1964;1999;SD;Man of the People;High;kaiserreich gustavbauer;x
507014;Head of Government;Kurt Schumacher;1936;1964;1999;SD;Ambitious Union Boss;High;M506011;x
507015;Minister of Armament;Kurt Schumacher;1936;1964;1999;SD;laissez-faire capitalist;High;M506011;x
507016;Minister of Security;Gustav Noske;1936;1964;1999;SD;Crime Fighter;High;kaiserreich gustavnoske;x #
507017;Head of Military Intelligence;Gustav Noske;1936;1964;1999;SD;Logistics Specialist;High;kaiserreich gustavnoske;x #
507018;Foreign Minister;Erich Ollenhauer;1936;1964;1999;SD;Iron Fisted Brute;Very High;M506014;x
507019;Minister of Security;Georg August Zinn;1936;1964;1999;SD;Prince of Terror;High;M506023;x
507020;Head of Military Intelligence;Eugen Gerstenmaier;1936;1964;1999;SD;Technical Specialist;High;M506028;x
507021;Chief of Staff;Hans Speidel;1936;1964;1999;SD;School of Fire Support;Medium;L506191;x
507022;Chief of Army;Oskar Hansen;1936;1964;1999;SD;Decisive Battle Doctrine;Medium;L118;x
507023;Chief of Navy;Conrad Patzig;1936;1964;1999;SD;Decisive Naval Battle Doctrine;Medium;L506300;x #
507024;Chief of Air Force;Josef Kammhuber;1936;1964;1999;SD;Army Aviation Doctrine;Medium;L448;x
507025;Head of State;Karl Liebknecht;1936;1964;1999;LE;Die-hard Reformer;High;kaiserreich karlliebknecht;x
507026;Head of Government;Karl Liebknecht;1936;1964;1999;LE;Flamboyant Tough Guy;High;kaiserreich karlliebknecht;x
507027;Foreign Minister;Karl Liebknecht;1936;1964;1999;LE;Ideological Crusader;High;kaiserreich karlliebknecht;x
507028;Head of State;Kurt Eisner;1936;1964;1999;LE;Barking Buffoon;High;kaiserreich kurteisner;x
507029;Head of Government;Kurt Eisner;1936;1964;1999;LE;Happy Amateur;High;kaiserreich kurteisner;x
507030;Minister of Security;Kurt Eisner;1936;1964;1999;LE;Compassionate Gentleman;High;kaiserreich kurteisner;x
507031;Foreign Minister;Paul Levi;1936;1964;1999;LE;Apologetic Clerk;High;kaiserreich paullevi;x
507032;Foreign Minister;Anton Ackermann;1936;1964;1999;LE;Great Compromiser;High;M507012;x
507033;Minister of Armament;Jakob Kaiser;1936;1964;1999;LE;Military Entrepreneur;High;M507014;x #
507034;Minister of Armament;Andres Hermes;1936;1964;1999;LE;Administrative Genius;High;M507015;x
507035;Minister of Security;Wilhelm Külz;1936;1964;1999;LE;Crime Fighter;High;M507019;x
507036;Minister of Security;Otto Nuschke;1936;1964;1999;LE;Silent Lawyer;High;M507020;x
507037;Minister of Armament;Willi Stoph;1936;1964;1999;ST;laissez-faire capitalist;High;M507004;x
507038;Head of State;Ludwig Renn;1936;1964;1999;ST;Popular Figurehead;High;M21;x
507039;Minister of Security;Ludwig Renn;1936;1964;1999;ST;Efficient Sociopath;Very High;M21;x
507040;Head of State;Ernst Thalmann;1936;1964;1999;ST;Stern Imperialist;High;M22;x
507041;Head of Government;Ernst Thalmann;1936;1964;1999;ST;Backroom Backstabber;High;M22;x
507042;Head of Military Intelligence;Ernst Thalmann;1936;1964;1999;ST;Industrial Specialist;High;M22;x #
507043;Head of Government;Ernst Toller;1939;1964;1999;ST;Ambitious Union Boss;High;M25;x
507044;Minister of Security;Ernst Toller;1936;1964;1999;ST;Man of the People;Low;M25;x
507045;Head of Government;Walter Ulbricht;1936;1964;1999;ST;Backroom Backstabber;High;M53;x
507046;Minister of Security;Walter Ulbricht;1936;1964;1999;ST;Prince of Terror;High;M53;x
507047;Foreign Minister;Walter Ulbricht;1936;1964;1999;ST;The Cloak N Dagger Schemer;High;M53;x
507049;Minister of Armament;Bertolt Brecht;1936;1964;1999;LE;Infantry Proponent;High;kaiserreich bertoltbrecht;x #
507050;Chief of Army;Bertolt Brecht;1936;1964;1999;LE;Guns and Butter Doctrine;Medium;kaiserreich bertoltbrecht;x
507051;Foreign Minister;Helmet Herzfelde;1936;1964;1999;ST;Ideological Crusader;High;M23;x
507052;Minister of Security;Julius Leber;1936;1964;1999;ST;Compassionate Gentleman;High;M133;x
507053;Head of Military Intelligence;Ernst Wollweber;1936;1964;1999;ST;Industrial Specialist;Very High;M27;x
507054;Head of Military Intelligence;Erich Weinert;1938;1964;1999;ST;Logistics Specialist;High;M152;x
