DEN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
16001;Head of State;H.K.M. Christian X;1936;1948;1999;SC;Weary Stiffneck;High;M16001;X
16002;Head of Government;Thorvald Stauning;1936;1942;1999;SD;Ambitious Union Boss;High;M16002;X
16003;Foreign Minister;Peter Munch;1936;1964;1999;SL;Apologetic Clerk;Medium;M16003;X
16004;Minister of Armament;Alsing Andersen;1936;1964;1999;SD;Balanced Budget Economy;High;M16004;X
16005;Minister of Security;Karl Kristian Steincke;1936;1964;1999;SD;Silent Lawyer;High;M16005;X
16006;Head of Military Intelligence;Ebbe Gørtz;1933;1938;1999;ML;Logistics Specialist;High;L9505;X
16007;Chief of Staff;Wilhelm W. Prior;1936;1941;1999;ML;School of Defence;High;L9512;X
16008;Chief of Army;Erik With;1931;1939;1999;SC;Decisive Battle Doctrine;High;L9517;X
16009;Chief of Navy;Hjalmar Rechnitzer;1932;1940;1999;SL;Indirect Approach Doctrine;High;M16009;X
16010;Chief of Air Force;Christian Førslev;1932;1956;1999;SL;Army Aviation Doctrine;High;LChristian_Forslev;X
16011;Head of Military Intelligence;Harald Petersen;1936;1964;1999;SC;Political Specialist;Very High;M16078;X
16012;Foreign Minister;Henrik Kauffmann;1936;1951;1999;SC;The Cloak N Dagger Schemer;High;M16114;X
16013;Head of Government;Christmas Moller;1936;1964;1999;SC;Flamboyant Tough Guy;High;kai_christmol;X
16014;Head of Government;Thomas Madsen-Mygdal;1936;1964;1999;ML;Silent Workhorse;High;kia_thomad;X
16015;Head of Government;Peter Munch;1936;1964;1999;SL;Silent Workhorse;High;kai_petrmunc;X
16016;Head of Government;Vilhelm Fibiger;1944;1964;1999;SC;Naive Optimist;High;kai_vilhfib;X
16017;Head of Government;Jorgen Jorgensen;1944;1964;1999;SL;Happy Amateur;High;kai_jorgjorg;X
16034;Head of State;H.K.M. Vilhelm Frederik II;1936;1965;1999;FA;German Aristocrat;High;MFrederik_Schleswig-Holstein-Sonderburg-Glucksburg;X
16036;Head of State;Fritz Clausen;1938;1964;1999;FA;Insignificant Layman;High;M16011;X
16037;Head of State;Aksel Larsen;1938;1964;1999;ST;Powerhungry Demagogue;High;M16021;X
16039;Head of Government;Vilhelm Buhl;1942;1964;1999;SD;Flamboyant Tough Guy;High;M16039;X
16040;Head of Government;Erik Scavenius;1942;1964;1999;SL;Silent Workhorse;High;M16040;X
16041;Head of Government;Christmas Møller;1936;1964;1999;SC;Happy Amateur;High;M16041;X
16042;Head of Government;Ole Bjorn Kraft;1942;1964;1999;SC;Smiling Oilman;High;M16042;X
16043;Head of Government;Knud Kristensen;1943;1964;1999;ML;Political Protege;High;M16043;X
16044;Head of Government;Fritz Clausen;1938;1964;1999;NS;Naive Optimist;High;M16011;X
16045;Head of Government;Otto Bovensiepen;1943;1964;1999;PA;Old General;High;M16045;X
16046;Head of Government;Aksel Larsen;1938;1964;1999;ST;Backroom Backstabber;High;M16021;X
16048;Foreign Minister;Erik Scavenius;1940;1964;1999;SL;Biased Intellectual;Very High;M16040;X
16049;Foreign Minister;Hans Hedtoft;1936;1964;1999;SD;Great Compromiser;Very High;M16049;X
16050;Foreign Minister;Ole Bjorn Kraft;1936;1964;1999;SC;Great Compromiser;Medium;M16042;X
16051;Foreign Minister;Otto Carl Mohr;1936;1964;1999;SL;Ideological Crusader;High;M16051;X
16052;Foreign Minister;Christmas Møller;1945;1964;1999;SC;Biased Intellectual;Medium;M16041;X
16053;Foreign Minister;Gustav Rasmussen;1945;1964;1999;ML;The Cloak N Dagger Schemer;Medium;M16053;X
16054;Foreign Minister;Axel Christian Hartel;1938;1964;1999;NS;Ideological Crusader;Low;M16013;X
16055;Foreign Minister;Albert Olsen;1938;1964;1999;LWR;General Staffer;High;M16023;X
16056;Foreign Minister;Ib Norlund;1945;1964;1999;ST;Iron Fisted Brute;High;M16056;X
16057;Foreign Minister;Henrik Hauch;1943;1964;1999;PA;Apologetic Clerk;Low;M16057;X
16059;Minister of Armament;Vilhelm Buhl;1937;1964;1999;SD;Mixed Economy;High;M16039;X
16060;Minister of Armament;Hans Hedtoft;1942;1964;1999;SD;Resource Industrialist;Very High;M16049;X
16061;Minister of Armament;Hans Peter Hansen;1936;1937;1999;SL;Administrative Genius;High;M16061;X
16062;Minister of Armament;Viggo Kampmann;1953;1964;1999;SD;Administrative Genius;Very High;M16062;X
16063;Minister of Armament;Soren Brorsen;1936;1964;1999;SC;Theoretical Scientist;High;M16063;X
16064;Minister of Armament;Knud Kristensen;1941;1964;1999;ML;Infantry Proponent;High;M16043;X
16065;Minister of Armament;Halfdan Henriksen;1942;1964;1999;ML;Air to Ground Proponent;High;M16065;X
16066;Minister of Armament;Ole Bjorn Kraft;1945;1964;1999;SC;Resource Industrialist;Medium;M16042;X
16067;Minister of Armament;Christen Nielsen Hauge;1945;1964;1999;ML;Laissez-Faire Capitalist;Medium;M16067;X
16068;Minister of Armament;Jorgen Sehested;1938;1964;1999;NS;Infantry Proponent;High;M16014;X
