EAF;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
550001;Head of State;Sir Philip Euan Mitchell;1936;1964;1999;ML;Die-hard Reformer;High;M550001;X
550002;Head of Government;Sir John Hathorn Hall;1936;1964;1999;ML;Flamboyant Tough Guy;High;M550002;X
550003;Foreign Minister;Robert Brooke-Popham;1936;1964;1999;ML;General Staffer;High;L1051;X
550004;Minister of Armament;Henry Monck-Mason Moore;1936;1964;1999;ML;Battle Fleet Proponent;Medium;M550004;X
550005;Minister of Security;Sir Harold McMichael;1936;1964;1999;ML;Efficient Sociopath;Medium;M550005;X
550006;Head of Military Intelligence;Mark Young;1936;1964;1999;ML;Industrial Specialist;Medium;M550006;X
550007;Chief of Staff;Henry Dundas Stevenson;1936;1964;1999;ML;School of Defence;Medium;M550007;X
550008;Chief of Army;Robert Brooke-Popham;1936;1964;1999;ML;Decisive Battle Doctrine;Medium;L1051;X
550009;Chief of Navy;William Demas Battershill;1936;1964;1999;ML;Open Seas Doctrine;Medium;M550009;X
550010;Chief of Air Force;Charles Farquharson Dundas;1936;1964;1999;ML;Air Superiority Doctrine;Medium;M550010;X
550014;Head of Government;Lord Josslyn Erroll;1936;1964;1999;PA;Naive Optimist;High;M1051;X
550018;Foreign Minister;Henry G. Pilling;1941;1964;1999;ML;Iron Fisted Brute;High;M550018;X
550021;Minister of Armament;Alexius de Laszlo;1936;1964;1999;PA;Infantry Proponent;Medium;M550021;X
550023;Minister of Armament;Charles Farquharson Dundas;1940;1964;1999;ML;Air Superiority Proponent;Medium;M550010;X
550024;Minister of Armament;Ronald Ngala;1936;1964;1999;SD;Tank Proponent;Medium;M550024;X
550027;Minister of Security;Makhan Singh;1936;1964;1999;PA;Crooked Kleptocrat;Medium;M550027;X
550028;Minister of Security;Ide DeLisle;1942;1964;1999;PA;Back Stabber;Medium;M550028;X
550029;Minister of Security;Vincent Goncalves Glenday;1940;1964;1999;ML;Crime Fighter;Medium;M550029;X
550032;Head of Military Intelligence;Charles Witherspoon;1936;1964;1999;PA;Logistics Specialist;Medium;M550032;X
550036;Chief of Staff;Richard Carver;1936;1964;1999;PA;School of Manoeuvre;Medium;L1069;X
550037;Chief of Staff;Jeremy J. Pierson;1941;1964;1999;ML;School of Psychology;Medium;M550037;X
550040;Chief of Army;Peter Mills;1936;1964;1999;PA;Guns and Butter Doctrine;Medium;M550040;X
550041;Chief of Army;Henry G. Pilling;1941;1964;1999;ML;Static Defence Doctrine;Medium;M550018;X
550046;Chief of Navy;Edward Montford;1936;1964;1999;LWR;Decisive Naval Battle Doctrine;Medium;M550046;X
550047;Chief of Air Force;Makhan Singh;1936;1964;1999;PA;Naval Aviation Doctrine;Medium;M550027;X
550048;Chief of Air Force;James Howe-Dobson;1941;1964;1999;ML;Army Aviation Doctrine;Medium;M550048;X
550050;Chief of Air Force;Edward Montford;1936;1964;1999;LWR;Vertical Envelopment Doctrine;Very High;M550046;X
550051;Head of State;Tu Yueh-sen;1936;1964;1999;FA;Ruthless Powermonger;Very High;kaiserreich Tu Yueh sen;X
550052;Head of Government;Tu Yueh-sen;1936;1964;1999;FA;Flamboyant Tough Guy;Very High;kaiserreich Tu Yueh sen;X
550053;Minister of Armament;Tu Yueh-sen;1936;1964;1999;FA;Corrupt Kleptocrat;Very High;kaiserreich Tu Yueh sen;X
550054;Minister of Security;Tu Yueh-sen;1936;1964;1999;FA;Efficient Sociopath;Very High;kaiserreich Tu Yueh sen;X
550055;Minister of Security;Huang Jinrong;1936;1964;1999;FA;Crime Fighter;Very High;kaiserreich HuangJinrong;X
550056;Head of Military Intelligence;Tu Yueh-sen;1936;1964;1999;FA;Political Specialist;Very High;kaiserreich Tu Yueh sen;X
550057;Foreign Minister;Jiang Qing;1936;1964;1999;FA;The Cloak N Dagger Schemer;Very High;kaiserreich jiangqing;X
550058;Minister of Armament;T. Sassoon;1936;1964;1999;FA;Laissez-Faire Capitalist;Very High;kaiserreich tsassoon;X
550059;Head of Government;Huang Jinrong;1936;1964;1999;FA;Ambitious Union Boss;Very High;kaiserreich HuangJinrong;X
550060;Head of Government;Stirling Fessenden;1936;1964;1999;SC;Corporate Suit;Very High;kaiserreich stirlingfessenden;X
550061;Foreign Minister;Stirling Fessenden;1936;1964;1999;SC;Apologetic Clerk;Very High;kaiserreich stirlingfessenden;X
550062;Head of Government;Cecil Clementi ;1936;1964;1999;SC;Smiling Oilman;Very High;kaiserreich cecilclementi;X
550063;Chief of Staff;Cecil Clementi;1936;1964;1999;SC;School of Defence;Very High;kaiserreich cecilclementi;X
550064;Head of State;Cecil Clementi;1936;1964;1999;SC;Benevolent Gentleman;Very High;kaiserreich cecilclementi;X
550065;Head of State;Sir Reginald Stubbs;1936;1964;1999;SC;Weary Stiffneck;Very High;kaiserreich reginaldstubbs;X
550066;Foreign Minister;Sir Reginald Stubbs;1936;1964;1999;SC;Great Compromiser;Very High;kaiserreich reginaldstubbs;X
550067;Chief of Army;Huang Jinrong;1936;1964;1999;FA;Guns and Butter Doctrine;Very High;kaiserreich HuangJinrong;X
550068;Minister of Armament;Walther Stennes;1936;1964;1999;PA;Military Entrepreneur;Medium;M750035;X
550069;Chief of Staff;Walther Stennes;1936;1964;1999;PA;School of Mass Combat;Medium;M750035;X
550070;Chief of Army;Walther Stennes;1936;1964;1999;PA;Decisive Battle Doctrine;Medium;M750035;X
550071;Chief of Air Force;Florence Lowe Barnes;1936;1964;1999;ML;Air Superiority Doctrine;Medium;kaiserreich lowebarnes;X
550072;Minister of Armament;Robert Hotung;1936;1964;1999;SC;Laissez-Faire Capitalist;Medium;kaiserreich hotung;X
550073;Minister of Armament;Donald Brotchie;1936;1964;1999;PA;Battle Fleet Proponent;Medium;kaiserreich brotchie;X
550074;Head of Military Intelligence;Donald Brotchie;1936;1964;1999;PA;Naval Intelligence Specialist;Medium;kaiserreich brotchie;X
550075;Chief of Staff;Donald Brotchie;1936;1964;1999;PA;School of Psychology;Medium;kaiserreich brotchie;X
550076;Chief of Navy;Donald Brotchie;1936;1964;1999;PA;Open Seas Doctrine;Medium;kaiserreich brotchie;X
550077;Chief of Air Force;Donald Brotchie;1936;1964;1999;PA;Naval Aviation Doctrine;Medium;kaiserreich brotchie;X
550078;Minister of Security;William E. Fairbairn;1936;1964;1999;SC;Man of the People;Medium;kaiserreich fairbairn;X
550079;Head of Military Intelligence;William E. Fairbairn;1936;1964;1999;SC;Dismal Enigma;Medium;kaiserreich fairbairn;X
550080;Chief of Navy;William E. Fairbairn;1936;1964;1999;SC;Base Control Doctrine;Medium;kaiserreich fairbairn;X
550081;Chief of Air Force;William E. Fairbairn;1936;1964;1999;SC;Vertical Envelopment Doctrine;Medium;kaiserreich fairbairn;X
550082;Chief of Staff;Yuan Kewen;1936;1964;1999;FA;School of Psychology;High;M750013;X
550083;Chief of Army;Yuan Kewen;1936;1964;1999;FA;Elastic Defence Doctrine;High;M750013;X
550084;Foreign Minister;Yuan Kewen;1936;1964;1999;FA;Iron Fisted Brute;High;M750013;X
550085;Head of Military Intelligence;Mitsuhira Mitsuhirato;1936;1970;1999;FA;Political Specialist;Very High;Kaiserreich Mitsuhirato;X
550086;Head of State;William E. Fairbairn;1936;1964;1999;SC;Resigned Generalissimo;High;M550001;x
