EGY;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
512001;Head of State;M.M. Fuad I;1936;1964;1999;SC;Autocratic Charmer;High;M512001;X
512002;Head of Government;Ali Mahir Pasha;1936;1964;1999;SC;Silent Workhorse;High;M512002;X
512003;Foreign Minister;Ali Mahir Pasha;1936;1964;1999;SC;Great Compromiser;High;M512002;X
512004;Minister of Armament;Mohammed al Fransawi;1936;1964;1999;SC;Battle Fleet Proponent;Medium;M512004;X
512005;Minister of Security;Mustafa an-Nahhas Pasha;1936;1964;1999;SC;Silent Lawyer;Medium;M512005;X
512006;Head of Military Intelligence;Mohammed Hilmi Issa;1936;1964;1999;SC;Dismal Enigma;Medium;M512006;X
512007;Chief of Staff;Hassan Sabry Pasha;1936;1964;1999;SC;School of Defence;Medium;M512007;X
512008;Minister of Armament;Hassan Sabry Pasha;1936;1964;1999;SC;Keynesian Economy;Very High;M512007;X
512009;Chief of Navy;Abdallah Ziwar Pasha;1936;1964;1999;SC;Indirect Approach Doctrine;Medium;M512009;X
512010;Chief of Air Force;M.M. Fuad I;1936;1964;1999;SC;Vertical Envelopment Doctrine;Medium;M512010;X
512011;Head of State;M.M. Faruq I;1936;1964;1999;SC;Insignificant Layman;High;M512011;X
512012;Head of State;M.M. Faruq I;1936;1964;1999;SL;Pig-headed Isolationist;High;M512011;X
512013;Head of State;M.M. Aga I Khan;1945;1964;1999;SD;Benevolent Gentleman;High;M512013;X
512014;Head of Government;Mustafa an-Nahhas Pasha;1936;1964;1999;PA;Flamboyant Tough Guy;High;M512005;X
512015;Head of Government;Hassan Sabry Pasha;1940;1964;1999;SC;Old General;High;M512007;X
512016;Head of Government;Mahmoud an Nukraishi Pasha;1940;1964;1999;SC;Backroom Backstabber;High;M512016;X
512017;Head of Government;Muhammad Mahmoud Pasha;1936;1964;1999;ML;Happy Amateur;High;M512017;X
512018;Head of Government;Ali Mahir Pasha;1939;1964;1999;ML;Smiling Oilman;High;M512002;X
512019;Head of Government;Hassan Sirry Pasha;1940;1964;1999;ML;Political Protege;High;M512019;X
512020;Head of Government;Mahmoud an Nukraishi Pasha;1945;1964;1999;ML;Silent Workhorse;High;M512016;X
512021;Head of Government;Ismail Sidqi Pasha;1946;1964;1999;ML;Naive Optimist;High;M512021;X
512022;Minister of Security;Abdel Hamid Badawi Pasha;1936;1964;1999;SC;Crime Fighter;Very High;M512022;X
512023;Head of Government;Wasef Boutros Ghali;1938;1964;1999;SL;Political Protege;High;M512023;X
512024;Head of Government;Mustafa an-Nahhas Pasha;1942;1964;1999;SL;Backroom Backstabber;High;M512005;X
512025;Head of Government;Ali Mahir Pasha;1945;1964;1999;SL;Naive Optimist;High;M512025;X
512026;Head of Government;Abdallah Ziwar Pasha;1936;1964;1999;SD;Old Admiral;High;M512009;X
512027;Head of Government;Aly Chamsy Pasha;1940;1964;1999;SD;Corporate Suit;High;M512027;X
512028;Foreign Minister;Wasef Boutros Ghali;1936;1964;1999;SC;The Cloak N Dagger Schemer;High;M512023;X
512029;Foreign Minister;Abdelfattah Yahya Pasha;1937;1964;1999;SC;Apologetic Clerk;High;M512029;X
512030;Foreign Minister;Hassan Sabry Pasha;1936;1964;1999;SC;Apologetic Clerk;High;M512007;X
512031;Foreign Minister;Salib Sami Bey;1940;1964;1999;SC;Iron Fisted Brute;High;M512031;X
512032;Foreign Minister;Muhammad Mahmoud Pasha;1936;1964;1999;PA;Biased Intellectual;High;M512017;X
512033;Foreign Minister;Ibrahim Abdel Hadi;1946;1964;1999;SC;The Cloak N Dagger Schemer;High;M512033;X
512034;Foreign Minister;Ahmed Khashaba Pasha;1947;1964;1999;SC;Apologetic Clerk;High;M512034;X
512035;Foreign Minister;Abdullah Nahawi;1936;1964;1999;ML;Biased Intellectual;High;M512035;X
512036;Foreign Minister;Hassan Sirry Pasha;1940;1964;1999;ML;Great Compromiser;High;M512019;X
512037;Foreign Minister;Mahmoud an Nukraishi Pasha;1944;1964;1999;ML;Apologetic Clerk;High;M512016;X
512038;Foreign Minister;Abdel Hamid Badawi Pasha;1936;1964;1999;SC;The Cloak N Dagger Schemer;High;M512022;X
512039;Foreign Minister;Ahmed Lofti al Sayed;1946;1964;1999;ML;Biased Intellectual;High;M512039;X
512040;Foreign Minister;Elie Nessim Mosseri;1936;1964;1999;SL;Great Compromiser;High;M512040;X
512041;Foreign Minister;Ali Mahir Pasha;1942;1964;1999;SL;The Cloak N Dagger Schemer;High;M512002;X
512042;Foreign Minister;Aly Chamsy Pasha;1936;1964;1999;SD;The Cloak N Dagger Schemer;Medium;M512042;X
512043;Foreign Minister;Wasef Boutros Ghali;1940;1964;1999;SD;Great Compromiser;High;M512023;X
512044;Foreign Minister;Mustafa an-Nahhas Pasha;1942;1964;1999;SD;General Staffer;High;M512005;X
512045;Minister of Armament;M.M. Faruq I;1936;1964;1999;SC;Corrupt Kleptocrat;High;M512045;X
512046;Minister of Armament;Aly Tahal;1941;1964;1999;SC;Laissez-Faire Capitalist;High;M512046;X
512047;Minister of Armament;Muhammad Mahmoud Pasha;1936;1964;1999;PA;Industrialiser;High;M512017;X
512048;Minister of Armament;Abdel Hamid Soliman;1936;1964;1999;SC;Laissez-Faire Capitalist;Medium;M512048;X
512049;Minister of Armament;Wahid Ghaylam Pasha;1936;1964;1999;ML;Laissez-Faire Capitalist;Medium;M512049;X
512050;Minister of Armament;Taalat Harb;1938;1964;1999;ML;Administrative Genius;Medium;M512050;X
512051;Minister of Armament;Talal al-Quros;1941;1964;1999;ML;Air to Ground Proponent;High;M512051;X
512052;Minister of Armament;Salib Sami Bey;1945;1964;1999;ML;Tank Proponent;High;M512031;X
512053;Minister of Armament;Mohammed Salah al Din;1936;1964;1999;SL;Air to Sea Proponent;High;M512053;X
512054;Minister of Armament;Ali Hassouna Pasha;1941;1964;1999;SL;Infantry Proponent;High;M512054;X
512055;Minister of Armament;Aly Amir Pasha;1945;1964;1999;SL;Administrative Genius;High;M512055;X
512056;Minister of Armament;Mohammed Fahmy al-Kaiss;1936;1964;1999;SD;Strategic Air Proponent;High;M512056;X
512057;Minister of Armament;Abd el-Azim;1942;1964;1999;SD;Infantry Proponent;High;M512057;X
512058;Minister of Armament;Aga I Khan;1944;1964;1999;SD;Resource Industrialist;High;M512058;X
512059;Minister of Security;Amil al-Husseini;1938;1964;1999;SC;Efficient Sociopath;High;M512059;X
512060;Minister of Security;Muhammad Mahmoud Pasha;1940;1964;1999;SC;Compassionate Gentleman;High;M512017;X
512061;Minister of Security;M.M. Nawal Zaki;1943;1964;1999;SC;Man of the People;High;M512061;X
512062;Minister of Security;Kamel Nabih Pasha;1936;1964;1999;ML;Man of the People;Medium;M512062;X
512063;Minister of Security;Safiya Zaghloul;1936;1949;1950;ML;Man of the People;Very High;EGY_Safiya Zaghloul;X
512064;Minister of Security;Romarcos Hanna Pasha;1944;1964;1999;ML;Crime Fighter;Medium;M512064;X
512065;Minister of Security;Salib Samir Pasha;1936;1964;1999;SL;Back Stabber;Medium;M512065;X
512066;Minister of Security;Mohammed Najib Pasha;1942;1964;1999;SL;Compassionate Gentleman;Medium;M512066;X
512067;Minister of Security;Mohammed Hilmi Issa;1945;1964;1999;SL;Man of the People;Medium;M512006;X
512068;Minister of Security;Gaafaar Waly Pasha;1936;1964;1999;SD;Back Stabber;Medium;M512068;X
512069;Minister of Security;Makran Ebeid Pasha;1940;1964;1999;SD;Man of the People;Medium;M512069;X
512070;Minister of Security;Ali Hilali Pasha;1946;1964;1999;SD;Crime Fighter;Medium;M512070;X
512071;Head of Military Intelligence;Mohammed al Fransawi;1936;1964;1999;SC;Technical Specialist;Medium;M512004;X
512072;Head of Military Intelligence;Pierre Lacau;1936;1964;1999;SC;Industrial Specialist;Medium;M512072;X
512073;Head of Military Intelligence;Solima Sami;1936;1964;1999;ML;Naval Intelligence Specialist;Medium;M512073;X
512075;Head of Military Intelligence;Aly Chamsy Pasha;1936;1964;1999;SL;Industrial Specialist;Medium;M512027;X
512076;Head of Military Intelligence;George Cresswell;1942;1964;1999;SL;Dismal Enigma;Medium;M512076;X
512077;Head of Military Intelligence;Aga I Khan;1936;1964;1999;SD;Industrial Specialist;Medium;M512077;X
512078;Head of Military Intelligence;Wahid Raafat;1944;1964;1999;SD;Technical Specialist;Medium;M512078;X
