EQA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
535001;Head of State;Richard Brunot;1936;1964;1999;SL;Benevolent Gentleman;High;M534003;x
535002;Head of Government;Barthelémy Boganda;1936;1964;1999;SL;Naive Optimist;High;M535002;x
535003;Foreign Minister;Max de Masson de Saint-Felix;1936;1964;1999;SL;Apologetic Clerk;High;M535003;x
535004;Minister of Armament;Andre Latrille;1936;1964;1999;SL;Theoretical Scientist;Medium;M533024;x
535005;Minister of Security;Emile Possoz;1936;1964;1999;SL;Efficient Sociopath;Medium;M535005;x
535006;Head of Military Intelligence;Jean V.L.J. Chalvet;1936;1964;1999;SL;Industrial Specialist;Medium;M535006;x
535007;Chief of Staff;Pierre de Saint-Mart;1936;1964;1999;SL;School of Fire Support;Medium;M535007;x
535008;Chief of Army;Pierre de Saint-Mart;1936;1964;1999;SL;Armoured Spearhead Doctrine;Medium;M535007;x
535009;Chief of Navy;Henri Sautot;1936;1964;1999;SL;Open Seas Doctrine;Medium;M535009;x
535010;Chief of Air Force;James Denis;1936;1964;1999;SL;Air Superiority Doctrine;Medium;M535010;x
535011;Head of State;Max de Masson de Saint-Felix;1936;1964;1999;SL;Powerhungry Demagogue;High;M535003;x
535012;Head of State;Pierre de Saint-Mart;1939;1964;1999;SL;Resigned Generalissimo;High;M535007;x
535013;Head of State;Andre Latrille;1942;1964;1999;SL;Stern Imperialist;High;M533024;x
535014;Head of State;Henri Sautot;1942;1964;1999;SL;Autocratic Charmer;High;M535009;x
535015;Head of State;Jean V.L.J. Chalvet;1946;1964;1999;SL;Autocratic Charmer;High;M535006;x
535016;Head of State;David Dacko;1936;1964;1999;SC;Barking Buffoon;High;M535016;x
535017;Head of Government;Jean Bédel Bokassa;1936;1964;1999;SC;Old General;High;M535017;x
535018;Foreign Minister;Paul Appert;1942;1964;1999;SL;General Staffer;High;M535018;x
535019;Foreign Minister;Marcel Vomitendé;1936;1964;1999;SC;The Cloak N Dagger Schemer;High;M535019;x
535020;Minister of Armament;Aimé Lepercq;1942;1964;1999;SL;Administrative Genius;Medium;M535020;x
535021;Minister of Armament;Marcellus Briandé;1936;1964;1999;SC;Resource Industrialist;Medium;M535021;x
535022;Minister of Security;Felix Leclerc;1941;1964;1999;SL;Silent Lawyer;Medium;M535022;x
535023;Minister of Security;Albert Idohou;1936;1964;1999;SC;Back Stabber;Medium;M535023;x
535024;Head of Military Intelligence;Edmond Magendie;1943;1964;1999;SL;Logistics Specialist;Medium;M535024;x
535025;Head of Military Intelligence;Paul Appert;1936;1964;1999;SC;Political Specialist;Medium;M535018;x
535026;Chief of Staff;Dominique Kosseyo;1936;1964;1999;SC;School of Defence;Medium;M535026;x
535027;Chief of Army;Jean Bédel Bokassa;1936;1964;1999;SC;Guns and Butter Doctrine;Medium;M535017;x
535028;Chief of Navy;Hylette Mangard;1936;1964;1999;SC;Base Control Doctrine;Medium;M535028;x
535029;Chief of Air Force;Ernest Pruvost;1942;1964;1999;SL;Army Aviation Doctrine;Medium;M535029;x
535030;Chief of Air Force;Emmanuel Bagindre;1936;1964;1999;SC;Naval Aviation Doctrine;Medium;M535030;x
535031;Head of State;Under German administration;1963;1964;1999;PA;Weary Stiffneck;High;kai_gercoladmi;x
535032;Head of State;Under German administration;1963;1964;1999;SC;Weary Stiffneck;High;kai_gercoladmi;x
