EST;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
26001;Head of State;Konstantin Päts;1936;1964;1999;PA;Barking Buffoon;High;M26001;x
26002;Head of Government;Konstantin Päts;1936;1964;1999;PA;Happy Amateur;High;M26001;x
26003;Foreign Minister;Julius Seljamaa;1936;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M26003;x
26004;Minister of Armament;Karl Selter;1936;1964;1999;PA;Administrative Genius;Medium;M26004;x
26005;Minister of Security;Kaarel Eenpalu;1936;1964;1999;PA;Crime Fighter;Medium;M26005;x
26006;Head of Military Intelligence;Kaarel Eenpalu;1936;1964;1999;PA;Technical Specialist;Medium;M26005;x
26007;Chief of Staff;Nikolai Reek;1936;1964;1999;PA;School of Defence;Medium;M26007;x
26008;Chief of Army;Johan Laidoner;1936;1964;1999;PA;Static Defence Doctrine;Medium;M26008;x
26009;Chief of Navy;Voldemar Mere;1936;1964;1999;PA;Open Seas Doctrine;Medium;M26009;x
26010;Chief of Air Force;Richard Tomberg;1936;1964;1999;PA;Army Aviation Doctrine;Medium;M26010;x
26031;Head of State;August Rei;1936;1964;1999;ML;Popular Figurehead;High;M26031;x
26032;Head of State;Jüri Uluots;1940;1964;1999;ML;Die-hard Reformer;High;M26032;x
26034;Head of State;Hjalmar Mäe;1936;1964;1999;FA;Insignificant Layman;High;M26011;x
26035;Head of State;Karl Sigismund Litzmann;1941;1964;1999;NS;Resigned Generalissimo;High;M26035;x
26036;Head of State;Johannes Vares-Barbaruse;1936;1964;1999;ST;Powerhungry Demagogue;High;M26021;x
26037;Head of Government;Jüri Uluots;1936;1964;1999;ML;Smiling Oilman;High;M26032;x
26038;Head of Government;Otto Tief;1940;1964;1999;ML;Happy Amateur;High;M26038;x
26039;Head of Government;Kaarel Liidak;1944;1964;1999;ML;Political Protege;High;M26039;x
26041;Head of Government;Kaarel Eenpalu;1938;1964;1999;PA;Ambitious Union Boss;High;M26005;x
26042;Head of Government;Hjalmar Mäe;1936;1964;1999;NS;Flamboyant Tough Guy;High;M26011;x
26043;Head of Government;Johannes Vares-Barbaruse;1936;1964;1999;ST;Silent Workhorse;High;M26021;x
26044;Head of Government;Johannes Lauristin;1939;1964;1999;ST;Happy Amateur;High;M26044;x
26045;Head of Government;Oskar Sepre;1940;1964;1999;ST;Silent Workhorse;High;M26044;x
26046;Head of Government;Arnold Veimer;1944;1964;1999;ST;Naive Optimist;High;M26046;x
26047;Foreign Minister;August Rei;1936;1964;1999;ML;Ideological Crusader;Medium;M26031;x
26048;Foreign Minister;Ants Piip;1939;1964;1999;PA;Great Compromiser;Medium;M26048;x
26049;Foreign Minister;Kaarel Liidak;1944;1964;1999;ML;Iron Fisted Brute;High;M26039;x
26050;Foreign Minister;Friedrich Karl Akel;1936;1964;1999;PA;General Staffer;Medium;M26050;x
26051;Foreign Minister;Karl Selter;1938;1964;1999;PA;Biased Intellectual;Medium;M26004;x
26052;Foreign Minister;Hjalmar Mäe;1936;1964;1999;NS;Iron Fisted Brute;Medium;M26011;x
26053;Foreign Minister;Johannes Lauristin;1936;1964;1999;ST;Apologetic Clerk;Medium;M26044;x
26054;Foreign Minister;Nigol Andresen;1940;1964;1999;ST;Iron Fisted Brute;Medium;M26023;x
26055;Foreign Minister;Hans Kruus;1944;1964;1999;ST;Ideological Crusader;Medium;M26055;x
26056;Minister of Armament;Leo Sepp;1936;1964;1999;ML;Resource Industrialist;Medium;M26056;x
26057;Minister of Armament;Hugo Pärtelpoeg;1944;1964;1999;ML;Laissez-Faire Capitalist;Medium;M26057;x
26059;Minister of Armament;Otto Tief;1938;1964;1999;PA;Corrupt Kleptocrat;Low;M26038;x
26060;Minister of Armament;Konstantin Päts;1939;1964;1999;PA;Administrative Genius;Very High;M26001;x
26061;Minister of Armament;Alfred Vendt;1936;1964;1999;FA;Military Entrepreneur;Medium;M26014;x
26062;Minister of Armament;Juhan Narma-Nihtig;1936;1964;1999;ST;Resource Industrialist;Medium;M26024;x
26063;Minister of Armament;Paul Keerdo;1940;1964;1999;ST;Corrupt Kleptocrat;Medium;M26063;x
26064;Minister of Armament;Nikolaus Pilankor;1944;1964;1999;ST;Military Entrepreneur;Medium;M26064;x
26065;Minister of Security;Richard Veermaa;1936;1964;1999;ML;Silent Lawyer;Medium;M26065;x
26066;Minister of Security;August Jürima;1939;1964;1999;ML;Crooked Kleptocrat;Medium;M26066;x
26067;Minister of Security;Johannes Klesment;1944;1964;1999;ML;Compassionate Gentleman;Medium;M26067;x
26069;Minister of Security;Julius Seljamaa;1938;1964;1999;PA;Prince of Terror;Medium;M26003;x
26070;Minister of Security;Oskar Angelus;1936;1964;1999;NS;Prince of Terror;Medium;M26015;x
26071;Minister of Security;Karl Sigismund Litzmann;1941;1964;1999;NS;Back Stabber;Low;M26035;x
26072;Minister of Security;Andrei Murro;1936;1964;1999;ST;Man of the People;Medium;M26072;x
26073;Minister of Security;Maksim Unt;1939;1964;1999;ST;Prince of Terror;Medium;M26025;x
26074;Minister of Security;Boris Kumm;1940;1964;1999;ST;Efficient Sociopath;Medium;M26074;x
26075;Minister of Security;Aleksander Rusev;1944;1964;1999;ST;Back Stabber;Medium;M26075;x
26076;Head of Military Intelligence;Jüri Uluots;1936;1964;1999;ML;Industrial Specialist;Medium;M26032;x
26077;Head of Military Intelligence;August Rei;1944;1964;1999;ML;Political Specialist;Medium;M26031;x
26079;Head of Military Intelligence;Oskar Angelus;1936;1964;1999;NS;Logistics Specialist;Medium;M26015;x
26080;Head of Military Intelligence;Oskar Sepre;1936;1964;1999;ST;Dismal Enigma;Medium;M26044;x
26081;Head of Military Intelligence;Johannes Vares-Barbaruse;1940;1964;1999;ST;Political Specialist;Medium;M26021;x
26082;Head of Military Intelligence;Arnold Veimer;1944;1964;1999;ST;Technical Specialist;Very High;M26046;x
26083;Chief of Staff;Alexander Jaakson;1936;1964;1999;ML;School of Fire Support;Medium;M26083;x
26084;Chief of Staff;Johan Holberg;1941;1964;1999;ML;School of Defence;Medium;M26084;x
26086;Chief of Staff;Johannes Soodla;1936;1964;1999;NS;School of Psychology;Medium;M26017;x
26087;Chief of Staff;Nikolay G. Karotamm;1936;1964;1999;ST;School of Mass Combat;Medium;M26027;x
26089;Chief of Army;Richard Veermaa;1936;1964;1999;ML;Decisive Battle Doctrine;Medium;M26065;x
