EUS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
580001;Head of State;S.C.M. Francis Xavier de Borbón-Parma;1936;1964;1999;FA;Autocratic Charmer;High;M10034;x
580002;Head of Government;Manuel Fal Conde;1936;1964;1999;FA;Flamboyant Tough Guy;Very High;kaiserreich falconde;x
580003;Foreign Minister;Manuel Fal Conde;1936;1964;1999;FA;Ideological Crusader;Very High;kaiserreich falconde;x
580004;Minister of Armament;Onésimo Redondo Ortega;1936;1964;1999;FA;Tank Proponent;Very High;M10107;x
580005;Minister of Security;José Luis Arrese Magra;1936;1964;1999;FA;Crime Fighter;Very High;M10072;x
580006;Head of Military Intelligence;Juan Vigón Suerodíaz;1936;1964;1999;FA;Technical Specialist;Very High;M10118;x
580007;Chief of Staff;Gonzalo Queipo de Llano;1936;1964;1999;FA;School of Mass Combat;Very High;M10055;x
580008;Chief of Army;Emilio Mola Vidal;1936;1964;1999;FA;Decisive Battle Doctrine;Very High;M10008;x
580009;Chief of Navy;Tomás Domínguez Arévalo;1936;1964;1999;FA;Base Control Doctrine;Very High;M10048;x
580011;Head of State;Jesús María de Leizaola;1936;1964;1999;SC;Popular Figurehead;High;kaiserreich Leizaola;x
580012;Head of Government;Jesús María de Leizaola;1936;1964;1999;SC;Naive Optimist;High;kaiserreich Leizaola;x
580013;Foreign Minister;Francisco Javier de Landaburu;1936;1964;1999;SC;Great Compromiser;High;kaiserreich Landaburu;x
580014;Minister of Armament;Fermín Zarza;1936;1964;1999;SC;Resource Industrialist;High;unknown;x
580015;Minister of Security;Manuel de Irujo;1936;1964;1999;SC;Efficient Sociopath;Very High;kaiserreich irujo;x
580016;Head of Military Intelligence;Manuel de Irujo;1936;1964;1999;SC;Dismal Enigma;High;kaiserreich irujo;x
580017;Chief of Staff;Jesús María de Leizaola;1936;1964;1999;SC;School of Psychology;High;kaiserreich Leizaola;x
580018;Chief of Army;Antonio Ortega;1936;1964;1999;SC;Elastic Defence Doctrine;High;kaiserreich ortega;x
580019;Chief of Navy;José María Burgaña;1936;1964;1999;SC;Open Seas Doctrine;High;kaiserreich burgana;x
580020;Chief of Air Force;Juan Antonio Ibarreche;1936;1964;1999;ML;Carpet Bombing Doctrine;High;M580020;x
580021;Head of State;Anacleto Ortueta;1936;1964;1999;LWR;Die-Hard Reformer;High;kaiserreich ortueta;x
580022;Head of State;Justo Gárate;1936;1964;1999;LWR;Barking Buffoon;Very High;kaiserreich garate;x
580023;Head of Government;Anacleto Ortueta;1936;1964;1999;LWR;Backroom Backstabber;High;kaiserreich ortueta;x
580024;Head of Government;Telesforo Monzón;1936;1964;1999;LE;Flamboyant Tough Guy;High;kaiserreich monzon;x
580025;Foreign Minister;Telesforo Monzón;1936;1964;1999;LE;Iron Fisted Brute;High;kaiserreich monzon;x
580026;Foreign Minister;Tomás Bilbao;1936;1964;1999;LWR;Apologetic Clerk;High;kaiserreich bilbao;x
580027;Minister of Armament;Santiago Aznar;1936;1964;1999;LWR;Corrupt Kleptocrat;High;kaiserreich aznar;x
580028;Minister of Armament;Gonzalo Nardiz;1936;1964;1999;LWR;laissez-faire capitalist;High;kaiserreich nardiz;x
580029;Minister of Security;Justo Gárate;1936;1964;1999;LWR;Efficient Sociopath;Very High;kaiserreich garate;x
580030;Minister of Security;Anacleto Ortueta;1936;1964;1999;LWR;Man of the People;High;kaiserreich ortueta;x
580031;Head of Military Intelligence;Jesús Larrañaga;1936;1964;1999;LWR;Industrial Specialist;High;M580031;x
580032;Head of Military Intelligence;Francisco Ciutat de Miguel;1936;1964;1999;SD;Logistics Specialist;Medium;kaiserreich ciutat;x
580033;Chief of Staff;Anacleto Ortueta;1936;1964;1999;LWR;School of Fire Support;High;kaiserreich ortueta;x
580034;Chief of Staff;Justo Gárate;1936;1964;1999;LWR;School of Psychology;Very High;kaiserreich garate;x
580035;Chief of Army;Felix Likiniano;1936;1964;1999;LE;Decisive Battle Doctrine;High;kaiserreich likiniano;x
580036;Chief of Army;Kepa Ordoki;1936;1964;1999;LE;Guns and Butter Doctrine;High;kaiserreich ordoki;x
580037;Chief of Navy;Rafael Menchaca;1936;1964;1999;ST;Indirect Approach Doctrine;High;kaiserreich menchaca;x
580038;Chief of Navy;Manuel Galdós;1936;1964;1999;LWR;Open Seas Doctrine;High;kaiserreich galdos;x
580039;Chief of Air Force;Ignacio Hidalgo de Cisneros;1936;1964;1999;LWR;Carpet Bombing Doctrine;Medium;M11030;x
580040;Chief of Air Force;Pablo Rada;1936;1964;1999;LWR;Naval Aviation Doctrine;High;kaiserreich rada;x
580041;Head of Government;Pedro Mourlane Michelena;1936;1964;1999;FA;Flamboyant Tough Guy;Very High;kaiserreich mourlane;x
580042;Head of Government;José Felix Lequerica;1936;1964;1999;PA;Silent Workhorse;High;kaiserreich lequica;x
580043;Foreign Minister;José María de Areilza;1936;1964;1999;PA;Great Compromiser;Very High;kaiserreich areilza;x
580044;Foreign Minister;José Felix Lequerica;1936;1964;1999;PA;Biased Intellectual;High;kaiserreich lequica;x
580045;Minister of Armament;José Luís Arrese Magra;1936;1964;1999;FA;Resource Industrialist;Medium;M10072;x
580046;Minister of Armament;Alejandro Goicoechea;1936;1964;1999;PA;Administrative Genius;High;kaiserreich goicoechea;x
580047;Minister of Security;Rafael Sánchez Mazas;1936;1964;1999;FA;Compassionate Gentleman;High;kaiserreich sanchez;x
580048;Minister of Security;Pedro Mourlane Michelena;1936;1964;1999;FA;Man of the People;Very High;kaiserreich mourlane;x
580049;Head of Military Intelligence;Manuel Aznar;1936;1964;1999;PA;Political Specialist;Medium;kaiserreich aznar2;x
580050;Head of Military Intelligence;Alejandro Goicoechea;1936;1964;1999;PA;Logistics Specialist;High;kaiserreich goicoechea;x
580051;Chief of Army;Alejandro Goicoechea;1936;1964;1999;PA;Static Defence Doctrine;High;kaiserreich goicoechea;x
580052;Chief of Army;Enrique Sotomayor;1936;1964;1999;FA;Decisive Battle Doctrine;Medium;kaiserreich sotomayor;x
580053;Chief of Navy;Felipe Abárzuza;1936;1964;1999;PA;Power Projection Doctrine;High;unknown;x
580054;Chief of Navy;Francisco Nuñez de Olañeta;1936;1964;1999;PA;Indirect Approach Doctrine;Very High;kaiserreich nunez;x
580055;Chief of Air Force;Ángel Salas;1936;1964;1999;PA;vertical envelopment doctrine;High;kaiserreich salas;x
580056;Chief of Air Force;Esteban Ibarreche;1936;1964;1999;PA;Carpet Bombing Doctrine;High;unknown;x
580057;Foreign Minister;José María Lasarte;1936;1964;1999;SC;Ideological Crusader;High;kaiserreich lasarte;x
580058;Minister of Armament;Heliodoro de la Torre;1936;1964;1999;SC;laissez-faire capitalist;High;kaiserreich delatorre;x
580059;Minister of Security;Jesús María de Leizaola;1936;1964;1999;SC;Silent Lawyer;High;kaiserreich Leizaola;x
580060;Head of Military Intelligence;Juan Ajuriaguerra;1936;1964;1999;SC;Logistics Specialist;High;kaiserreich Ajuriaguerra;x
580061;Chief of Staff;José Antonio Aguirre;1936;1964;1999;SC;School of Defence;Very High;kaiserreich aguirre;x
580062;Chief of Army;Saturnino Bengoa;1936;1964;1999;SC;Static Defence Doctrine;High;unknown;x
580063;Chief of Navy;Joaquín de Egía;1936;1964;1999;SC;Base Control Doctrine;High;kaiserreich egia;x
580065;Minister of Security;Gonzalo Queipo de Llano;1936;1964;1999;FA;Man of the People;Very High;M10055;x
580066;Chief of Army;Gonzalo Queipo de Llano;1936;1964;1999;FA;Guns and Butter Doctrine;Very High;M10055;x
580067;Minister of Armament;Juan Vigón Suerodíaz;1936;1964;1999;FA;Theoretical Scientist;Very High;M10118;x
580068;Chief of Air Force;Juan Vigón Suerodíaz;1936;1964;1999;FA;Army Aviation Doctrine;Very High;M10118;x
580069;Chief of Air Force;Tomás Domínguez Arévalo;1936;1964;1999;FA;Air Superiority Doctrine;Very High;M10049;x
580070;Head of Military Intelligence;Onésimo Redondo Ortega;1936;1964;1999;FA;Logistics Specialist;Very High;M10107;x
580071;Chief of Staff;Onésimo Redondo Ortega;1936;1964;1999;FA;School of Mass Combat;Very High;M10107;x
580072;Chief of Army;Onésimo Redondo Ortega;1936;1964;1999;FA;Static Defence Doctrine;Very High;M10107;x
580073;Minister of Security;Manuel Fal Conde;1936;1964;1999;FA;Man of the People;Very High;kaiserreich falconde;x
580074;Foreign Minister;José Luis Arrese Magra;1936;1964;1999;FA;Iron Fisted Brute;Very High;M10072;x
580075;Head of Military Intelligence;José Luis Arrese Magra;1936;1964;1999;FA;Dismal Enigma;Very High;M10072;x
580076;Chief of Air Force;José Luis Arrese Magra;1936;1964;1999;FA;Army Aviation Doctrine;Very High;M10072;x
580077;Chief of Staff;Emilio Mola Vidal;1936;1964;1999;FA;School of Manoeuvre;Very High;M10008;x
580078;Minister of Security;Emilio Mola Vidal;1936;1964;1999;FA;Prince of Terror;Very High;M10008;x
580079;Head of Military Intelligence;Angel Herrera Oria;1936;1964;1999;FA;Industrial Specialist;High;Kaiserreich_EUS_Oria;x
580080;Chief of Staff;José Enrique Varela;1936;1964;1999;FA;School of Mass Combat;Medium;M580080;x
580081;Minister of Security;Esteban Bilbao;1936;1964;1999;FA;Crime Fighter;High;M580081;x
580082;Chief of Army;Ricardo de Rada del Peral;1936;1964;1999;FA;Decisive Battle Doctrine;Very high;M580082;x
580083;Minister of Armament;Rafael García Valiño y Marcén;1936;1964;1999;FA;laissez-faire capitalist;Medium;M580083;x
580084;Chief of Army;Rafael García Valiño y Marcén;1936;1964;1999;FA;Armoured Spearhead Doctrine;Medium;M580083;x
580085;Head of Military Intelligence;Javier Cid Toubes;1936;1964;1999;FA;Political Specialist;High;M580085;x
580086;Chief of Air Force;Joaquín García Morato y Castaño;1936;1964;1999;FA;Air Superiority Doctrine;High;M580086;x
580087;Chief of Air Force;Ramón Franco;1936;1964;1999;PA;Naval Aviation Doctrine;Low;EUS_ramon_franco;x
580088;Minister of Armament;Ánxel Casal;1936;1964;1999;SD;Laissez-Faire Capitalist;Medium;EUS_anxel_casal;x
580089;Foreign Minister;Ánxel Casal;1936;1964;1999;SD;Apologetic Clerk;Low;EUS_anxel_casal;x
580090;Foreign Minister;Antón Alonso Ríos;1936;1964;1999;SD;Great Compromiser;Very high;EUS_anton_alonso_rios;x
580091;Head of State;Ramón Otero Pedrayo;1936;1964;1999;ML;Benevolent Gentleman;Low;EUS_ramon_otero_pedrayo;x
580092;Head of Government;Ramón Otero Pedrayo;1936;1964;1999;ML;Naive Optimist;Medium;EUS_ramon_otero_pedrayo;x
580093;Foreign Minister;Ramón Otero Pedrayo;1936;1964;1999;ML;Apologetic Clerk;Medium;EUS_ramon_otero_pedrayo;x
580094;Minister of Security;Ramón Suárez Picallo;1936;1964;1999;SD;Crime Fighter;Low;EUS_ramon_suarez_picallo;x
580095;Head of State;Antón Vilar Ponte;1936;1964;1999;SL;Barking Buffoon;Very high;EUS_anton_villar_ponte;x
580096;Head of Government;Antón Vilar Ponte;1936;1964;1999;SL;Flamboyant Tough Guy;Low;EUS_anton_villar_ponte;x
580097;Foreign Minister;Antón Vilar Ponte;1936;1964;1999;SL;Ideological Crusader;Medium;EUS_anton_villar_ponte;x
580098;Head of State;Valentín Paz-Andrade;1936;1964;1999;SC;Die-hard Reformer;Low;EUS_valentin_paz-andrade;x
580099;Head of Government;Valentín Paz-Andrade;1936;1964;1999;SC;Silent Workhorse;Medium;EUS_valentin_paz-andrade;x
580100;Minister of Armament;Valentín Paz-Andrade;1936;1964;1999;SC;Resource Industrialist;Low;EUS_valentin_paz-andrade;x
580101;Head of State;Alfonso Castelao;1936;1964;1999;SL;Popular Figurehead;Medium;EUS_alfonso_castelao;x
580102;Head of Government;Alfonso Castelao;1936;1964;1999;SL;Flamboyant Tough Guy;Low;EUS_alfonso_castelao;x
580103;Foreign Minister;Alfonso Castelao;1936;1964;1999;SL;General Staffer;Medium;EUS_alfonso_castelao;x
580104;Head of State;Santiago Casares Quiroga;1936;1964;1999;SC;Autocratic Charmer;Low;EUS_santiago_casares_quiroga;x
580105;Head of Government;Santiago Casares Quiroga;1936;1964;1999;SC;Political Protege;Very high;EUS_santiago_casares_quiroga;x
580106;Foreign Minister;Santiago Casares Quiroga;1936;1964;1999;SC;Ideological Crusader;Low;EUS_santiago_casares_quiroga;x
580107;Head of State;Alexandre Bóveda Iglesias;1936;1964;1999;SC;Pig-headed Isolationist;Medium;EUS_alexandre_boveda;x
580108;Head of Government;Alexandre Bóveda Iglesias;1936;1964;1999;SC;Corporate Suit;Medium;EUS_alexandre_boveda;x
580109;Foreign Minister;Alexandre Bóveda Iglesias;1936;1964;1999;SC;Great Compromiser;Low;EUS_alexandre_boveda;x
580110;Minister of Armament;Alexandre Bóveda Iglesias;1936;1964;1999;SC;Laissez-Faire Capitalist;Medium;EUS_alexandre_boveda;x
580111;Foreign Minister;Álvaro Cunqueiro Mora;1936;1964;1999;ML;iron fisted brute;Low;EUS_alvaro_cunqueiro;x
580112;Head of State;Vicente Risco;1936;1964;1999;PA;Barking Buffoon;Very high;EUS_vicente_risco;x
580113;Head of Government;Vicente Risco;1936;1964;1999;PA;Naive Optimist;Low;EUS_vicente_risco;x
580114;Foreign Minister;Vicente Risco;1936;1964;1999;PA;Biased Intellectual;Medium;EUS_vicente_risco;x
580115;Foreign Minister;Salvador De Madariaga;1936;1964;1999;LWR;Biased Intellectual;Medium;M3502;x
580116;Minister of Armament;Alejandro Otero Fernandez;1936;1964;1999;LWR;Resource Industrialist;Medium;M3503;x
580117;Head of State;Camilo Alonso Vega;1936;1964;1999;NS;Resigned Generalissimo;Medium;M3512;x
580118;Chief of Army;Camilo Alonso Vega;1936;1964;1999;FA;Decisive Battle Doctrine;Medium;M3512;x
580119;Chief of Staff;Camilo Alonso Vega;1936;1964;1999;FA;School of Mass Combat;Medium;M3512;x
580120;Head of Government;Arzobispo Muñiz de Pablos;1936;1964;1999;PA;Smiling Oilman;Medium;M3516;x
580121;Chief of Navy;Salvador Moreno;1936;1964;1999;FA;Open Seas Doctrine;Medium;M3517;x
580122;Head of State;Xosé Filgueira;1936;1964;1999;SC;Pig-headed Isolationist;Medium;M3518;x
580123;Foreign Minister;Roberto Blanco Torres;1936;1964;1999;SL;the cloak n dagger schemer;Medium;M3520;x
580124;Minister of Armament;Pedro Barrié de la Maza;1936;1964;1999;PA;Resource Industrialist;Medium;M3521;x
580125;Minister of Security;Víctor Casas;1936;1964;1999;SD;Crime Fighter;Medium;M3522;x
580126;Foreign Minister;Bieito Cupeiro;1936;1964;1999;SD;Ideological Crusader;Medium;M3528;x
580127;Minister of Armament;Juan Tizón Herrero;1936;1964;1999;SL;Administrative Genius;Medium;M3529;x
580128;Minister of Security;Francisco Perez Carvallo;1936;1964;1999;SL;Efficient Sociopath;Medium;M3530;x
580129;Foreign Minister;Manuel Fraga Iribarne;1945;1964;1999;ML;Apologetic Clerk;Medium;M3526;x
580130;Minister of Security;Antonio Roson;1936;1964;1999;SC;Silent Lawyer;Medium;M3536;x
580131;Head of Government;Manuel Portela;1936;1964;1999;SL;Corporate Suit;Medium;M3537;x
580132;Chief of Air Force;Elixio Rodriguez;1936;1964;1999;SL;Air Superiority Doctrine;Medium;M3539;x
580133;Minister of Security;Severiano Martinez Anido;1936;1964;1999;PA;Prince of Terror;Medium;M3544;x
