GAB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
536001;Head of State;Louis Bonvin;1936;1964;1999;SL;Powerhungry Demagogue;High;M536001;x
536002;Head of Government;Francois Reste;1936;1964;1999;SL;Political Protege;High;M536002;x
536003;Foreign Minister;Victor Valentin Smith;1936;1964;1999;SL;Great Compromiser;High;M536003;x
536004;Minister of Armament;Georges Pierre Masson;1936;1964;1999;SL;Administrative Genius;Medium;M536004;x
536005;Minister of Security;Georges Parisot;1936;1964;1999;SL;Silent Lawyer;Medium;M536005;x
536006;Head of Military Intelligence;Charles A.M. Assier de Perpigan;1936;1964;1999;SL;Naval Intelligence Specialist;Medium;M536006;x
536007;Chief of Staff;André Parant;1936;1964;1999;SL;School of Fire Support;Medium;L533014;x
536008;Chief of Army;Felix Eboue;1936;1964;1999;SL;Decisive Battle Doctrine;Medium;M536008;x
536009;Chief of Navy;Francois Reste;1936;1964;1999;SL;Base Control Doctrine;Medium;M536002;x
536010;Chief of Air Force;André Parant;1936;1964;1999;SL;Army Aviation Doctrine;Medium;L533014;x
536011;Head of State;Georges Parisot;1937;1964;1999;SL;Weary Stiffneck;High;M536005;x
536012;Head of State;Georges Pierre Masson;1938;1964;1999;SL;Pig-headed Isolationist;High;M536004;x
536013;Head of State;André Parant;1940;1964;1999;SL;Resigned Generalissimo;High;L533014;x
536014;Head of State;Victor Valentin Smith;1941;1964;1999;SL;Benevolent Gentleman;High;M536003;x
536015;Head of State;Charles A.M. Assier de Perpigan;1942;1964;1999;SL;Benevolent Gentleman;High;M536006;x
536016;Head of State;Paul Vuillaume;1943;1964;1999;SL;Insignificant Layman;High;M536016;x
536017;Head of State;Roland Pré;1944;1964;1999;SL;Barking Buffoon;High;M536017;x
536018;Head of State;Numa Sadoul;1946;1964;1999;SL;Die-hard Reformer;High;M536018;x
536019;Head of State;Leon Gabriel M'ba;1936;1964;1999;LWR;Autocratic Charmer;High;M536019;x
536020;Head of State;Jean Baptiste Robert;1936;1964;1999;PA;Barking Buffoon;High;M536020;x
536021;Head of Government;Pierre Boisson;1939;1964;1999;SL;Flamboyant Tough Guy;High;M536021;x
536022;Head of Government;Felix Eboue;1940;1964;1999;SL;Old Admiral;High;M536008;x
536023;Head of Government;André Bayardelle;1944;1964;1999;SL;Ambitious Union Boss;High;M536023;x
536024;Head of Government;Fulbert Youlou;1936;1964;1999;LWR;Happy Amateur;High;M536024;x
536025;Head of Government;Jean Baptiste Robert;1936;1964;1999;PA;Flamboyant Tough Guy;High;M536020;x
536026;Foreign Minister;Albert Kohan;1940;1964;1999;SL;The Cloak N Dagger Schemer;High;M536026;x
536027;Foreign Minister;Maurice Perriot;1943;1964;1999;SL;Apologetic Clerk;High;M536027;x
536028;Foreign Minister;Pascal Lissouba;1936;1964;1999;LWR;Ideological Crusader;High;M536028;x
536029;Foreign Minister;Francois Reste;1936;1964;1999;PA;General Staffer;High;M536002;x
536030;Minister of Armament;André Bayardelle;1941;1964;1999;SL;Submarine Proponent;Medium;M536023;x
536031;Minister of Armament;Gaston Flaubert;1943;1964;1999;SL;Air Superiority Proponent;Medium;M536031;x
536032;Minister of Armament;Alphonse Massemba-Debat;1936;1964;1999;LWR;Corrupt Kleptocrat;Medium;M536032;x
536033;Minister of Armament;Albert Kohan;1936;1964;1999;PA;laissez-faire capitalist;Medium;M536026;x
