GEO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
519001;Head of State;Grigol Ordzhonikidze;1936;1964;1999;ST;Barking Buffoon;Very High;GEO_Ordzhonikidze;X
519002;Head of Government;Filipp Makharadze;1936;1970;1999;ST;Happy Amateur;Very High;GEO_Makharadze;X
519003;Foreign Minister;Vissarion Lominadze;1936;1964;1999;ST;Ideological Crusader;Very High;GEO_Lominadze;X
519004;Minister of Armament;Isidore Ramishvili;1936;1964;1999;ST;Industrialiser;Very High;GEO_Ramishvili;X
519005;Minister of Security;Ioseb B. Dzughashvili;1936;1964;1999;ST;Efficient Sociopath;Medium;M4002;X
519006;Head of Military Intelligence;Mamia Orakhelashvili;1936;1964;1999;ST;Political Specialist;Very High;GEO_Orakhelashvili;X
519007;Chief of Staff;Vladimir Dekanozov;1936;1970;1999;ST;School of Mass Combat;Very High;GEO_Dekanozov;X
519008;Chief of Army;Alexi Sasha Gegechkori;1936;1964;1999;ST;Guns and Butter Doctrine;Very High;GEO_SashaGegechkori;X
519010;Minister of Security;Sergo Goglidze;1936;1964;1999;ST;Secret Police Chief;Very High;GEO_Goglidze;X
519011;Head of State;H.R.M. Giorgi XIII Bagration-Mukhraneli;1936;1957;1999;ML;Popular Figurehead;High;GEO_GiorgiXIII;X
519012;Head of State;H.R.M. Giorgi XIII Bagration-Mukhraneli;1936;1957;1999;PA;Popular Figurehead;High;GEO_GiorgiXIII;X
519013;Head of State;H.R.M. Irakli I Bagration-Mukhraneli;1957;1970;1999;ML;Stern Imperialist;High;GEO_IrakliI;X
519014;Head of State;H.R.M. Irakli I Bagration-Mukhraneli;1957;1970;1999;PA;Stern Imperialist;High;GEO_IrakliI;X
519015;Head of State;Leo Kereselidze;1936;1964;1999;SC;Resigned Generalissimo;Very High;GEO_Kereselidze;X
519016;Head of State;Zurab Avalishvili;1936;1970;1999;ML;Insignificant Layman;Very High;GEO_Avalishvili;X
