GER;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
2;Head of Government;Heinrich Class;1936;1964;1999;NS;Flamboyant Tough Guy;Very High;GER_Heinrich Class;X
3;Foreign Minister;Constantin von Neurath;1936;1964;1999;SC;Great Compromiser;High;M3;X
4;Minister of Armament;Werner von Blomberg;1936;1964;1999;NS;Infantry Proponent;High;M4;X
5;Minister of Security;Otto von Feldmann;1936;1964;1999;NS;Efficient Sociopath;Very High;GER_von Feldmann;X
6;Head of Military Intelligence;Wilhelm Canaris;1936;1964;1999;FA;Dismal Enigma;Medium;M6;X
7;Chief of Staff;Ludwig Beck;1936;1964;1999;PA;School of Manoeuvre;High;M7;X
8;Chief of Army;Werner von Fritsch;1936;1964;1999;PA;Armoured Spearhead Doctrine;High;M8;X
9;Chief of Navy;Erich Raeder;1936;1964;1999;NS;Decisive Naval Battle Doctrine;High;M9;X
10;Chief of Air Force;Hermann Köhl;1936;1964;1999;PA;Army Aviation Doctrine;Very High;Kaiserreich hermann koehl;X
11;Head of Military Intelligence;Walter Nicolai;1936;1964;1999;PA;Political Specialist;High;kaiserreichwalternicolai;X
12;Head of Military Intelligence;Ferdinand von Bredow;1936;1964;1999;FA;Political Specialist;Medium;kaiserreichferdinandvonbredow;X
32;Head of State;Karl Dönitz;1945;1964;1999;NS;Resigned Generalissimo;High;M32;X
33;Head of State;Oskar von Hindenburg;1960;1964;1999;FA;Insignificant Layman;High;M33;X
34;Head of State;Ludwig Beck;1944;1964;1999;PA;Resigned Generalissimo;High;M7;X
35;Head of State;Hjalmar Schacht;1945;1964;1999;FA;Pig-headed Isolationist;High;M14;X
36;Head of State;S.K.M. Wilhelm II von Preussen;1930;1964;1999;PA;Weltkrieg Emperor;High;kaiserreich wilhelmiih;X
37;Head of State;S.K.M. Wilhelm III von Preussen;1941;1964;1999;PA;Moderate Kaiser;High;M37;X
38;Head of State;Theodor Heuss;1946;1964;1999;SC;Die-hard Reformer;High;M38;X
39;Head of State;Ludwig Renn;1936;1964;1999;ST;Insignificant Layman;High;M21;X
42;Head of Government;Hermann Ehrhardt;1941;1964;1999;NS;Old Admiral;High;GER_Ehrhardt;X
43;Minister of Armament;Ludwig Mies van der Rohe;1936;1964;1999;SC;Construction Magnate;Very High;GER_Rohe;X
44;Head of Government;Otto Meissner;1936;1964;1999;PA;Naive Optimist;High;M44;X
45;Head of Government;Kurt von Schleicher;1936;1964;1999;PA;Old General;High;kaiserreich schleichervonkurt;X
46;Head of Government;Albert Dufour-Feronce;1938;1964;1999;PA;Flamboyant Tough Guy;High;M46;X
47;Head of Government;Franz von Papen;1936;1964;1999;PA;Happy Amateur;High;M47;X
48;Head of Government;Carl Friedrich Goerdeler;1942;1964;1999;PA;Happy Amateur;High;M12;X
49;Head of Government;Johann Schwerin von Krosigk;1944;1964;1999;PA;Silent Workhorse;High;M49;X
50;Head of Government;Konrad Adenauer;1946;1964;1999;SC;Silent Workhorse;High;M50;X
51;Head of Government;Ernst Thalmann;1936;1964;1999;ST;Backroom Backstabber;High;M22;X
52;Head of Government;Ernst Toller;1939;1964;1999;ST;Ambitious Union Boss;High;M25;X
53;Head of Government;Walter Ulbricht;1946;1964;1999;ST;Backroom Backstabber;High;M53;X
55;Foreign Minister;Joachim von Ribbentrop;1960;1964;1999;NS;Iron Fisted Brute;High;M55;X
56;Foreign Minister;Artur Mahraun;1942;1964;1999;NS;Ideological Crusader;Very High;GER_Mahraun;X
