GUA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
46001;Head of State;Jose Manuel Fortuny;1936;1964;1999;LE;Die-hard Reformer;Medium;kaiserreich fortuny;x
46002;Head of Government;Víctor Manuel Gutiérrez;1936;1964;1999;LE;Ambitious Union Boss;Medium;kaiserreich gutierrez;x
46003;Foreign Minister;Laura H. de Salazar;1936;1964;1999;LWR;Iron Fisted Brute;Medium;M77023;x
46004;Minister of Armament;Franco Hernandez Ávila;1936;1964;1999;LE;Resource Industrialist;Medium;M77025;x
46005;Minister of Security;Augustín Farabundo Martí;1936;1964;1999;LE;Man of the People;Medium;kaiserreich farabundo;x
46006;Head of Military Intelligence;Adrian Recinos;1936;1964;1999;LWR;Technical Specialist;Medium;M46016;x
46007;Chief of Staff;Augustín Farabundo Martí;1936;1964;1999;LE;School of Fire Support;Medium;kaiserreich farabundo;x
46008;Chief of Army;Salvador Cayetano Carpio;1936;1964;1999;LE;Guns and Butter Doctrine;Medium;kaiserreich cayetano;x
46009;Chief of Navy;Jorge Torriello Garrido;1936;1964;1999;LWR;Power Projection Doctrine;High;M46011;x
46010;Chief of Air Force;Francisco Javier Arana;1936;1964;1999;LWR;Vertical Envelopment Doctrine;Very High;M46027;x
;Replacements;;;;;;;;;x
46011;Head of State;Augustín Farabundo Martí;1936;1964;1999;LE;Weary Stiffneck;High;M77021;x
46013;Head of State;Andrés Ignacio Menéndez;1936;1964;1999;SD;Benevolent Gentleman;High;M77011;x
46014;Head of State;Romualdo Jímenez Oreamurio;1936;1964;1999;LWR;Ruthless Powermonger;High;M47001;x
46015;Head of State;Luis Cardenal;1936;1964;1999;LE;Weary Stiffneck;High;M48021;x
46016;Head of State;Manuel Mora Valverde;1940;1964;1999;LE;Insignificant Layman;High;M47021;x
46017;Head of State;Jacopo Arbenz Guzman;1944;1964;1999;LWR;Popular Figurehead;High;M46021;x
46018;Head of State;Otilio Ulate;1944;1964;1999;SD;Benevolent Gentleman;High;M47031;x
46019;Head of State;Juan Arevalo Bermejo;1945;1964;1999;SD;Die-hard Reformer;High;M46022;x
46020;Head of State;Isalino de Silva Londres;1947;1964;1999;LWR;Autocratic Charmer;High;M47040;x
46021;Head of Government;Luis Cardenal;1936;1964;1999;LE;Flamboyant Tough Guy;High;M48021;x
46022;Head of Government;Jose Maria Cuellar;1936;1964;1999;LE;Naive Optimist;High;M77022;x
46023;Head of Government;Francisco Javier Arana;1936;1964;1999;LWR;Naive Optimist;High;M46027;x
