GUY;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
562001;Head of State;Sir Gordon J. Lethem;1936;1964;1999;ML;Die-hard Reformer;High;M562001;X
562164;Minister of Security;C. L. R. James;1936;1964;1999;LE;Media Magnate;High;GUY CLR James;X
562002;Head of Government;Arthur Andrew Cipriani;1936;1945;1999;SD;Ambitious Union Boss;High;GUY_arthur_andrew_cipriani;X
562003;Foreign Minister;Sir Geoffrey Stanfford Northcote;1936;1964;1999;ML;Apologetic Clerk;High;M562003;X
562004;Minister of Armament;Abraham Issa;1936;1964;1999;ML;Administrative Genius;Very High;Abraham_Issa;X
562005;Minister of Security;Gladdys Maud Longbridge;1936;1964;1999;SL;Man of the People;Very High;Gladdys_Maud_Longbridge;X
562006;Head of Military Intelligence;Edward F. Collingwood;1936;1964;1999;ML;Industrial Specialist;Medium;M562006;X
562007;Chief of Staff;Sir George William Grogan;1936;1962;1999;ML;School of Psychology;High;Kaiserreich Grogan;X
562008;Chief of Army;Frederic Augustis;1936;1964;1999;ML;Armoured Spearhead Doctrine;Medium;M562008;X
562009;Chief of Navy;Sir Ralph Leatham;1936;1955;1999;ML;Decisive Naval Battle Doctrine;Medium;Kaiserreich Leatham;X
562010;Chief of Air Force;Billy Strachan;1946;1964;1999;ML;Carpet Bombing Doctrine;High;Kaiserreich Stratchan;X
562011;Head of State;Severo Mallet-Prevost;1936;1964;1999;PA;Benevolent Gentleman;High;M562011;X
562012;Head of State;Dr. Cheddi Jagan;1950;1964;1999;LWR;Popular Figurehead;High;M562012;X
562013;Head of Government;Frederick Derecourt;1936;1964;1999;PA;Corporate Suit;High;M562013;X
562162;Head of Government;Ferdinand Smith;1936;1961;1999;ST;Ambitious Union Boss;High;GUY Ferdinand Smith;X
562163;Minister of Armament;Ferdinand Smith;1936;1961;1999;ST;Planned Economy Proponent;High;GUY Ferdinand Smith;X
562014;Head of Government;Forbes Burnham;1953;1964;1999;LWR;Political Protege;High;M562014;X
562015;Head of Government;Reginald Stubbs;1936;1964;1999;SC;Backroom Backstabber;Very High;Reginald_Stubbs;X
