HAI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
78001;Head of State;Sténio Vincent;1936;1964;1999;PA;Pig-headed Isolationist;High;M78001;x
78002;Head of Government;Sténio Vincent;1936;1964;1999;PA;Corporate Suit;High;M78001;x
78003;Foreign Minister;Albert Blanchet;1936;1964;1999;SC;Apologetic Clerk;High;M78003;x
78004;Minister of Armament;Élie Lescot;1936;1964;1999;PA;Infantry Proponent;Medium;HAI_lescot;x
78068;Minister of Security;Joseph Louis Borno;1936;1964;1999;SC;Crooked Kleptocrat;High;M78079;x
78006;Head of Military Intelligence;Sebastien de Arrondé;1936;1964;1999;SC;Political Specialist;Medium;M78006;x
78007;Chief of Staff;Élie Lescot;1936;1964;1999;PA;School of Fire Support;Medium;HAI_lescot;x
78008;Chief of Army;Élie Lescot;1936;1964;1999;PA;Static Defence Doctrine;Medium;HAI_lescot;x
78009;Chief of Navy;Alfred Auguste Nemours;1936;1964;1999;FA;Open Seas Doctrine;Medium;M78009;x
78010;Chief of Air Force;Edouard Roy;1936;1964;1999;SC;Army Aviation Doctrine;Medium;M78010;x
78032;Head of State;Élie Lescot;1937;1964;1999;PA;Resigned Generalissimo;High;HAI_lescot;x
78033;Head of State;Louis Dejoie;1946;1964;1999;SC;Die-hard Reformer;High;M78033;x
78034;Head of State;Dumarsais Estimé;1937;1964;1999;SD;Popular Figurehead;High;M78034;x
78035;Head of State;Franck Lavaud;1940;1964;1999;PA;Resigned Generalissimo;High;M78035;x
78036;Head of State;Félix Juste Constant;1937;1964;1999;LE;Insignificant Layman;High;M78021;x
78037;Head of State;Démosthenes Pétrus Calixte;1936;1964;1999;SD;Popular Figurehead;High;M78037;x
78039;Head of Government;Élie Lescot;1937;1964;1999;PA;Old General;High;HAI_lescot;x
78040;Head of Government;Louis Dejoie;1946;1964;1999;SC;Backroom Backstabber;High;M78033;x
78041;Head of Government;Albert Blanchet;1937;1964;1999;SL;Happy Amateur;High;M78003;x
78042;Head of Government;Dumarsais Estimé;1941;1964;1999;SD;Flamboyant Tough Guy;High;M78034;x
78043;Head of Government;Paul Magloire;1946;1964;1999;PA;Old General;High;M78043;x
78044;Head of Government;Félix Juste Constant;1937;1964;1999;LE;Happy Amateur;High;M78021;x
78045;Head of Government;Daniel Fignole;1946;1964;1999;LWR;Political Protege;High;M78045;x
78046;Foreign Minister;Georges Léger;1936;1964;1999;SC;The Cloak N Dagger Schemer;High;M78046;x
78047;Foreign Minister;Marcel Fombrun;1951;1964;1999;SC;Iron Fisted Brute;High;M78013;x
78048;Foreign Minister;Élie Lescot;1941;1964;1999;PA;General Staffer;Medium;HAI_lescot;x
78049;Foreign Minister;George Rigaud;1956;1964;1999;LWR;Biased Intellectual;Medium;M78049;x
78050;Foreign Minister;Albert Blanchet;1937;1964;1999;SL;Apologetic Clerk;High;M78003;x
78052;Foreign Minister;Andre Dumont;1943;1964;1999;SL;Iron Fisted Brute;Medium;M78052;x
78053;Foreign Minister;Timoléon Cesar Brutus;1946;1964;1999;SL;Ideological Crusader;Medium;M78053;x
78056;Foreign Minister;Félix Juste Constant;1937;1964;1999;LE;Biased Intellectual;High;M78021;x
78057;Foreign Minister;Clement Jumelle;1946;1964;1999;SL;Apologetic Clerk;High;M78057;x
78058;Minister of Armament;Louis-Dantes Bellegarde;1936;1964;1999;SD;Corrupt Kleptocrat;Medium;M78005;x
78059;Minister of Armament;Luc Dominique;1941;1964;1999;SC;Tank Proponent;Medium;M78014;x
78060;Minister of Armament;Jean Francois Duvalier;1945;1964;1999;SC;Administrative Genius;Low;M78015;x
78061;Minister of Armament;Louis Dejoie;1946;1964;1999;SC;laissez-faire capitalist;Low;M78033;x
78062;Minister of Armament;Max Charlmes;1937;1964;1999;SL;Strategic Air Proponent;Low;M78062;x
78063;Minister of Armament;Frederic Doret;1941;1964;1999;SL;Resource Industrialist;Low;M78063;x
78064;Minister of Armament;Armand Ouellet;1946;1964;1999;SL;Administrative Genius;Low;M78064;x
78065;Minister of Armament;Félix Juste Constant;1937;1964;1999;LE;laissez-faire capitalist;High;M78021;x
78066;Minister of Armament;Clement Jumelle;1946;1964;1999;SL;Air Superiority Proponent;High;M78057;x
78067;Minister of Armament;Michel Corvington Raymond;1941;1964;1999;LWR;Theoretical Scientist;Medium;M78024;x
78069;Minister of Security;Auguste Bonamy;1941;1964;1999;SC;Silent Lawyer;High;M78069;x
78070;Minister of Security;Élie Lescot;1941;1964;1999;PA;Man of the People;Medium;HAI_lescot;x
78072;Minister of Security;Dumarsais Estimé;1937;1964;1999;SD;Back Stabber;High;M78034;x
78005;Minister of Security;Louis-Dantes Bellegarde;1936;1964;1999;SD;Crooked Kleptocrat;Medium;M78005;x
78073;Minister of Security;Max Charlmes;1941;1964;1999;SL;Crooked Kleptocrat;Low;M78062;x
78074;Minister of Security;Jean Francois Duvalier;1946;1964;1999;SL;Efficient Sociopath;Low;M78015;x
78075;Minister of Security;Antoine Levelt;1946;1964;1999;PA;Silent Lawyer;High;M78075;x
78076;Minister of Security;Belmeau Max-Pierre;1941;1964;1999;LWR;Back Stabber;Medium;M78076;x
78077;Minister of Security;Victor Vivian;1941;1964;1999;LWR;Efficient Sociopath;Medium;M78025;x
78078;Minister of Security;Daniel Fignole;1946;1964;1999;LWR;Silent Lawyer;High;M78045;x
78079;Head of Military Intelligence;Joseph Louis Borno;1937;1964;1999;SC;Technical Specialist;High;M78079;x
78080;Head of Military Intelligence;Louis-Dantes Bellegarde;1936;1964;1999;SD;Industrial Specialist;Medium;M78005;x
78081;Head of Military Intelligence;George Rigaud;1956;1964;1999;LWR;Logistics Specialist;Medium;M78049;x
78083;Head of Military Intelligence;Andre Dumont;1941;1964;1999;SL;Naval Intelligence Specialist;Medium;M78052;x
78084;Head of Military Intelligence;Max Charlmes;1946;1964;1999;SL;Technical Specialist;Low;M78062;x
78085;Head of Military Intelligence;Antoine Levelt;1946;1964;1999;PA;Logistics Specialist;High;M78075;x
78086;Head of Military Intelligence;Rock Desroses;1937;1964;1999;LWR;Technical Specialist;Medium;M78026;x
78087;Head of Military Intelligence;Belmeau Max-Pierre;1941;1964;1999;LWR;Logistics Specialist;Medium;M78076;x
78088;Head of Military Intelligence;Démosthenes Pétrus Calixte;1936;1964;1999;SD;Political Specialist;Medium;M78037;x
78090;Chief of Staff;Sebastien de Arrondé;1939;1964;1999;SC;School of Manoeuvre;Medium;M78006;x
78091;Chief of Staff;Franck Lavaud;1940;1964;1999;PA;School of Psychology;Medium;M78035;x
78092;Chief of Staff;Antoine Levelt;1946;1964;1999;SC;School of Manoeuvre;High;M78075;x
78093;Chief of Staff;Andre Dumont;1937;1964;1999;SL;School of Manoeuvre;Medium;M78052;x
78094;Chief of Staff;Paul Magloire;1946;1964;1999;SL;School of Mass Combat;Medium;M78043;x
78098;Chief of Army;Franck Lavaud;1940;1964;1999;PA;Elastic Defence Doctrine;Medium;M78035;x
78099;Chief of Army;Antoine Levelt;1946;1964;1999;SC;Armoured Spearhead Doctrine;High;M78075;x
78100;Chief of Army;Andre Dumont;1937;1964;1999;SL;Decisive Battle Doctrine;Medium;M78052;x
78101;Chief of Army;Paul Magloire;1946;1964;1999;SL;Guns and Butter Doctrine;Medium;M78043;x
78103;Chief of Army;Ernst Severe;1937;1964;1999;LWR;Guns and Butter Doctrine;Medium;M78028;x
78104;Chief of Navy;Georges Léger;1937;1964;1999;SC;Base Control Doctrine;High;M78046;x
78106;Chief of Navy;André Sainté Frederic;1936;1964;1999;SL;Power Projection Doctrine;Medium;M78106;x
78107;Chief of Navy;Raymond Gassner;1937;1964;1999;LWR;Power Projection Doctrine;Medium;M78029;x
78109;Chief of Air Force;André Sainté Frederic;1941;1964;1999;SC;Naval Aviation Doctrine;Medium;M78106;x
78110;Chief of Air Force;Pascalé B.G. Guillaume;1937;1964;1999;SL;Vertical Envelopment Doctrine;Medium;M78020;x
