HON;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
79001;Head of State;Tiburcio Carias Andino;1936;1964;1999;PA;Popular Figurehead;High;M79001;x
79002;Head of Government;Carlos Alberto Ucles;1936;1964;1999;PA;Silent Workhorse;High;M79002;x
79003;Foreign Minister;Tiburcio Carias Andina;1936;1964;1999;PA;Iron Fisted Brute;Very High;M79001;x
79004;Minister of Armament;Roberto Michelleti Bain;1936;1964;1999;SC;laissez-faire capitalist;Medium;M79004;x
79005;Minister of Security;Carlos Alberto Ucles;1936;1964;1999;PA;Silent Lawyer;Medium;M79002;x
79006;Head of Military Intelligence;Raimundo Stochler Garcia;1936;1964;1999;PA;Logistics Specialist;Medium;M79006;x
79007;Chief of Staff;Tiburcio Carias Andina;1936;1964;1999;PA;School of Psychology;Very High;M79001;x
79008;Chief of Army;Raimundo Stochler Garcia;1936;1964;1999;PA;Static Defence Doctrine;Medium;M79006;x
79009;Chief of Navy;Carlos Vaupel Comeza;1936;1964;1999;SC;Indirect Approach Doctrine;Medium;M79009;x
79010;Chief of Air Force;Gustavo Schmidt;1936;1964;1999;SC;Air Superiority Doctrine;Medium;M79010;x
79031;Head of State;Tiburcio Carias Andina;1937;1964;1999;SC;Popular Figurehead;High;M79001;x
79032;Head of State;José Zuñiga Huete;1937;1964;1999;SL;Barking Buffoon;High;M79032;x
79033;Head of State;Juan B. Valladares;1939;1964;1999;SL;Insignificant Layman;High;M79011;x
79034;Head of State;Raul Sanchez Banados;1937;1964;1999;LWR;Autocratic Charmer;High;M79021;x
79036;Head of State;Orlando Rodriguez Jimino;1945;1964;1999;SD;Die-hard Reformer;High;M79036;x
79037;Head of Government;Carlos Alberto Ucles;1937;1964;1999;SC;Silent Workhorse;High;M79002;x
79038;Head of Government;Tiburcio Carias Andina;1941;1964;1999;SC;Old General;High;M79001;x
79039;Head of Government;Abraham Williams Calderon;1943;1964;1999;SC;Political Protege;High;M79039;x
79040;Head of Government;Juan Manuel Galvez;1945;1964;1999;SC;Old General;High;M79017;x
79041;Head of Government;Juan B. Valladares;1937;1964;1999;SL;Smiling Oilman;High;M79011;x
79042;Head of Government;Julio Lozano Díaz;1945;1964;1999;SL;Ambitious Union Boss;High;M79042;x
79043;Head of Government;Hernan Fernandez Silva;1937;1964;1999;LWR;Silent Workhorse;High;M79043;x
79044;Head of Government;Juan Codigo Ramirez;1941;1964;1999;LWR;Happy Amateur;High;M79022;x
79045;Head of Government;Francisco S. Tapio Toro;1945;1964;1999;SD;Flamboyant Tough Guy;High;M79045;x
79046;Foreign Minister;Laureano Laínez Espinoza;1937;1964;1999;SC;Great Compromiser;High;M79046;x
79047;Foreign Minister;Julio Lozano Díaz;1937;1964;1999;SC;Ideological Crusader;High;M79042;x
79048;Foreign Minister;Salvador Aguirre;1938;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M79048;x
79049;Foreign Minister;Silverio Laínez Villamin;1944;1964;1999;SC;Apologetic Clerk;Medium;M79049;x
79050;Foreign Minister;Juan Manuel Galvez;1946;1964;1999;SC;General Staffer;Medium;M79017;x
79051;Foreign Minister;Salvador Aguirre Osana;1937;1964;1999;SL;The Cloak N Dagger Schemer;High;M79051;x
79052;Foreign Minister;Roberto Michelleti Bain;1945;1964;1999;SL;Great Compromiser;Medium;M79004;x
