IDC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
543001;Head of State;H.M. Bao Dai;1936;1964;1999;SL;Weary Stiffneck;High;M542001;x
543002;Head of Government;Ngo Dinh Diem;1936;1964;1999;SL;Political Protege;High;M542018;x
543003;Foreign Minister;Tong Doc Phuong;1936;1964;1999;SL;Apologetic Clerk;High;M542003;x
543004;Minister of Armament;Nguyen Van Tam;1936;1964;1999;SL;Resource Industrialist;Medium;M542004;x
543005;Minister of Security;Ho Dac Trung;1936;1964;1999;SL;Man of the People;Medium;M542005;x
543006;Head of Military Intelligence;Tran Gia Thoai;1936;1964;1999;SL;Naval Intelligence Specialist;Medium;M542032;x
543007;Chief of Staff;Le Quan;1936;1964;1999;SL;School of Fire Support;Medium;M542042;x
543008;Chief of Army;Duong Van Minh;1936;1964;1999;SL;Armoured Spearhead Doctrine;Medium;M542046;x
543009;Chief of Navy;Nguyen Van Thinh;1936;1964;1999;SL;Indirect Approach Doctrine;Medium;M542025;x
543010;Chief of Air Force;Nguyen Van Xuan;1936;1964;1999;SL;Carpet Bombing Doctrine;High;M542023;x
543011;Head of State;Pol Pot;1936;1964;1999;ST;Powerhungry Demagogue;High;M541014;x
543012;Head of State;Ho Chi Minh;1936;1964;1999;LE;Ruthless Powermonger;High;M542012;x
543013;Head of State;H.R.H. Souphanou Vong;1936;1964;1999;LWR;Die-hard Reformer;High;M540012;x
543014;Head of State;H.M. Sisowath Monivong;1936;1964;1999;SD;Benevolent Gentleman;High;M541001;x
543015;Head of State;Norodom Suramarit;1936;1964;1999;ML;Barking Buffoon;High;M541012;x
543016;Head of State;H.M. Sasiavong Vong;1936;1964;1999;SC;Pig-headed Isolationist;High;M540001;x
543017;Head of State;Sisowath Monipong;1936;1964;1999;PA;Popular Figurehead;High;M541003;x
543018;Head of State;H.R.H. Khai Dinh;1936;1964;1999;FA;Stern Imperialist;High;M542011;x
543019;Head of State;H.R.H. Savang Vatana;1936;1964;1999;NS;Autocratic Charmer;High;M540011;x
543020;Head of Government;Khieu Samphan;1936;1964;1999;ST;Smiling Oilman;High;M541022;x
543021;Head of Government;Truong Tchin;1936;1964;1999;LE;Backroom Backstabber;High;M542019;x
543022;Head of Government;Khambulatom Oomau;1936;1964;1999;LWR;Happy Amateur;High;M540019;x
543023;Head of Government;H.R.H. Norodom Sihanouk;1936;1964;1999;SD;Old Admiral;High;M541011;x
543024;Head of Government;Son Sann;1936;1964;1999;ML;Silent Workhorse;High;M541020;x
543025;Head of Government;H.R.H. Phaya Khammao;1936;1964;1999;SC;Corporate Suit;High;M540003;x
543026;Head of Government;Sisowath Sirik Matak;1936;1964;1999;PA;Naive Optimist;High;M541021;x
543027;Head of Government;Ngo Dinh Diem;1936;1964;1999;FA;Flamboyant Tough Guy;High;M542018;x
543028;Head of Government;Phetsarath Mahaouphatat;1936;1964;1999;NS;Old General;High;M540008;x
543029;Foreign Minister;Leng Sary;1936;1964;1999;ST;The Cloak N Dagger Schemer;High;M541027;x
543030;Foreign Minister;Pham Van Dong;1936;1964;1999;LE;Ideological Crusader;High;M542024;x
543031;Foreign Minister;Phomvihanh Kaysone;1936;1964;1999;LWR;Iron Fisted Brute;High;M540020;x
543032;Foreign Minister;Sisowath Monipong;1936;1964;1999;SD;Great Compromiser;High;M541003;x
543033;Foreign Minister;Phan Sina;1936;1964;1999;ML;Biased Intellectual;High;M541025;x
543034;Foreign Minister;Sasorith Kataydon;1936;1964;1999;SC;The Cloak N Dagger Schemer;High;M540021;x
543035;Foreign Minister;Krisan Cheda;1936;1964;1999;PA;General Staffer;High;M541026;x
543036;Foreign Minister;Nguyen Van Xuan;1936;1964;1999;FA;Ideological Crusader;High;M542023;x
543037;Foreign Minister;H.R.H. Boun Oum;1936;1964;1999;NS;Iron Fisted Brute;High;M540010;x
543038;Minister of Armament;Nuon Chea;1936;1964;1999;ST;Corrupt Kleptocrat;Medium;M541033;x
543039;Minister of Armament;Le Duan;1936;1964;1999;LE;Military Entrepreneur;Medium;M542030;x
543040;Minister of Armament;H.R.H. Boun Oum;1936;1964;1999;LWR;Infantry Proponent;High;M540010;x
543041;Minister of Armament;Sisowath Monireth;1936;1964;1999;SD;Tank Proponent;Medium;M541004;x
543042;Minister of Armament;Sam An;1936;1964;1999;ML;Battle Fleet Proponent;Medium;M541031;x
543043;Minister of Armament;H.R.H. Souvanna Rath;1936;1964;1999;SC;laissez-faire capitalist;High;M540009;x
543044;Minister of Armament;Norodom Phanouvong;1936;1964;1999;PA;Submarine Proponent;Medium;M541032;x
