INO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
577001;Head of State;H.K.H. Wilhelmina;1936;1964;1999;SC;Popular Figurehead;Very High;M8001;x
577002;Head of Government;Tjarda van Starkenborgh-Stachouwer;1936;1964;1999;SC;Flamboyant Tough Guy;Very High;M577002;x
577003;Foreign Minister;Hubertus Van Mook;1936;1964;1999;SC;Biased Intellectual;High;M577003;x
577004;Minister of Armament;Muhammad III;1936;1964;1999;SC;Air Superiority Proponent;Medium;M577004;x
577005;Minister of Security;Fedde Schurer;1936;1964;1999;SC;Crime Fighter;High;M8113;x
577006;Head of Military Intelligence;Raymond Westerling;1936;1964;1999;SC;Naval Intelligence Specialist;Medium;M577006;x
577007;Chief of Staff;Murk Boerstra;1936;1964;1999;SC;School of Manoeuvre;Very High;L7802;x
577008;Chief of Army;Gerardus Berenschot;1936;1964;1999;SC;Static Defence Doctrine;Very High;L7801;x
577009;Chief of Navy;Conrad Helfrich;1936;1964;1999;SC;Base Control Doctrine;Very High;L7839;x
577010;Chief of Air Force;Ludolph van Oyen;1936;1964;1999;SC;Army Aviation Doctrine;Very High;L7859;x
577011;Head of State;Sukarno;1936;1964;1999;PA;Weary Stiffneck;Very High;M577011;x
577012;Head of State;Ferdinand Lumban Tobing;1936;1964;1999;SD;Autocratic Charmer;Very High;M577012;x
577013;Head of State;Munawar Muso;1936;1964;1999;LE;Powerhungry Demagogue;Very High;M577013;x
577014;Head of Government;Muhammad Hatta;1936;1964;1999;PA;Political Protege;Very High;M577014;x
577015;Head of Government;Muhammad Thamrin;1936;1964;1999;SD;Smiling Oilman;Very High;M577015;x
577016;Head of Government;Amir Sjarifuddin;1936;1964;1999;LE;Naive Optimist;Medium;M577016;x
577017;Foreign Minister;Ahmad Subandrio;1936;1964;1999;PA;Ideological Crusader;Medium;M577017;x
577018;Foreign Minister;Hamengkubowono IX;1943;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M577018;x
