IRQ;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
91002;Head of Government;Yasin Pasha al Hashimi;1936;1964;1999;SC;Naive Optimist;High;M91002;x
91003;Foreign Minister;Nuri as Said;1936;1964;1999;SC;General Staffer;Medium;M91003;x
91005;Minister of Security;Ali Abn Hussein;1936;1964;1999;SC;Back Stabber;Medium;M91005;x
91006;Head of Military Intelligence;Yasin Pasha al Hashimi;1936;1964;1999;SC;Naval Intelligence Specialist;High;M91002;x
91007;Chief of Staff;Bakr Sidqi;1936;1964;1999;SC;School of Defence;Low;M91007;x
91010;Chief of Air Force;Ali ben Jawad;1936;1964;1999;SC;Air Superiority Doctrine;Medium;M91010;x
91035;Head of State;Amir al Illah;1939;1964;1999;LWR;Stern Imperialist;High;M91035;x
91036;Head of State;Amir al Illah;1939;1964;1999;SC;Stern Imperialist;High;M91035;x
91037;Head of State;Amir al Illah;1939;1964;1999;PA;Stern Imperialist;High;M91035;x
91038;Head of State;Amir al Illah;1939;1964;1999;FA;Stern Imperialist;High;M91035;x
91043;Head of Government;Moussa al Alami;1936;1964;1999;SC;Silent Workhorse;High;M91043;x
91044;Head of Government;Taha Pasha al Hashimi;1941;1964;1999;PA;Happy Amateur;High;M91044;x
91045;Head of Government;Ragheb Nashashibi;1946;1964;1999;SC;Flamboyant Tough Guy;High;M91045;x
91046;Head of Government;Azam Pasha;1936;1964;1999;PA;Old General;High;M91046;x
91047;Head of Government;Jamil al Midfai;1937;1964;1999;PA;Smiling Oilman;High;M91047;x
91048;Head of Government;Nuri as Said;1938;1964;1999;PA;Old General;High;M91003;x
91049;Head of Government;Hamdi al Pachachi;1944;1964;1999;PA;Silent Workhorse;High;M91049;x
91050;Head of Government;Salih Jabr;1947;1964;1999;PA;Political Protege;High;M91050;x
91051;Head of Government;Fawsi al Kaukji;1936;1964;1999;FA;Flamboyant Tough Guy;High;M91014;x
91052;Head of Government;Rashid Ali al Gaylani;1940;1964;1999;FA;Smiling Oilman;High;M91011;x
91053;Head of Government;Haj Amini al Husseini;1941;1964;1999;FA;Backroom Backstabber;High;M91013;x
91054;Head of Government;Hikmet Suleyman;1936;1964;1999;LWR;Naive Optimist;High;M91054;x
91055;Head of Government;Yahya Hamudeh;1940;1964;1999;LWR;Backroom Backstabber;High;M91021;x
91056;Head of Government;Tawfiq al Suweidi;1946;1964;1999;LWR;Ambitious Union Boss;High;M91056;x
91057;Head of Government;Arshad al Umari;1946;1964;1999;LWR;Happy Amateur;High;M91027;x
91058;Foreign Minister;Ragheb Nashashibi;1936;1964;1999;SC;Biased Intellectual;Medium;M91045;x
91059;Foreign Minister;Taha Pasha al Hashimi;1940;1964;1999;PA;Ideological Crusader;High;M91044;x
