ITA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
3005;Minister of Security;Guido Buffarini-Guidi;1936;1964;1999;FA;Man of the People;Very High;M3005;x
3006;Head of Military Intelligence;Cesare Amé;1936;1964;1999;PA;Industrial Specialist;Very High;M3006;x
3007;Chief of Staff;Francesco Grazioli;1936;1964;1999;FA;School of Mass Combat;Medium;M3007;x
3008;Chief of Army;Alberto Pariani;1936;1964;1999;PA;Guns and Butter Doctrine;Medium;M3008;x
3010;Chief of Air Force;Giuseppe Valle;1936;1964;1999;FA;Army Aviation Doctrine;Medium;M3010;x
3046;Head of Government;Conte Stefano Jacini;1936;1964;1999;SC;Happy Amateur;High;M3046;x
3053;Foreign Minister;Giuseppe Bastianini;1945;1964;1999;PA;Iron Fisted Brute;High;M3053;x
3054;Foreign Minister;Pietro, Duca d'Acquarone;1936;1964;1999;PA;The Cloak N Dagger Schemer;High;M3054;x
3065;Minister of Armament;Alberto Pariani;1936;1964;1999;FA;Air Superiority Proponent;High;M3008;x
3067;Minister of Armament;Alfredo Guzzoni;1940;1964;1999;FA;Submarine Proponent;Low;M3067;x
3098;Minister of Security;Conte Stefano Jacini;1936;1964;1999;SC;Silent Lawyer;High;M3046;x
3108;Head of Military Intelligence;Enzo Galbiati;1936;1964;1999;FA;Political Specialist;Very High;M3108;x
3124;Chief of Staff;Ugo Cavallero;1939;1964;1999;NS;School of Manoeuvre;High;M3124;x
3128;Chief of Staff;Vittorio Ambrosio;1940;1964;1999;PA;School of Psychology;Low;M3128;x
3140;Chief of Army;Mario Roatta;1941;1964;1999;FA;Armoured Spearhead Doctrine;High;M3140;x
3141;Chief of Army;Junio Borghese;1943;1964;1999;NS;Decisive Battle Doctrine;High;M3044;x
3143;Chief of Army;Vittorio Ambrosio;1936;1964;1999;PA;Static Defence Doctrine;Low;M3128;x
3150;Chief of Navy;Paolo Thaon di Revel;1943;1964;1999;NS;Open Seas Doctrine;Medium;M3035;x
3161;Chief of Air Force;Rino Corso Fougier;1936;1964;1999;FA;Air Superiority Doctrine;Low;M3161;x
