JOR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
556001;Head of State;Tawfiq Abul-Huda;1936;1964;1999;SC;Benevolent Gentleman;High;M556002;x
556002;Head of Government;Tawfiq Abul-Huda;1936;1964;1999;SC;Naive Optimist;High;M556002;x
556003;Foreign Minister;Samir al-Rifai;1936;1964;1999;SC;Apologetic Clerk;High;M556003;x
556004;Minister of Armament;Omar Pasha Mattar;1936;1964;1999;SC;laissez-faire capitalist;Medium;M556004;x
556013;Head of Government;Ismael Bey Gaspirali;1936;1964;1999;SD;Silent Workhorse;High;M556013;x
556014;Head of Government;Sherif Husayn á Hijaz;1936;1964;1999;PA;Smiling Oilman;High;M556014;x
556015;Foreign Minister;Said al-Mufti;1936;1964;1999;SD;Great Compromiser;High;M556015;x
556016;Foreign Minister;Ibrahim Pasha Hasheem;1936;1964;1999;PA;Biased Intellectual;High;M556016;x
556017;Minister of Armament;Ahmad Qadri;1936;1964;1999;SD;Military Entrepreneur;Medium;M556017;x
556018;Minister of Armament;Suleiman al-Nabulshi;1936;1964;1999;PA;Infantry Proponent;Medium;M556018;x
556020;Minister of Security;Awni Abdul Hadi;1945;1964;1999;SC;Silent Lawyer;Medium;M556020;x
556022;Minister of Security;Mohammed al-Shureiki;1942;1964;1999;SD;Compassionate Gentleman;Medium;M556022;x
556023;Minister of Security;Shaker ben Zaid;1936;1964;1999;PA;Crime Fighter;Medium;M556023;x
556025;Head of Military Intelligence;Rustum Haidar;1936;1964;1999;SD;Political Specialist;Medium;M556025;x
556026;Head of Military Intelligence;Shadi al-Hakim;1936;1964;1999;PA;Industrial Specialist;Medium;M556026;x
556028;Chief of Staff;Haddad al-Wali;1936;1964;1999;SD;School of Mass Combat;Medium;M556028;x
556029;Chief of Staff;Yoshua Abdel Ahti;1936;1964;1999;PA;School of Defence;Medium;M556029;x
556031;Chief of Army;Nair al-Jafaar;1936;1964;1999;SD;Guns and Butter Doctrine;Medium;M556031;x
556032;Chief of Army;Abdullah Mecit Pasha;1936;1964;1999;PA;Static Defence Doctrine;Medium;M556032;x
556033;Chief of Navy;Gadi abd-el Jabbar;1936;1964;1999;SD;Power Projection Doctrine;Medium;M556033;x
556034;Chief of Navy;Hibah abd-el Adir;1936;1964;1999;PA;Indirect Approach Doctrine;Medium;M556034;x
556035;Chief of Air Force;Sami al-Afiz;1936;1964;1999;SD;Vertical Envelopment Doctrine;Medium;M556035;x
556036;Chief of Air Force;Esmael al-Khaliq;1936;1964;1999;PA;Carpet Bombing Doctrine;Medium;M556036;x
556038;Head of Government;Ibrahim Hashim;1936;1964;1999;SC;Happy Amateur;High;M556038;x
556039;Head of Government;Samir al-Rifai;1944;1964;1999;SC;Silent Workhorse;High;M556003;x
556040;Head of Government;Said al-Mufti;1950;1964;1999;SC;Political Protege;High;M556015;x
556041;Head of Government;Fawzi al-Mulqi;1953;1964;1999;SC;Smiling Oilman;High;M556041;x
