LIT;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
28001;Head of State;J.K.D. Mindaugaas III;1936;1964;1999;FA;german aristocrat;High;kaiserreich mindaugasiii;x
28002;Head of Government;Juozas Tubelis;1936;1964;1999;FA;Political Protege;High;M28002;x
28003;Foreign Minister;Stasys Lozoraitis;1936;1964;1999;FA;Ideological Crusader;Medium;M28003;x
28004;Minister of Armament;Valdemaras Vytautas-Carneckis;1936;1964;1999;FA;Military Entrepreneur;Medium;M28004;x
28005;Minister of Security;Antanas Smetona;1936;1964;1999;FA;Compassionate Gentleman;Medium;M28001;x
28006;Head of Military Intelligence;Dovas Zaunius;1936;1964;1999;FA;Political Specialist;Medium;M28006;x
28007;Chief of Staff;Jonas Galvydis-Bykauskas;1936;1964;1999;FA;School of Defence;Medium;M28007;x
28008;Chief of Army;Stasys Rastikis;1936;1964;1999;FA;Elastic Defence Doctrine;Medium;M28008;x
28009;Chief of Navy;Garnis Dirmantas;1936;1964;1999;FA;Open Seas Doctrine;Medium;M28009;x
28010;Chief of Air Force;Antanas Gustaitis;1936;1964;1999;FA;Army Aviation Doctrine;Medium;M28010;x
28031;Head of State;Augustinas Voldemaras;1936;1964;1999;NS;Powerhungry Demagogue;High;M28031;x
28032;Head of State;Kazys Skirpa;1940;1964;1999;NS;Insignificant Layman;High;M28032;x
28033;Head of State;Theodor von Renteln;1941;1964;1999;NS;Resigned Generalissimo;High;M28033;x
28035;Head of State;Antanas Smetona;1940;1964;1999;PA;Benevolent Gentleman;High;M28001;x
28036;Head of State;Jonas Zemaitis;1945;1964;1999;PA;Autocratic Charmer;High;M28036;x
28037;Head of State;Jupozas Maciusnas;1936;1964;1999;SC;Benevolent Gentleman;High;M28011;x
28038;Head of State;Juozas Ambrazevicius;1941;1964;1999;SC;Insignificant Layman;High;M28020;x
28039;Head of State;Anatolijus Kairys;1945;1964;1999;SC;Die-hard Reformer;High;M28019;x
28040;Head of State;Justas Paleckis;1938;1964;1999;ST;Insignificant Layman;High;M28021;x
28041;Head of State;Antanas Snieckus;1945;1964;1999;ST;Die-hard Reformer;High;M28041;x
28042;Head of Government;Pranciskus Misiunas;1938;1964;1999;NS;Happy Amateur;High;M28042;x
28043;Head of Government;Petras Kubiliunas;1940;1964;1999;NS;Silent Workhorse;High;M28043;x
28044;Head of Government;Vladas Mironas;1938;1964;1999;FA;Naive Optimist;High;M28044;x
28045;Head of Government;Jonas Cernius;1939;1964;1999;FA;Ambitious Union Boss;High;M28014;x
28046;Head of Government;Antanas Merkys;1939;1964;1999;FA;Smiling Oilman;High;M28035;x
28047;Head of Government;Dovas Zaunius;1940;1964;1999;PA;Happy Amateur;High;M28006;x
28048;Head of Government;Kazimiera Zilenskiene;1945;1964;1999;PA;Flamboyant Tough Guy;High;M28048;x
28049;Head of Government;J.K.D. Mindaugas III;1938;1964;1999;FA;Backroom Backstabber;High;kaiserreich mindaugasiii;x
28050;Head of Government;Juozas Ambrazevicius;1936;1964;1999;SC;Corporate Suit;High;M28020;x
28051;Head of Government;Stasys Lozoraitis;1945;1964;1999;SC;Happy Amateur;High;M28003;x
28052;Head of Government;Justas Paleckis;1936;1964;1999;SD;Smiling Oilman;High;M28021;x
28053;Head of Government;Vincas Kreve-Mickevicius;1940;1964;1999;ST;Political Protege;High;M28053;x
28054;Head of Government;Antanas Snieckus;1945;1964;1999;ST;Old Admiral;High;M28041;x
28055;Foreign Minister;Petras Domarkas;1938;1964;1999;NS;Biased Intellectual;Medium;M28055;x
28056;Foreign Minister;Azuolas Kuschat;1940;1964;1999;NS;Apologetic Clerk;Medium;M28056;x
28057;Foreign Minister;Petras Kubiliunas;1941;1964;1999;NS;Ideological Crusader;Medium;M28043;x
28058;Foreign Minister;Juozas Urbsys;1938;1964;1999;FA;Ideological Crusader;Medium;M28058;x
28059;Foreign Minister;Ernestas Galvanauskas;1940;1964;1999;PA;Apologetic Clerk;Medium;M28059;x
28060;Foreign Minister;Antanas Merkys;1941;1964;1999;PA;Ideological Crusader;Medium;M28035;x
28061;Foreign Minister;Karolis Vinewicius;1945;1964;1999;PA;Iron Fisted Brute;Medium;M28061;x
28062;Foreign Minister;Giedrius Grigas;1938;1964;1999;SC;Biased Intellectual;Medium;M28062;x
28063;Foreign Minister;Jonas Vailokaitis;1940;1964;1999;SC;Great Compromiser;Medium;M28063;x
28064;Foreign Minister;Stasys Lozoraitis;1945;1964;1999;SC;Apologetic Clerk;Medium;M28003;x
28065;Foreign Minister;Justas Paleckis;1938;1964;1999;ST;Ideological Crusader;Medium;M28021;x
28066;Foreign Minister;Vincas Kreve-Mickevicius;1940;1964;1999;ST;Biased Intellectual;Medium;M28053;x
28067;Foreign Minister;Karolis Didziulis-Grosmanas;1941;1964;1999;ST;The Cloak N Dagger Schemer;Medium;M28067;x
28068;Foreign Minister;Mecislovas Gedvilas;1945;1964;1999;ST;Apologetic Clerk;Medium;M28024;x
28069;Minister of Armament;Augustinas Voldemaras;1938;1964;1999;NS;Resource Industrialist;Medium;M28031;x
28070;Minister of Armament;Vincentas Latozaitis;1940;1964;1999;NS;Strategic Air Proponent;Medium;M28070;x
28071;Minister of Armament;Petras Plechavicius;1941;1964;1999;NS;Military Entrepreneur;Medium;M28071;x
28072;Minister of Armament;Vladas Jurgutis;1936;1964;1999;FA;Resource Industrialist;Medium;M28072;x
28073;Minister of Armament;Antanas Smetona;1939;1964;1999;FA;Air to Ground Proponent;Medium;M28001;x
28074;Minister of Armament;Jonas Cernius;1940;1964;1999;PA;Battle Fleet Proponent;Medium;M28014;x
28075;Minister of Armament;Aras Abrutis;1945;1964;1999;PA;Administrative Genius;Medium;M28075;x
28076;Minister of Armament;Juozas Purickis;1936;1964;1999;SC;Administrative Genius;Medium;M28076;x
28077;Minister of Armament;Leonas Bistras;1941;1964;1999;SC;laissez-faire capitalist;Medium;M28077;x
28078;Minister of Armament;Gintare Klumbyte;1945;1964;1999;SC;Corrupt Kleptocrat;Medium;M28078;x
28079;Minister of Armament;Vytautas Martinaitis;1938;1964;1999;ST;Submarine Proponent;Medium;M28079;x
28080;Minister of Armament;Mecislovas Gedvilas;1940;1964;1999;ST;Theoretical Scientist;Medium;M28024;x
28081;Minister of Armament;Icikas Meskupas-Adomas;1941;1964;1999;ST;Corrupt Kleptocrat;Medium;M28081;x
28082;Minister of Armament;Antanas Sanirka;1945;1964;1999;ST;Air to Sea Proponent;Medium;M28082;x
28083;Minister of Security;Kazys Skirpa;1938;1964;1999;NS;Prince of Terror;Medium;M28032;x
28084;Minister of Security;Wilhelm Kube;1941;1964;1999;NS;Man of the People;Medium;M28084;x
28085;Minister of Security;Mykolas Slezevicius;1938;1964;1999;FA;Prince of Terror;Medium;M28085;x
28086;Minister of Security;Vladas Mironas;1939;1964;1999;FA;Efficient Sociopath;High;M28044;x
28087;Minister of Security;Valdemaras Vytautas-Carneckis;1939;1964;1999;FA;Crime Fighter;Medium;M28004;x
28088;Minister of Security;Jurgis Vintelaichus;1940;1964;1999;PA;Crooked Kleptocrat;Medium;M28088;x
28089;Minister of Security;Jonas Endrasius;1941;1964;1999;PA;Back Stabber;Medium;M28089;x
28090;Minister of Security;Mecislovas Reinys;1945;1964;1999;PA;Efficient Sociopath;Medium;M28090;x
28091;Minister of Security;Pranas Dovydaitis;1936;1964;1999;SC;Silent Lawyer;Medium;M28091;x
28092;Minister of Security;Linas Brodovskis;1940;1964;1999;SC;Efficient Sociopath;Medium;M28015;x
28093;Minister of Security;Mykolas Filipavicius;1945;1964;1999;SC;Compassionate Gentleman;Medium;M28093;x
28094;Minister of Security;Domas Rocius;1938;1964;1999;ST;Efficient Sociopath;Medium;M28094;x
28095;Minister of Security;Povilas Pakarklis;1940;1964;1999;ST;Silent Lawyer;Medium;M28025;x
28096;Minister of Security;Antanas Snieckus;1941;1964;1999;ST;Crime Fighter;Medium;M28041;x
28097;Minister of Security;Juozas Kupcinkas;1945;1964;1999;ST;Compassionate Gentleman;Medium;M28097;x
28098;Minister of Security;Jurgis Terleckas;1946;1964;1999;ST;Prince of Terror;Medium;M28098;x
28099;Head of Military Intelligence;Pranciskis Misiunas;1938;1964;1999;NS;Logistics Specialist;Medium;M28042;x
28100;Head of Military Intelligence;Theodor von Renteln;1941;1964;1999;NS;Dismal Enigma;High;M28033;x
28101;Head of Military Intelligence;Juozas Tubelis;1936;1964;1999;FA;Logistics Specialist;Medium;M28002;x
28102;Head of Military Intelligence;Juozas Baltakis;1936;1964;1999;FA;Political Specialist;Medium;M28102;x
28103;Head of Military Intelligence;Franciskus Ivinskis;1940;1964;1999;PA;Logistics Specialist;High;M28103;x
28104;Head of Military Intelligence;Kazimiera Zilenskiene;1941;1964;1999;PA;Industrial Specialist;High;M28048;x
28105;Head of Military Intelligence;Juozas Alsauskas;1945;1964;1999;PA;Naval Intelligence Specialist;High;M28105;x
28106;Head of Military Intelligence;Juozas Maciunas;1936;1964;1999;SC;Political Specialist;Medium;M28011;x
28107;Head of Military Intelligence;Jurgis Saulys;1941;1964;1999;SC;Technical Specialist;Medium;M28107;x
28108;Head of Military Intelligence;Antanas Ceponis;1945;1964;1999;SC;Dismal Enigma;Medium;M28108;x
28109;Head of Military Intelligence;Vincentas Leskys;1938;1964;1999;ST;Industrial Specialist;Medium;M28109;x
28110;Head of Military Intelligence;Vytautas Ambrazas;1940;1964;1999;ST;Political Specialist;Medium;M28110;x
28111;Head of Military Intelligence;Chaimas Aizenas;1941;1964;1999;ST;Dismal Enigma;Medium;M28111;x
28112;Head of Military Intelligence;Pranas Zibertas;1945;1964;1999;ST;Technical Specialist;Medium;M28026;x
28113;Chief of Staff;Petras Kubiliunas;1938;1964;1999;NS;School of Mass Combat;Medium;M28043;x
28114;Chief of Staff;Jonas Cernius;1936;1964;1999;FA;School of Manoeuvre;High;M28014;x
28115;Chief of Staff;Stasys Rastikis;1938;1964;1999;FA;School of Fire Support;Medium;M28008;x
28117;Chief of Staff;Jonas Zemaitis;1945;1964;1999;PA;School of Psychology;High;M28036;x
28118;Chief of Staff;Juoza Barzda-Bradauskas;1938;1964;1999;SC;School of Psychology;Medium;M28017;x
28119;Chief of Staff;Azuolas Jakus;1945;1964;1999;SC;School of Mass Combat;Medium;M28119;x
28120;Chief of Staff;Antanas Snieckus;1938;1964;1999;ST;School of Fire Support;Medium;M28027;x
28121;Chief of Staff;Aleksandras Guzevicius;1941;1964;1999;ST;School of Defence;Medium;M28030;x
28122;Chief of Army;Albinas Cepas-Cepauskas;1938;1964;1999;NS;Armoured Spearhead Doctrine;Medium;M28122;x
28123;Chief of Army;Petras Plechavicius;1941;1964;1999;NS;Elastic Defence Doctrine;Medium;M28071;x
28124;Chief of Army;Jonas Galvydis-Bykauskas;1938;1964;1999;FA;Static Defence Doctrine;Medium;M28007;x
28126;Chief of Army;Gedrivius Palionis;1945;1964;1999;PA;Decisive Battle Doctrine;Medium;M28126;x
28127;Chief of Army;Kazys Musteikis;1938;1964;1999;SC;Guns and Butter Doctrine;Medium;M28125;x
28128;Chief of Army;Anatolijus Kairys;1940;1964;1999;SC;Static Defence Doctrine;High;M28019;x
28129;Chief of Army;Adolfas Ramanasukas-Vanagas;1945;1964;1999;SC;Elastic Defence Doctrine;Medium;M28018;x
28130;Chief of Army;Antanas Snieckus;1938;1964;1999;ST;Armoured Spearhead Doctrine;Medium;M28027;x
28131;Chief of Army;Jurgis Terleckas;1941;1964;1999;ST;Guns and Butter Doctrine;Medium;M28098;x
28132;Chief of Navy;Azuolas Kuschat;1938;1964;1999;NS;Power Projection Doctrine;Medium;M28056;x
28135;Chief of Navy;Jurgis Saulys;1938;1964;1999;SC;Indirect Approach Doctrine;Medium;M28107;x
28136;Chief of Navy;Anatolijus Kairys;1941;1964;1999;SC;Base Control Doctrine;Medium;M28019;x
28137;Chief of Navy;Vladas Karvelis;1938;1964;1999;ST;Indirect Approach Doctrine;Medium;M28029;x
28138;Chief of Navy;Mecislovas Gedvilas;1941;1964;1999;ST;Base Control Doctrine;Medium;M28024;x
28139;Chief of Air Force;Kazys Skirpa;1938;1964;1999;NS;Army Aviation Doctrine;Medium;M28032;x
28142;Chief of Air Force;Juozas Ambrazevicius;1938;1964;1999;SC;Carpet Bombing Doctrine;Medium;M28020;x
28143;Chief of Air Force;Mykolas Filipavicius;1945;1964;1999;SC;Air Superiority Doctrine;Medium;M28093;x
28144;Chief of Air Force;Aleksandras Guzevicius;1938;1964;1999;ST;Vertical Envelopment Doctrine;Medium;M28030;x
28145;Chief of Air Force;Juozas Baukarskas;1945;1964;1999;ST;Army Aviation Doctrine;Medium;M28145;x
28146;Head of State;Oskaras Milasius;1936;1964;1999;SC;Die-hard Reformer;High;kaiserreich oscarmilosz;x
28147;Head of Government;Oskaras Milasius;1936;1964;1999;SC;Silent Workhorse;High;kaiserreich oscarmilosz;x
28148;Foreign Minister;Oskaras Milasius;1936;1964;1999;SC;Biased Intellectual;Medium;kaiserreich oscarmilosz;x
28149;Head of State;The Tsar Of All Russians;1936;1964;1999;SC;Popular Figurehead;High;Mrus Tsar;x
28150;Head of State;The Tsar Of All Russians;1936;1964;1999;PA;Popular Figurehead;High;Mrus Tsar;x
28151;Head of State;Under Russian protectorate;1936;1964;1999;PA;Weary Stiffneck;High;rusprotectorate;x
28152;Head of State;Under Russian protectorate;1936;1964;1999;SC;Weary Stiffneck;High;rusprotectorate;x
28153;Head of State;Vincas Mickevecius;1936;1964;1999;PA;Weary Stiffneck;High;LitMickevicius;x
28154;Head of Government;Vincas Mickevecius;1936;1964;1999;PA;backroom backstabber;Very High;LitMickevicius;x
28155;Head of Government;Vincas Mickevecius;1936;1964;1999;SC;backroom backstabber;Very High;LitMickevicius;x
28156;Foreign Minister;Kazys Bizauskas;1936;1964;1999;SC;Biased Intellectual;Very High;kai_litkaszbz;x
28157;Head of Government;Mykolas Birziska;1936;1964;1999;ML;backroom backstabber;Very High;kai_litmklsbrz;x
28158;Minister of Armament;Vytautas Petrulis;1936;1964;1999;PA;laissez-faire capitalist;Very High;kai_litvtspr;x
28159;Foreign Minister;Vladas Pozela;1936;1964;1999;SD;Ideological Crusader;Very High;kai_litvldspzl;x
28160;Minister of Armament;Jeronimas Pleckaitis;1936;1964;1999;SD;Resource Industrialist;Very High;kai_litjrnmplct;x
28161;Minister of Security;Juozas Paplauskas;1936;1964;1999;SD;Man of the People;Very High;kai_litjzspp;x
28162;Head of Military Intelligence;Vladas Sirutavicius;1936;1964;1999;SD;Industrial Specialist;Very High;kai_litvldssr;x
28163;Head of State;J.K.D. Mindaugaas III;1936;1964;1999;SC;german aristocrat;High;kaiserreich mindaugasiii;x
28164;Head of Government;Jonas Pakalka;1939;1964;1999;SD;Political Protege;Very High;kai_litjnspklk;x
28165;Minister of Armament;Jackus Sondeckis;1939;1964;1999;SD;laissez-faire capitalist;Very High;kai_litjcksson;x
28166;Foreign Minister;Kipras Bielinis;1936;1964;1999;SD;Biased Intellectual;Very High;kai_litkprsbilns;x
