MAN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
58001;Head of State;Zhang Zuolin;1924;1964;1999;FA;Stern Imperialist;Very High;Zhang Zuolin;x
58002;Head of Government;Yan Xishan;1924;1964;1999;FA;Old General;High;L50348;x
58003;Foreign Minister;Liu Han;1936;1964;1999;PA;The Cloak N Dagger Schemer;Medium;Kaiserreich Liu Han;x
58004;Minister of Armament;Chang Ching-hui;1936;1964;1999;FA;Military Entrepreneur;High;M58002;x
58005;Minister of Security;Feng Yuxiang;1936;1964;1999;FA;Back Stabber;Medium;kaiserreich Feng Yuhsiang;x
58006;Head of Military Intelligence;Daisaku Koumoto;1936;1964;1999;FA;Political Specialist;Low;Kaiserreich Daisaku Koumoto;x
58007;Chief of Staff;Wu Junsheng;1936;1964;1999;FA;School of Mass Combat;High;Kaiserreich Wu Junsheng;x
58008;Chief of Army;Zhang Zongchang;1936;1964;1999;FA;Elastic Defence Doctrine;High;Kaiserreich Zhang Zongchang;x
58009;Chief of Navy;Yin Tsuo-chien;1938;1964;1999;FA;Base Control Doctrine;Medium;M58062;x
58010;Chief of Air Force;Zhang Xueliang;1936;1964;1999;FA;Army Aviation Doctrine;Very High;Kaiserreich Zhang Xueliang;x
58012;Head of State;Zhang Xueliang;1936;1964;1999;FA;Resigned Generalissimo;Very High;Kaiserreich Zhang Xueliang;x
58013;Head of State;Feng Yuxiang;1936;1964;1999;FA;Barking Buffoon;Medium;kaiserreich Feng Yuhsiang;x
58014;Head of Government;Zhang Xueliang;1936;1964;1999;FA;Flamboyant Tough Guy;Very High;Kaiserreich Zhang Xueliang;x
58015;Head of Government;Zhang Zongchang;1936;1964;1999;FA;Silent Workhorse;High;Kaiserreich Zhang Zongchang;x
58016;Head of Government;Feng Yuxiang;1936;1964;1999;FA;Backroom Backstabber;Medium;kaiserreich Feng Yuhsiang;x
58017;Head of Government;Zhang Zuolin;1936;1964;1999;FA;Old General;Very High;Zhang Zuolin;x
58018;Foreign Minister;Li Shao-keng;1936;1964;1999;FA;Iron Fisted Brute;Medium;M58004;x
58019;Foreign Minister;Li Hong Yu;1938;1964;1999;FA;Biased Intellectual;Medium;Kaiserreich Li Hong Yu;x
58020;Minister of Armament;Lo Tsang-yin;1938;1964;1999;PA;Administrative Genius;Very High;M58034;x
58021;Minister of Armament;Liou Tcheng-fou;1937;1964;1999;FA;Battle Fleet Proponent;Medium;M58014;x
58022;Minister of Armament;Liu Feng Shih;1936;1964;1999;FA;Laissez-Faire Capitalist;Medium;Kaiserreich Liu Feng Shih;x
58023;Minister of Armament;Zhang Xueliang;1936;1964;1999;FA;air to ground proponent;Very High;Kaiserreich Zhang Xueliang;x
58024;Minister of Armament;Tang Yulin;1938;1964;1999;FA;Corrupt Kleptocrat;Medium;Kaiserreich Tang Yulin;x
58025;Minister of Security;Tang Juwu;1936;1964;1999;FA;Man of the People;High;Kaiserreich Tang Juwu;x
58026;Minister of Security;Li Zhaolin;1937;1964;1999;FA;Efficient Sociopath;Medium;Kaiserreich Li Zhaolin;x
