MEX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
36000;Head of State;Emiliano Zapata;1936;1964;1999;LE;Syndicalist Demagogue;High;Zapata;X
36001;Head of Government;Emiliano Zapata;1936;1964;1999;LE;Reformist Soldierhog;High;Zapata;X
36002;Foreign Minister;Francisco Castillo Najera;1936;1954;1999;LWR;Biased Intellectual;High;M36051;X
36003;Minister of Armament;Luis Cabrera;1936;1954;1999;LE;Industrialiser;High;MEX_CabreraLobato;X
36004;Minister of Security;Pancho Villa;1936;1964;1999;LWR;Man of the People;High;Arambula;X
36005;Head of Military Intelligence;Plutarco Elias Calles;1936;1964;1999;ST;Political Specialist;High;Calles;X
36006;Chief of Staff;Pedro Caloca Larios;1936;1970;1999;SD;School of Fire Support;High;MEX_Caloca;X
36007;Chief of Army;Plutarco Elias Calles;1936;1964;1999;ST;Static Defence Doctrine;High;Calles;X
36008;Chief of Navy;Heriberto Jara Corona;1936;1968;1999;LE;Coastal Defence Doctrine;High;Corona;X
36009;Chief of Air Force;Gustavo Salinas Camiña;1936;1964;1999;LWR;Air Superiority Doctrine;High;L4557;X
36010;Head of State;Jose Antonio Urquiza;1940;1964;1999;NS;Ruthless Dictator;Medium;MEX_Urquiza;X
36011;Head of State;Aquiles Elorduy García;1940;1964;1999;FA;Autocratic Charmer;High;MEX_Elorduy;X
36012;Head of State;Francisco R. Serrano;1936;1961;1999;PA;Resigned Generalissimo;Medium;L4529;X
36013;Head of State;Efrain Gonzalez Luna;1940;1964;1999;PA;Powerhungry Demagogue;Medium;MEX_Luna;X
36014;Head of State;Juan Andreu Almazán;1945;1965;1999;FA;Popular Figurehead;High;M36014;X
36015;Head of State;Pablo González Garza;1936;1950;1999;PA;Resigned Generalissimo;High;MEX_Pablo;X
36016;Head of State;Adolfo de la Huerta;1936;1955;1999;SC;Weary Stiffneck;High;MEX_Huerta;X
36017;Head of State;Luis Bustamante Benitez;1946;1964;1999;SC;Powerhungry Demagogue;High;M36035;X
36018;Head of State;Manuel M. Marquez;1940;1964;1999;SC;Insignificant Layman;High;M36034;X
36019;Head of State;Manuel Gómez Morin;1939;1970;1999;SC;Weary Stiffneck;High;M36080;X
36020;Head of State;José Vasconcelos;1936;1959;1999;SL;Die-hard Reformer;High;MEX_Vasconcelos;X
36021;Head of State;Lázaro Cárdenas;1936;1964;1999;SD;Autocratic Charmer;High;M36001;X
36022;Head of State;Manuel Ávila Camacho;1940;1955;1999;SD;Benevolent Gentleman;High;M36087;X
36023;Head of State;Miguel Alemán Valdés;1946;1970;1999;SD;Autocratic Charmer;High;M36033;X
36024;Head of State;Pancho Villa;1936;1964;1999;LWR;Die-hard Reformer;High;Arambula;X
36025;Head of State;Vicente Lombardo Toledano;1936;1968;1999;LE;Popular Figurehead;High;Toledano;X
36026;Head of State;Procopio Herrera;1946;1964;1999;LE;Die-hard Reformer;High;M36025;X
36027;Head of State;Plutarco Elias Calles;1936;1964;1999;ST;Totalist President;High;Calles;X
36028;Head of State;Heriberto Jara Corona;1936;1968;1999;ST;Die-hard Reformer;High;Corona;X
36029;Head of Government;Jesus Guisa y Acevedo;1940;1964;1999;NS;Flamboyant Tough Guy;High;MEX_Guisa;X
36030;Head of Government;Luis G. Quintana;1940;1964;1999;FA;Political Protege;High;M36012;X
36031;Head of Government;Enrique Goroztieta Velarde;1936;1964;1999;FA;Respected War Hero;High;MEX_Gorostiera;X
36032;Head of Government;Rene Capistrán Garza;1936;1964;1999;FA;Naive Optimist;High;MEX_Rene;X
36033;Head of Government;Juan Andreu Almazán;1945;1965;1999;FA;Happy Amateur;High;M36014;X
36034;Head of Government;Efrain Gonzalez Luna;1940;1964;1999;PA;Political Protege;Medium;MEX_Luna;X
36035;Head of Government;Luis Calderon Vega;1940;1970;1999;PA;Pragmatic Statesman;High;MEX_Vega;X
36036;Head of Government;Jacinto Blas Treviño González;1936;1970;1999;PA;Old General;High;MEX_Trevino;X
36037;Head of Government;Manuel M. Marquez;1940;1964;1999;SC;Old General;High;M36034;X
36038;Head of Government;Aarón Sáenz;1936;1970;1999;SC;Corporate Suit;High;MEX_Aaron;X
36039;Head of Government;Luis Bustamante Benitez;1946;1964;1999;SC;Silent Workhorse;High;M36035;X
36040;Head of Government;Daniel Cosio Villegas;1936;1970;1999;SC;Corporate Suit;High;MEX_Villegas;X
36041;Head of Government;Antonio Díaz Soto y Gama;1936;1964;1999;SL;Silent Workhorse;High;MEX_Gama;X
36042;Head of Government;Lázaro Cárdenas;1936;1964;1999;SD;Flamboyant Tough Guy;High;M36001;X
36043;Head of Government;Ignacio Garcia Tellez;1936;1964;1999;SD;Smiling Oilman;High;MEX_Ignacio;X
36044;Head of Government;Manuel Ávila Camacho;1940;1955;1999;SD;Corporate Suit;High;M36087;X
36045;Head of Government;Miguel Alemán Valdés;1946;1970;1999;SD;Smiling Oilman;High;M36033;X
36046;Head of Government;Pancho Villa;1936;1964;1999;LWR;Old General;High;Arambula;X
36047;Head of Government;Vicente Lombardo Toledano;1936;1968;1999;LE;Silent Workhorse;High;Toledano;X
36048;Head of Government;Procopio Herrera;1946;1964;1999;LE;Naive Optimist;High;M36025;X
36049;Head of Government;Agustín Olachea Avilé;1936;1964;1999;LE;Old Airmarshal;High;Aviles;X
36050;Head of Government;Plutarco Elias Calles;1936;1964;1999;ST;Totalist Chairman;High;Calles;X
36051;Head of Government;Pascual Ortiz Rubio;1936;1964;1999;ST;Silent Workhorse;High;MEX_Rubio;X
36052;Head of Government;Abelardo L. Rodriguez;1936;1967;1999;ST;Pragmatic Statesman;High;MEX_Abelardo;X
36053;Foreign Minister;Jose Antonio Urquiza;1936;1964;1999;NS;Ideological Crusader;Medium;MEX_Urquiza;X
36054;Foreign Minister;Gustavo Molina Font;1941;1970;1999;NS;The Cloak N Dagger Schemer;High;MGustavo_Molina_Font;X
36055;Foreign Minister;Pazcual Díaz Barreto;1936;1954;1999;FA;Great Compromiser;Medium;MEX_DiazBarreto;X
36056;Foreign Minister;Luis María Martinez y Rodriguez;1936;1956;1999;FA;Apologetic Clerk;Medium;MEX_LuisMaria;X
36057;Foreign Minister;Pino G. Calles;1940;1964;1999;PA;Biased Intellectual;Very Low;M36011;X
36058;Foreign Minister;Francisco R. Serrano;1939;1961;1999;PA;General Staffer;Medium;L4529;X
