MON;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
94001;Head of State;Agdanbuugiyn Amar;1936;1964;1999;FA;Weary Stiffneck;High;M94001;X
94002;Head of Government;Dogijavyn Luvsanshara;1936;1964;1999;FA;Happy Amateur;High;M94002;X
94003;Foreign Minister;Peljidiyn Genden;1936;1964;1999;FA;Great Compromiser;Very High;M94003;X
94004;Minister of Armament;Jambyn Lhümbe;1936;1964;1999;FA;Military Entrepreneur;Very High;M94004;X
94005;Minister of Security;Jamtsangryin Damdinsüren;1936;1964;1999;FA;Efficient Sociopath;Very High;M94005;X
94006;Head of Military Intelligence;Horloogiyn Choybalsan;1936;1964;1999;ST;Logistics Specialist;Very High;M94006;X
94007;Chief of Staff;Chimid;1936;1964;1999;FA;School of Psychology;Very High;M94007;X
94008;Chief of Army;Chimid;1936;1964;1999;FA;Elastic Defence Doctrine;Very High;M94007;X
94009;Chief of Navy;V.G. Pyrselov;1936;1964;1999;FA;Open Seas Doctrine;Medium;M94009;X
94010;Chief of Air Force;Ulanhu;1936;1964;1999;FA;Army Aviation Doctrine;Medium;M94010;X
94031;Head of State;Yundunwangcug;1937;1964;1999;PA;Resigned Generalissimo;High;M94011;X
94032;Head of State;Pai Yun-ti;1937;1964;1999;SD;Benevolent Gentleman;High;M94021;X
94033;Head of State;Dansrabilegyin Dogsam;1937;1964;1999;PA;Insignificant Layman;High;M94025;X
94034;Head of State;Gomgchigryn Bumtsend;1940;1964;1999;NS;Powerhungry Demagogue;High;M94034;X
94035;Head of State;Buma Tsende;1946;1964;1999;NS;Ruthless Powermonger;High;M94035;X
94036;Head of Government;Demcuydungrub;1936;1964;1999;PA;Political Protege;High;M94012;X
94037;Head of Government;Pai Yun-ti;1937;1964;1999;SD;Happy Amateur;High;M94021;X
94038;Head of Government;Dashiyin Damba;1937;1964;1999;PA;Smiling Oilman;High;M94038;X
94039;Head of Government;Horloogiyn Choybalsan;1939;1964;1999;ST;Old General;High;M94006;X
94040;Head of Government;Andrey S. Bakich;1940;1964;1999;NS;Flamboyant Tough Guy;Very High;MON_Bakich;X
94041;Head of Government;Jumdjaagijn Tsedenbal;1942;1964;1999;NS;Corporate Suit;High;M94041;X
94042;Foreign Minister;Demcuydungrub;1936;1964;1999;PA;General Staffer;Very Low;M94012;X
94043;Foreign Minister;Tsengubal Badrach;1937;1964;1999;SD;Apologetic Clerk;Medium;M94023;X
94044;Foreign Minister;Dogijavyn Luvsanshara;1936;1964;1999;FA;Iron Fisted Brute;High;M94002;X
94045;Foreign Minister;Banzarjavyn Baasanjav;1937;1964;1999;PA;Biased Intellectual;High;M94045;X
94046;Foreign Minister;Dashiyin Damba;1939;1964;1999;PA;The Cloak N Dagger Schemer;High;M94038;X
94047;Foreign Minister;Marcel Rosenberg;1940;1964;1999;NS;Biased Intellectual;Very High;M94047;X
94048;Foreign Minister;Jumdjaagijn Tsedenbal;1941;1964;1999;NS;Iron Fisted Brute;Very High;M94041;X
94049;Foreign Minister;Horloogiyn Choybalsan;1944;1964;1999;ST;General Staffer;Very High;M94006;X
94050;Minister of Armament;Tsevelsodnom;1937;1964;1999;PA;Military Entrepreneur;Very High;M94014;X
94052;Minister of Armament;Tsengubal Badrach;1937;1964;1999;FA;Air to Ground Proponent;Medium;M94023;X
94053;Minister of Armament;Tsevelsodnom;1937;1964;1999;PA;Military Entrepreneur;Very High;M94014;X
94054;Minister of Armament;Zalbengryin Sereeter;1939;1964;1999;PA;Theoretical Scientist;Medium;M94024;X
94055;Minister of Armament;Battur;1940;1964;1999;NS;Air to Sea Proponent;Medium;M94055;X
94056;Minister of Armament;Horloogiyn Choibalsan;1942;1964;1999;ST;Resource Industrialist;Very High;M94006;X
94057;Minister of Armament;Jamsrangyin Sambuu;1944;1964;1999;NS;Laissez-Faire Capitalist;High;M94057;X
94058;Minister of Armament;Gomgchigryn Bumtsend;1946;1964;1999;NS;Military Entrepreneur;Very High;M94034;X
94059;Minister of Armament;Sükhbaataryn Yanjmaa;1936;1964;1999;ST;Administrative Genius;Medium;M94020;X
94060;Minister of Security;Buyanmandu;1937;1964;1999;PA;Prince of Terror;Low;M94015;X
94062;Minister of Security;Dagva;1936;1964;1999;FA;Prince of Terror;Low;M94028;X
94063;Minister of Security;Dansrabilegyin Dogsam;1937;1964;1999;PA;Compassionate Gentleman;Medium;M94025;X
94064;Minister of Security;Buyannmeh;1939;1964;1999;PA;Silent Lawyer;Very Low;M94064;X
94065;Minister of Security;Dashdoorov;1940;1964;1999;NS;Crooked Kleptocrat;High;M94065;X
94066;Minister of Security;Jamsrangyin Sambuu;1942;1964;1999;NS;Back Stabber;High;M94057;X
94067;Minister of Security;Mikhailovna Kollontay;1944;1964;1999;NS;Man of the People;Low;M94067;X
94068;Minister of Security;Nyambuu;1946;1964;1999;NS;Crime Fighter;High;M94068;X
94069;Head of Military Intelligence;Ichinhorloo;1937;1964;1999;PA;Logistics Specialist;Medium;M94016;X
94070;Head of Military Intelligence;Dogijavyn Luvsanshara;1937;1964;1999;SD;Logistics Specialist;Low;M94002;X
94071;Head of Military Intelligence;Dorgijavyn Luvsansambuu;1937;1964;1999;FA;Political Specialist;Medium;M94071;X
94072;Head of Military Intelligence;Ichinhorloo;1937;1964;1999;PA;Logistics Specialist;Medium;M94016;X
94073;Head of Military Intelligence;Dashnyam;1939;1964;1999;PA;Logistics Specialist;Medium;M94073;X
94074;Head of Military Intelligence;Nyambuu;1940;1964;1999;NS;Industrial Specialist;High;M94068;X
94075;Head of Military Intelligence;Dashdorj;1942;1964;1999;NS;Political Specialist;High;M94075;X
94076;Head of Military Intelligence;Dashzegve;1944;1964;1999;NS;Logistics Specialist;High;M94076;X
94077;Head of Military Intelligence;Buyannmeh;1946;1964;1999;NS;Naval Intelligence Specialist;Very High;M94064;X
94078;Chief of Staff;Li Shouxin;1936;1964;1999;PA;School of Mass Combat;Medium;M94017;X
94079;Chief of Staff;Pai Yun-ti;1937;1964;1999;SD;School of Defence;Medium;M94021;X
94081;Chief of Staff;Horloogiyn Choybalsan;1937;1964;1999;ST;School of Manoeuvre;Very High;M94006;X
94082;Chief of Staff;Ölziytrygyn Badrak;1939;1964;1999;PA;School of Defence;Very High;M94082;X
94083;Chief of Staff;Buma Tsende;1940;1964;1999;NS;School of Defence;Very High;M94035;X
