MOZ;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
569001;Head of State;Kamba Simango;1936;1964;1999;LE;Stern Imperialist;High;MOZ_kamba_simango;x
569002;Head of State;Mateus Sansão Muthemba;1936;1964;1999;LE;Die-hard Reformer;High;MOZ_mateus_sansao_muthemba;x
569003;Head of State;José Albazine;1936;1964;1999;LE;Ruthless Powermonger;High;MOZ_jose_albazine;x
569004;Head of State;Sebastiao Cabral Funchal;1936;1964;1999;LWR;Powerhungry Demagogue;High;M569012;x
569005;Head of Government;José Albazine;1936;1964;1999;LE;Ambitious Union Boss;High;MOZ_jose_albazine;x
569006;Head of Government;José Zaluar Nunes;1936;1964;1999;SD;Political Protege;High;M569013;x
569007;Head of Government;Mateus Sansão Muthemba;1936;1964;1999;LE;Ambitious Union Boss;High;MOZ_mateus_sansao_muthemba;x
569008;Head of Government;José Barollo Rodrigues;1936;1964;1999;LWR;Naive Optimist;High;M569014;x
569009;Foreign Minister;António Rui de Noronha;1936;1964;1999;LWR;Apologetic Clerk;High;MOZ_antonio_rui_de_noronha;x
569010;Foreign Minister;Karel Monjardim Pott;1936;1964;1999;LWR;Great Compromiser;High;MOZ_karel_monjardim_pott;x
569011;Foreign Minister;Sebastião Soares de Resende;1936;1964;1999;SD;Ideological Crusader;High;MOZ_sebastiao_soares_de_resende;x
569012;Foreign Minister;Maria Estella de Bettencourt;1936;1964;1999;LWR;Biased Intellectual;High;M569016;x
569013;Foreign Minister;António de Navarro;1936;1964;1999;LWR;Apologetic Clerk;High;MOZ_antonio_de_navarro;x
569014;Minister of Armament;Karel Monjardim Pott;1936;1964;1999;LWR;Administrative Genius;High;MOZ_karel_monjardim_pott;x
569015;Minister of Armament;Roberto Ndevu Mashaba;1936;1964;1999;SD;Military Entrepreneur;High;MOZ_roberto_ndevu_mashaba;"x	"
569016;Minister of Armament;António de Navarro;1936;1964;1999;LWR;Resource Industrialist;High;MOZ_antonio_de_navarro;x
569017;Minister of Armament;Manuel Alves Cardiga;1936;1964;1999;LWR;Laissez-Faire Capitalist;High;MOZ_manuel_alves_cardiga;x
569018;Minister of Armament;Adolfo Camaraquintinga;1936;1964;1999;SD;laissez-faire capitalist;Medium;M569017;x
569019;Minister of Armament;Paulo Inacio;1936;1964;1999;LWR;Infantry Proponent;Medium;M569018;x
569020;Minister of Security;Kamba Simango;1936;1964;1999;LE;Crime Fighter;High;MOZ_kamba_simango;x
569021;Minister of Security;José Albazine;1936;1964;1999;LE;Man of the People;High;MOZ_jose_albazine;x
569022;Minister of Security;Roberto Francisco Zixaxa;1936;1964;1999;LWR;Silent Lawyer;Medium;MOZ_roberto_francisco_zixaxa;x
569023;Head of Military Intelligence;Roberto Francisco Zixaxa;1936;1964;1999;LWR;Logistics Specialist;Medium;MOZ_roberto_francisco_zixaxa;x
569024;Head of Military Intelligence;Carlos dos Santos;1936;1964;1999;LWR;Industrial Specialist;Medium;M569023;x
569025;Head of Military Intelligence;Kamba Simango;1936;1964;1999;LE;Political Specialist;High;MOZ_kamba_simango;x
569026;Chief of Staff;Mateus Sansão Muthemba;1936;1964;1999;LE;school of defence;High;MOZ_mateus_sansao_muthemba;x
569027;Chief of Staff;Federico da Costa Lopes da Silva;1936;1964;1999;LWR;School of Manoeuvre;Medium;M569026;x
569028;Chief of Army;Patricio Nunes Gomes;1936;1964;1999;LWR;Decisive Battle Doctrine;Medium;M569029;x
569029;Chief of Navy;Cesare Ponjo;1936;1964;1999;LWR;Open Seas Doctrine;Medium;M569031;x
569031;Chief of Air Force;Oliva Nuno Tomas;1936;1964;1999;LWR;Vertical Envelopment Doctrine;Medium;M569033;x
569032;Chief of Air Force;Patricio Nunes Gomes;1936;1964;1999;LWR;Army Aviation Doctrine;Medium;M569029;x
569033;Chief of Air Force;José Augusto da Costa Almeida;1936;1964;1999;SC;Army Aviation Doctrine;Medium;MOZ_costa_almeida;x
569034;Head of State;Lázaro N'Kavandame;1936;1964;1999;LWR;Pig-headed Isolationist;High;MOZ_lazaro_cavandame;x
569035;Head of Government;Lázaro N'Kavandame;1936;1964;1999;LWR;Backroom Backstabber;High;MOZ_lazaro_cavandame;x
569038;Foreign Minister;Lázaro N'Kavandame;1936;1964;1999;LWR;Biased Intellectual;High;MOZ_lazaro_cavandame;x
