NAM;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
570001;Head of State;David G. Conradie;1936;1964;1999;ML;Autocratic Charmer;High;M570001;x
570002;Head of Government;Petrus I. Hoogenhout;1936;1964;1999;ML;Ambitious Union Boss;High;M570002;x
570003;Foreign Minister;Tielman J. de Villiers Roos;1936;1964;1999;ML;The Cloak N Dagger Schemer;High;M570003;x
570004;Minister of Armament;Cornelius Boers;1936;1964;1999;ML;laissez-faire capitalist;Medium;M570004;x
570005;Minister of Security;Nikolaus J. de Wet;1936;1964;1999;ML;Man of the People;Medium;M570005;x
570006;Head of Military Intelligence;Pieter Roerloof;1936;1964;1999;ML;Industrial Specialist;Medium;M570006;x
570007;Chief of Staff;John E.J. Wanstone;1936;1964;1999;ML;School of Manoeuvre;Medium;M570007;x
570008;Chief of Army;Rijkard van Deffels;1936;1964;1999;ML;Static Defence Doctrine;Medium;M570008;x
570009;Chief of Navy;Rijnhaard de Beers;1936;1964;1999;ML;Decisive Naval Battle Doctrine;Medium;M570009;x
570010;Chief of Air Force;Francis Dalton;1936;1964;1999;ML;Vertical Envelopment Doctrine;Medium;M570010;x
570011;Head of State;Dr. Pieter Geyl;1936;1964;1999;PA;Powerhungry Demagogue;High;M570011;x
570012;Head of Government;C.J. Langenhooven;1936;1964;1999;PA;Silent Workhorse;High;M570012;x
570013;Foreign Minister;Bettie Conradie;1936;1964;1999;PA;Iron Fisted Brute;High;M570013;x
570014;Minister of Armament;Christiaan van den Heever;1936;1964;1999;PA;Military Entrepreneur;Medium;M570014;x
570015;Minister of Security;Hendrijk de Tottenberg;1936;1964;1999;PA;Back Stabber;Medium;M570015;x
570016;Head of Military Intelligence;Adriaan Gewelten;1936;1964;1999;PA;Political Specialist;Medium;M570016;x
570017;Chief of Staff;Nils Knobel;1936;1964;1999;PA;School of Fire Support;Medium;M570017;x
570018;Chief of Army;Hendrijk van Immen;1936;1964;1999;PA;Decisive Battle Doctrine;Medium;M570018;x
570019;Chief of Navy;Hendrijk Bours;1936;1964;1999;PA;Base Control Doctrine;Medium;M570019;x
570020;Chief of Air Force;Michel de Groot;1936;1964;1999;PA;Naval Aviation Doctrine;Medium;M570020;x
570021;Head of State;Under German administration;1963;1964;1999;PA;Weary Stiffneck;High;kai_gercoladmi;x
570022;Head of State;Under German administration;1963;1964;1999;SC;Weary Stiffneck;High;kai_gercoladmi;x
