OTT;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
549001;Head of State;Abdülmecid II;1936;1964;1999;FA;Benevolent Gentleman;High;M549018;X
549002;Head of Government;Mustafa Kemal Pasha;1936;1964;1999;PA;Respected War Hero;Very High;OTT_Kemal;X
549003;Foreign Minister;Ahmed Izzet Pasha;1936;1970;1999;PA;General Staffer;Very High;OTT_Izzet;X
549004;Minister of Armament;Mehmet Cavit Bey;1936;1970;1999;PA;Laissez-Faire Capitalist;Very High;M549025;X
549120;Head of Government;Mehmet Cavit Bey;1936;1970;1999;PA;Backroom Backstabber;Very High;M549025;X
549121;Foreign Minister;Hüseyin Rauf Orbay Pasha;1936;1964;1999;PA;Great Compromiser;Very High;OTT_Hüseyin Rauf;X
549122;Head of Government;Hüseyin Selâhattin Pasha;1936;1970;1999;PA;Silent Workhorse;Very High;OTT_Hüseyin Selahattin;X
549123;Minister of Security;Hüseyin Selâhattin Pasha;1936;1970;1999;PA;Compassionate Gentleman;Very High;OTT_Hüseyin Selahattin;X
549124;Minister of Armament;Hüseyin Avni Ulas;1936;1948;1999;PA;Mixed Economy;Very High;OTT_Hüseyin Avni;X
549005;Minister of Security;Mehmet Esat Pasha;1936;1952;1999;PA;Secret Police Chief;Very High;OTT_Esad;X
549006;Head of Military Intelligence;Ömer Fahreddin Pasha;1936;1949;1999;PA;Logistics Specialist;Very High;OTTFahreddin;X
549007;Chief of Staff;Mustafa Kemal Pasha;1936;1964;1999;PA;School of Psychology;Very High;OTT_Kemal;X
549008;Chief of Army;Tahsin Yazici;1936;1970;1999;SC;Armoured Spearhead Doctrine;Very High;LTahsin_Yazici;X
549119;Chief of Staff;Kâzim Karabekir Pasha;1936;1960;1999;PA;School of Manoeuvre;Very High;kaiserreich_kazim_karabekir;X
549009;Chief of Navy;Hüseyin Rauf Orbay Pasha;1936;1964;1999;PA;Decisive Naval Battle Doctrine;Very High;OTT_Hüseyin Rauf;X
549010;Chief of Air Force;Vecihi Hürkus Bey;1936;1969;1999;PA;Vertical Envelopment Doctrine;Very High;OTT_Vecihi Bey;X
549011;Foreign Minister;Sadri Maksudi Arsal;1936;1957;1999;FA;Ideological Crusader;Very High;OTT_Sadri Maksudi Arsal;X
549012;Foreign Minister;Süleyman Nazif;1936;1952;1999;PA;Great Compromiser;Very High;OTT_Nazif;X
549013;Foreign Minister;Mehmet Sükrü Bey;1936;1959;1999;PA;Iron Fisted Brute;Very High;OTT_Mehmet Sükrü;X
549014;Foreign Minister;Suleiman Shefik Pasha;1936;1950;1999;PA;Biased Intellectual;Very High;OTT_Shefik;X
549015;Foreign Minister;Kâzim Özalp Bey;1936;1968;1999;PA;Apologetic Clerk;Very High;OTT_Kazim Fikri;X
549016;Chief of Army;Selâhattin Âdil Pasha;1936;1961;1999;PA;Combat Engineering Doctrine;Very High;OTTAdi;X
