PAK;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
564001;Head of State;H.I.M George V;1936;1964;1999;PA;Stern Imperialist;High;M1001;X
564002;Head of Government;Maharaja Ganga Singh;1936;1964;1999;SC;Respected War Hero;High;PAKGanga;X
564003;Foreign Minister;Sir Atul Chandra Chatterjee;1936;1964;1999;SC;Ideological Crusader;High;PAKAtul;X
564004;Minister of Armament;Sir C. D. Deshmukh;1936;1964;1982;SC;Administrative Genius;High;PAKCD;X
564005;Minister of Security;Sir C. P. Ramaswami Iyer;1936;1964;1999;ML;Crime Fighter;High;PAKCP;X
564006;Head of Military Intelligence;Sir Basil John Gould;1936;1944;1945;SC;Logistics Specialist;High;PAKGou;X
564007;Chief of Staff;Maharaja Ganga Singh;1936;1964;1999;SC;School of Defence;Very High;PAKGanga;X
564008;Chief of Army;Maharaja Bhupinder Singh;1936;1964;1999;PA;Decisive Battle Doctrine;Very High;PAKBhup;X
564132;Minister of Security;M. C. Chagla;1936;1981;1981;SD;Crime Fighter;Very High;PAKChag;X
564133;Foreign Minister;Sheikh M. Abdullah;1936;1982;1982;SD;Ideological Crusader;Very High;PAKAbd;X
564009;Chief of Navy;Sir Humphrey Thomas Walwyn;1936;1964;1999;SC;Power Projection Doctrine;High;PAKWal;X
564010;Chief of Air Force;Indra Lal Roy;1936;1964;1999;ML;Air Superiority Doctrine;High;PAKInd;X
564011;Chief of Air Force;Trilochan Singh;1936;1964;1999;SC;Carpet Bombing Doctrine;High;PAKTri;X
564014;Chief of Air Force;Karun Krishna Majumdar;1936;1964;1999;ML;Vertical Envelopment Doctrine;High;PAKKar;X
564015;Chief of Air Force;Mehar Singh;1936;1964;1999;SL;Army Aviation Doctrine;Medium;M59114;X
564016;Chief of Navy;John Talbot-Savignac-Hall;1936;1964;1999;ML;Indirect Approach Doctrine;Medium;PAKTal;X
564018;Foreign Minister;Sir Benegal Narsing Rau;1936;1957;1957;SC;Biased Intellectual;Very High;PAKNar;X
564019;Chief of Navy;John Henry Godfrey;1936;1964;1999;SC;Open Seas Doctrine;High;PAKGod;X
564020;Chief of Navy;Arthur Bedford;1936;1964;1999;SC;Indirect Approach Doctrine;High;PAKBed;X
564021;Chief of Navy;Herbert Fitzherbert;1936;1964;1999;PA;Base Control Doctrine;High;PAKFitz;X
564023;Chief of Army;Sir Sadeq Mohammad Khan V;1936;1964;1999;PA;Decisive Battle Doctrine;Medium;PAKSad;X
564024;Chief of Army;Sir Frank Messervy;1936;1964;1999;SL;Commando Doctrine Army;Very High;M59102;X
564025;Chief of Army;Archibald Wavell;1936;1964;1999;ML;Elastic Defence Doctrine;High;PAKWav;X
564026;Chief of Army;Malik Umar Hayat Khan;1936;1964;1999;SC;Armoured Spearhead Doctrine;High;PAKUmar;X
564027;Chief of Army;Maharaja Sajjan Singh;1936;1964;1999;SC;Elastic Defence Doctrine;Very High;PAKSaj;X
564028;Chief of Staff;Sir Sikander Hayat Khan;1936;1964;1999;SC;School of Psychology;Very High;PAKSit;X
564029;Chief of Staff;Nathu Singh Rathore;1936;1964;1999;SL;School of Manoeuvre;Medium;PAKRat;X
564030;Foreign Minister;Madan Mohan Malaviya;1936;1964;1999;SC;Great Compromiser;High;PakMadan;X
564031;Foreign Minister;Maharaja Yadavindra Singh;1936;1964;1999;PA;Apologetic Clerk;High;PAKYada;X
564032;Foreign Minister;Jagatjit Singh Bahadur;1936;1964;1999;SC;Biased Intellectual;High;PAKJaga;X
564033;Foreign Minister;Sir Girija Shankar Bajpai;1936;1964;1964;SL;Great Compromiser;High;PAKGir;X
564034;Foreign Minister;Liaquat Ali Khan;1936;1964;1999;SD;The Cloak N Dagger Schemer;High;M59052;X
564035;Foreign Minister;Malik Khizar Hayat Tiwana;1936;1964;1975;SC;Ideological Crusader;Very High;PAKTiw;X
564142;Head of Government;Malik Khizar Hayat Tiwana;1945;1975;1975;SC;Flamboyant Tough Guy;Very High;PAKTiw;X
564143;Foreign Minister;Muhammad Zafarullah Khan;1936;1985;1985;SC;Great Compromiser;Very High;PAKZaf;X
564144;Minister of Security;Sir Abdul Qadir;1936;1950;1950;SC;Compassionate Gentleman;Very High;PAKQad;X
564145;Minister of Armament;Nathu Singh Rathore;1936;1970;1999;SL;Reformer;Very High;PAKRat;X
564036;Minister of Armament;Aga Khan III;1936;1964;1999;SC;Construction Magnate;High;PAKAga;X
564037;Minister of Armament;Sir Benegal Rama Rau;1936;1964;1969;SC;Balanced Budget Economy;High;PAKBene;X
564038;Minister of Armament;Jehangir Ratanji Dadabhoy Tata;1936;1993;1999;ML;Vernacular Industrialiser;High;PAKTata;X
564039;Minister of Armament;Chunnilal Devkaran Nanjee;1936;1964;1999;SL;Bank President;High;PAKDev;X
564040;Minister of Armament;Sir Adershir Dalal;1936;1964;1999;ML;Construction Magnate;High;PAKAde;X
564041;Minister of Armament;Ardeshir Darabshaw Shroff;1936;1964;1999;SL;Mixed Economy;High;PAKShr;X
564042;Minister of Armament;Alfred Knox;1936;1964;1999;PA;Military Entrepreneur;High;PAKKno;X
564043;Chief of Staff;Sayajirao Gaekwad III;1936;1964;1999;SL;School of Manoeuvre;High;PAKGae;X
564044;Chief of Staff;Khengarji III Sawai Bahadur;1936;1964;1999;SC;School of Defence;High;PAKKhen;X
564045;Chief of Staff;Maharaja Ranbir Singh;1936;1964;1999;SC;School of Psychology;High;PAKRanbir;X
564046;Chief of Staff;Sir Claud Jacob;1936;1964;1999;PA;School of Fire Support;High;PAKJac;X
564047;Chief of Staff;Alfred Knox;1936;1964;1999;PA;School of Fire Support;High;PAKKno;X
564049;Minister of Security;Mehr Chand Mahajan;1936;1964;1999;SD;Silent Lawyer;Very High;PAKChand;X
564139;Head of Government;Minocher Rustom Masani;1946;1998;1998;ML;Corporate Suit;Very High;PAKMin;X
564140;Minister of Armament;Minocher Rustom Masani;1940;1998;1998;ML;Balanced Budget Economy;Very High;PAKMin;X
564050;Minister of Security;Evan Meredith Jenkins;1936;1964;1999;ML;Compassionate Gentleman;Medium;M564024;X
564051;Minister of Security;Sir Henry Gidney;1936;1942;1999;SL;Compassionate Gentleman;Very High;PAKHen;X
564052;Minister of Security;Maharaja Pratap Singh Gaekwad;1936;1964;1999;PA;Media Magnate;High;PAKPratap;X
564053;Minister of Security;Khengarji III Sawai Bahadur;1936;1964;1999;SC;Compassionate Gentleman;High;PAKKhen;X
564054;Minister of Security;Maharaja Sawai Man Singh II;1936;1964;1999;SC;Man of the People;High;PAKSawai;X
564055;Minister of Security;B. R. Ambedkar;1936;1964;1999;SD;Health and Safety;High;PAKAmb;X
564056;Head of Military Intelligence;John Burnett-Stuart;1936;1964;1999;PA;Logistics Specialist;High;PAKBurn;X
564057;Head of Military Intelligence;Maharaja Bhagvatsingh Sahib;1936;1964;1999;SC;Political Specialist;High;PAKBhaga;X
564058;Head of Military Intelligence;Maharaja K. S. Digvijaysinhji;1936;1964;1965;SD;Logistics Specialist;High;PAKDigv;X
564059;Head of Military Intelligence;B. R. Ambedkar;1936;1964;1999;SD;Dismal Enigma;High;PAKAmb;X
564060;Head of Government;V. S. Srinivasa Sastri;1936;1964;1999;ML;Flamboyant Tough Guy;High;PAKVss;X
564061;Foreign Minister;Sir Tej Bahadur Sapru;1936;1964;1999;SL;Apologetic Clerk;High;PAKTej;X
564062;Minister of Security;Sir Syed Sultan Ahmed;1936;1964;1999;ML;Silent Lawyer;Very High;PAKSye;X
564063;Head of Military Intelligence;Sardar Ujjal Singh;1936;1964;1999;ML;Technical Specialist;High;PAKSar;X
564064;Minister of Armament;Sobha Singh;1936;1964;1978;ML;Resource Industrialist;High;PAKSob;X
564127;Minister of Armament;Ambalal Sarabhai;1936;1967;1967;SL;Resource Industrialist;Very High;PAKSarabhai;X
