PAN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
95001;Head of State;Harmodio Arías de la Madrid;1936;1964;1999;ML;Autocratic Charmer;High;M95001;x
95002;Head of Government;Harmodio Arías de la Madrid;1936;1964;1999;ML;Corporate Suit;High;M95001;x
95003;Foreign Minister;Narciso Garay Díaz;1936;1964;1999;SL;Ideological Crusader;Medium;M95003;x
95004;Minister of Armament;Daniel C. Pinzon;1936;1964;1999;ML;laissez-faire capitalist;Medium;M95004;x
95005;Minister of Security;Ignacio E. Mendoza;1936;1964;1999;SL;Back Stabber;Medium;M95005;x
95006;Head of Military Intelligence;Ezequeil Fernandez Jaen;1936;1964;1999;ML;Dismal Enigma;Medium;M95006;x
95007;Chief of Staff;Juan Remón;1936;1964;1999;SL;School of Psychology;Medium;M95007;x
95008;Chief of Army;Bolivar Villarino;1936;1964;1999;ML;Guns and Butter Doctrine;Medium;M95008;x
95009;Chief of Navy;Juan A. Hernandez;1936;1964;1999;SL;Decisive Naval Battle Doctrine;Medium;M95009;x
95010;Chief of Air Force;Juan Remón;1936;1964;1999;ML;Naval Aviation Doctrine;Medium;M95007;x
95031;Head of State;Juan Demosthenes Arosemana;1936;1964;1999;SC;Resigned Generalissimo;High;M95031;x
95032;Head of State;Arnulfo Arías de la Madrid;1940;1964;1999;ML;Popular Figurehead;High;M95032;x
95033;Head of State;Riccardo de la Guardia;1941;1964;1999;PA;Powerhungry Demagogue;High;M95013;x
95034;Head of State;Arnulfo Arías de la Madrid;1945;1964;1999;SL;Autocratic Charmer;High;M95034;x
95035;Head of State;Enrique Jimenez Brín;1946;1964;1999;PA;Stern Imperialist;High;M95035;x
95036;Head of Government;Carlos Zavala;1936;1964;1999;SC;Old Admiral;High;M95036;x
95037;Head of Government;Arnulfo Arías de la Madrid;1940;1964;1999;ML;Corporate Suit;High;M95032;x
95038;Head of Government;Augusto Samuel Boyd;1941;1964;1999;PA;Ambitious Union Boss;High;M95038;x
95039;Head of Government;Manuel D. Granados;1945;1964;1999;SL;Silent Workhorse;High;M95039;x
95040;Head of Government;José Augustín Arango;1946;1964;1999;PA;Political Protege;High;M95011;x
95041;Foreign Minister;Raul de Roux y García;1936;1964;1999;ML;Biased Intellectual;Medium;M95041;x
95042;Foreign Minister;José Lefebvré de la Ossa;1936;1964;1999;SC;Great Compromiser;Medium;M95042;x
95043;Foreign Minister;Narciso Garay Díaz;1938;1964;1999;PA;Apologetic Clerk;Medium;M95003;x
95044;Foreign Minister;Juan Demosthenes Arosemana;1938;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M95031;x
95045;Foreign Minister;Augusto Samuel Boyd;1940;1964;1999;ML;Iron Fisted Brute;Medium;M95038;x
95046;Foreign Minister;Riccardo de la Guardia;1941;1964;1999;PA;Biased Intellectual;High;M95013;x
95047;Foreign Minister;Octavio Fábrega López;1942;1964;1999;SC;Iron Fisted Brute;High;M95047;x
95048;Foreign Minister;Samuel Luis Aranga;1945;1964;1999;PA;Great Compromiser;High;M95048;x
95049;Foreign Minister;Roberto Jímenez de Roux;1945;1964;1999;ML;Great Compromiser;High;M95049;x
95050;Foreign Minister;Horacío Alfaro Díaz;1946;1964;1999;PA;General Staffer;High;M95050;x
95051;Foreign Minister;Hermaño Castillo Ballidó;1947;1964;1999;SC;Apologetic Clerk;High;M95051;x
95052;Minister of Armament;Nestor Urribe Suarez;1936;1964;1999;SC;Infantry Proponent;Medium;M95052;x
95053;Minister of Armament;José Pezet;1940;1964;1999;SL;Resource Industrialist;Medium;M95053;x
95056;Minister of Armament;Enrique Jiménez Brín;1945;1964;1999;SL;Tank Proponent;Medium;M95035;x
95057;Minister of Armament;Ignacio E. Mendoza;1946;1964;1999;SC;Infantry Proponent;Medium;M95005;x
95058;Minister of Security;Raoul Arias Amador;1936;1964;1999;SC;Man of the People;Medium;M95015;x
95059;Minister of Security;Carlos Mendoza;1940;1964;1999;SL;Crime Fighter;Medium;M95059;x
95060;Minister of Security;Juan Remon;1941;1964;1999;SC;Man of the People;Medium;M95007;x
95061;Minister of Security;Nicolas Ardito Barletta;1945;1964;1999;SL;Compassionate Gentleman;Medium;M95061;x
95062;Minister of Security;José Avila;1946;1964;1999;SC;Crime Fighter;Medium;M95062;x
95063;Head of Military Intelligence;Ernesto Fabréga López;1936;1964;1999;SC;Dismal Enigma;Medium;M95063;x
95064;Head of Military Intelligence;Victor Pareja;1940;1964;1999;SL;Industrial Specialist;Medium;M95025;x
95065;Head of Military Intelligence;Baldomero Tarté;1941;1964;1999;PA;Logistics Specialist;Medium;M95016;x
95066;Head of Military Intelligence;Ignacio C. Garces;1945;1964;1999;SL;Naval Intelligence Specialist;Medium;M95066;x
95067;Head of Military Intelligence;José Lefebvré de la Ossa;1946;1964;1999;SC;Industrial Specialist;Medium;M95042;x
95068;Chief of Staff;Bolivar Villarino;1936;1964;1999;SC;School of Defence;Medium;M95008;x
95069;Chief of Staff;Juan José Parada;1940;1964;1999;SL;School of Manoeuvre;Medium;M95020;x
95070;Chief of Staff;Pacificio Marciaga;1941;1964;1999;PA;School of Psychology;Medium;M95017;x
95071;Chief of Staff;José Gomez Ayan;1945;1964;1999;SL;School of Fire Support;Medium;M95071;x
95073;Chief of Army;Juan Remón;1936;1964;1999;SC;Guns and Butter Doctrine;Medium;M95007;x
95074;Chief of Army;Enrico Fabrego Páz;1940;1964;1999;ML;Static Defence Doctrine;Medium;M95018;x
95077;Chief of Army;Omar Torrijos;1946;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M95077;x
95080;Chief of Navy;Arturo Osborne Irragá;1941;1964;1999;PA;Open Seas Doctrine;Medium;M95019;x
95082;Chief of Air Force;Marcos A. Gelabert;1936;1964;1999;SC;Army Aviation Doctrine;Medium;M95082;x
95083;Chief of Air Force;Juan José Parada;1940;1964;1999;ML;Air Superiority Doctrine;Medium;M95020;x
95084;Chief of Air Force;Carlos Zavala;1941;1964;1999;SC;Air Superiority Doctrine;Medium;M95036;x
95086;Chief of Air Force;Nestor Urribe Suarez;1946;1964;1999;SC;Carpet Bombing Doctrine;Medium;M95052;x
95087;Head of State;Ezequeil Fernandez Jaen;1939;1964;1999;SC;Insignificant Layman;Medium;M95006;x
95088;Head of Government;Ezequeil Fernandez Jaen;1939;1964;1999;SC;Smiling Oilman;Medium;M95006;x
95089;Head of Government;Augusto Samuel Boyd;1940;1964;1999;SC;Ambitious Union Boss;High;M95038;x
95090;Head of State;Augusto Samuel Boyd;1940;1964;1999;SC;Barking Buffoon;High;M95038;x
95011;Head of State;José Augustin Arango;1936;1964;1999;PA;Resigned Generalissimo;High;M95011;x
95012;Head of Government;José Augustin Arango;1936;1964;1999;PA;Old General;High;M95011;x
95021;Head of State;Floyd N. Britton sr.;1936;1964;1999;LE;Pig-headed Isolationist;High;M95021;x
95022;Head of Government;Floyd N. Britton sr.;1936;1964;1999;LE;Happy Amateur;High;M95021;x
95023;Foreign Minister;Luís Costa Arías;1936;1964;1999;LWR;Ideological Crusader;Medium;M95023;x
95024;Minister of Armament;Floyd N. Britton sr.;1936;1964;1999;LE;Administrative Genius;Medium;M95021;x
95025;Minister of Security;Victor Pareja;1936;1964;1999;LE;Crooked Kleptocrat;Medium;M95025;x
95027;Chief of Staff;Adolfo Gutíerrez Clark;1936;1964;1999;LE;School of Defence;Medium;M95027;x
95028;Chief of Army;Manuel Ríos Urribe;1936;1964;1999;LWR;Armoured Spearhead Doctrine;Medium;M95028;x
95029;Chief of Navy;Ferdinando Hernandez Ytuarte;1936;1964;1999;LWR;Power Projection Doctrine;Medium;M95029;x
95030;Chief of Air Force;Margarita Belloso Jímenez;1936;1964;1999;LE;Vertical Envelopment Doctrine;Medium;M95030;x
95091;Head of State;Domingo Diaz Arosemena;1948;1964;1999;SC;Weary Stiffneck;High;M95091;x
95092;Head of Government;Domingo Diaz Arosemena;1948;1964;1999;SC;Silent Workhorse;High;M95091;x
95093;Minister of Security;Henrique de Obarrio;1948;1964;1999;SC;Back Stabber;Medium;M95093;x
95094;Head of State;Daniel C. Pinzon;1949;1964;1999;ML;Benevolent Gentleman;High;M95004;x
95095;Head of Government;Alciabides Arosemena;1949;1964;1999;ML;Corporate Suit;High;M95095;x
95096;Head of State;Alciabides Arosemena;1951;1964;1999;SC;Insignificant Layman;High;M95095;x
