POR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
9001;Head of State;António de Fragosa Carmona;1925;1964;1999;PA;Stern Imperialist;High;M9001;x
9002;Head of Government;A. Oliveira Salazar;1936;1964;1999;PA;Backroom Backstabber;High;M9002;x
9003;Foreign Minister;A. Oliveira Salazar;1936;1964;1999;PA;Ideological Crusader;Very High;M9002;x
9004;Minister of Armament;Raul Brandao;1936;1964;1999;PA;Resource Industrialist;Medium;M9004;x
9005;Minister of Security;Mario Pais Sousa;1936;1964;1999;PA;Crooked Kleptocrat;High;M9005;x
9006;Head of Military Intelligence;Pedro Teotónio Pereira;1936;1964;1999;PA;Dismal Enigma;High;M9006;x
9007;Chief of Staff;Tasso Miranda Cabral;1936;1964;1999;PA;School of Fire Support;Very High;M9007;x
9008;Chief of Army;J.A. Lobato Guerra;1936;1964;1999;PA;Guns and Butter Doctrine;High;M9008;x
9009;Chief of Navy;Jaime Afreixo;1936;1964;1999;PA;Base Control Doctrine;Very High;M9009;x
9010;Chief of Air Force;Manuel Gouveia;1936;1964;1999;PA;Vertical Envelopment Doctrine;High;M9010;x
9082;Head of State;S.K.M Sofia Carolina;1936;1964;1999;PA;german aristocrat;High;kai_sopholux;x
9083;Head of State;S.K.M. Sofia Carolina;1936;1964;1999;SC;german aristocrat;High;kai_sopholux;x
9084;Head of Government;Aquilino Ribeiro;1936;1964;1999;SC;Political Protege;High;M9062;x
9085;Head of Government;Aquilino Ribeiro;1936;1964;1999;PA;Political Protege;High;M9062;x
9086;Head of State;S.K.M. Duarte II;1936;1964;1999;PA;Stern Imperialist;High;kai_nunobrag;x
9087;Head of State;S.K.M. Duarte II;1936;1964;1999;SC;Benevolent Gentleman;High;kai_nunobrag;x
9088;Head of State;Sidónio Pais;1936;1964;1999;PA;Stern Imperialist;High;kai_sidpai;x
9089;Head of State;Sidónio Pais;1936;1964;1999;SC;Benevolent Gentleman;High;kai_sidpai;x
9090;Head of State;S.K.M. Teresa Cristina;1936;1964;1999;PA;Stern Imperialist;High;POR_teresa_cristina;x
9091;Head of State;S.K.M. Teresa Cristina;1936;1964;1999;SC;Benevolent Gentleman;High;POR_teresa_cristina;x
9092;Head of State;Jose Norton de Matos;1936;1964;1999;SL;Benevolent Gentleman;High;kai_nortonmat;x
9041;Foreign Minister;Alfonso Costa;1936;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M9041;x
9042;Foreign Minister;Luis Almeida Braga;1938;1964;1999;FA;Iron Fisted Brute;Low;M9042;x
9043;Foreign Minister;D.Fezas Vital;1941;1964;1999;SC;General Staffer;Medium;M9022;x
9044;Foreign Minister;Ruy Ulrich;1936;1964;1999;SD;Great Compromiser;Medium;M9023;x
9045;Foreign Minister;Xavier Cordeiro;1943;1964;1999;PA;Biased Intellectual;Medium;M9045;x
9046;Foreign Minister;Francisco Cunha Leal;1945;1964;1999;SL;The Cloak N Dagger Schemer;Low;M9013;x
9047;Foreign Minister;Alfredo Pimenta;1945;1964;1999;PA;Ideological Crusader;High;M9026;x
9048;Foreign Minister;José Caeiro da Mata;1947;1964;1999;PA;Great Compromiser;High;M9048;x
9049;Minister of Armament;José Hipólito Vaz Raposo;1936;1964;1999;FA;Infantry Proponent;Medium;M9049;x
9050;Minister of Armament;Henrique Mitchell Paiva Couceiro;1936;1964;1999;FA;Military Entrepreneur;Medium;POR_paiva_couceiro;x
9051;Minister of Armament;João Chagas;1937;1964;1999;SC;Military Entrepreneur;Medium;M9051;x
9052;Minister of Armament;Vasco Carvalho;1936;1964;1999;SC;Theoretical Scientist;Medium;M9052;x
9053;Minister of Armament;Joao Nunes Costa;1938;1964;1999;PA;Air to Ground Proponent;High;M9053;x
9054;Minister of Armament;Antonio Sardinho;1938;1964;1999;PA;Administrative Genius;High;M9024;x
9055;Minister of Armament;Alberto Monsaraz;1939;1964;1999;FA;laissez-faire capitalist;Medium;POR_alberto_monsaraz;x
9056;Minister of Armament;Antonio M. B. Ferreira;1939;1964;1999;SC;Tank Proponent;Medium;M9056;x
9057;Minister of Armament;Jaime Cortesão;1936;1964;1999;SD;Tank Proponent;Very Low;M9012;x
9058;Minister of Armament;Armindo Monteiro;1944;1964;1999;PA;Battle Fleet Proponent;Very High;M9058;x
9059;Minister of Armament;F.Salgado Zenha;1953;1964;1999;LE;Military Entrepreneur;Low;M9034;x
9060;Minister of Security;Afonso Lucas;1936;1964;1999;SC;Silent Lawyer;High;M9025;x
9061;Minister of Security;M. Nobre Melo;1936;1964;1999;PA;Efficient Sociopath;Very High;M9061;x
9062;Minister of Security;Aquilino Ribeiro;1937;1964;1999;SC;Crime Fighter;High;M9062;x
9063;Minister of Security;J.Costa Leite;1941;1964;1999;PA;Back Stabber;High;M9063;x
9064;Minister of Security;Alfredo Pimenta;1943;1964;1999;PA;Prince of Terror;Very High;M9026;x
9065;Minister of Security;J.Botelho Moniz;1944;1964;1999;FA;Compassionate Gentleman;High;M9065;x
9066;Minister of Security;Henrique Galvao;1945;1964;1999;PA;Man of the People;Medium;M9066;x
9067;Head of Military Intelligence;Julio Dantas;1938;1964;1999;PA;Industrial Specialist;High;M9067;x
9068;Head of Military Intelligence;Joao Pereira Bastos;1939;1964;1999;PA;Logistics Specialist;High;M9016;x
9069;Head of Military Intelligence;Augusto Vasconcellos;1942;1964;1999;PA;Technical Specialist;High;M9069;x
9070;Chief of Staff;J.A. Silva Bastos;1938;1964;1999;PA;School of Mass Combat;High;M9027;x
9071;Chief of Staff;Eduardo A. Marques;1942;1964;1999;PA;School of Fire Support;High;M9071;x
9072;Chief of Army;J.M. Norton Matos;1936;1964;1999;SL;Static Defence Doctrine;Very Low;M9072;x
9073;Chief of Army;Rolao Pretea;1942;1964;1999;FA;Armoured Spearhead Doctrine;Very High;M9073;x
9074;Chief of Army;J.Barros Rodrigues;1944;1964;1999;FA;Elastic Defence Doctrine;Very High;M9074;x
9075;Chief of Navy;Quintão Meireles;1936;1964;1999;SC;Open Seas Doctrine;Very High;M9029;x
9076;Chief of Navy;Americo Deus Tomas;1944;1964;1999;PA;Open Seas Doctrine;High;M9076;x
9077;Chief of Air Force;Ortins Bettencourt;1937;1964;1999;PA;Naval Aviation Doctrine;High;M9077;x
9078;Chief of Air Force;J.M. Sarmento Beires;1943;1964;1999;SC;Carpet Bombing Doctrine;Low;M9020;x
9079;Chief of Air Force;Humberto Delgado;1947;1964;1999;SL;Air Superiority Doctrine;Medium;M9079;x
9011;Head of State;Raul Brandao;1936;1964;1999;SC;Insignificant Layman;High;M9004;x
9012;Head of Government;Jaime Cortesão;1936;1964;1999;SD;Smiling Oilman;High;M9012;x
9015;Minister of Security;Raul Proenca;1936;1964;1999;SD;Back Stabber;Low;M9015;x
9017;Chief of Staff;Raul Brandao;1936;1964;1999;SC;School of Defence;Medium;M9004;x
9018;Chief of Army;Humberto Carmona;1936;1964;1999;SL;Static Defence Doctrine;Low;M9018;x
9019;Chief of Navy;José Sarmento Pimentel;1936;1964;1999;SD;Base Control Doctrine;High;M9019;x
9020;Chief of Air Force;J.M.Sarmento Beires;1936;1964;1999;SD;Naval Aviation Doctrine;High;M9020;x
9031;Head of State;Bento Gonçalves;1936;1964;1999;LE;Weary Stiffneck;High;POR_bento_goncalves;x
9032;Head of Government;Bento Gonçalves;1936;1964;1999;LE;Happy Amateur;High;POR_bento_goncalves;x
9035;Minister of Security;Álvaro Cunhal;1940;1964;1999;LE;Man of the People;High;POR_alvaro_cunhal;x
9036;Head of Military Intelligence;Antonio Sergo;1936;1964;1999;LWR;Industrial Specialist;Medium;M9036;x
9037;Chief of Staff;Jose A.P. Rebelo;1936;1964;1999;LE;School of Psychology;Very High;M9037;x
9038;Chief of Army;Jose A.P. Rebelo;1936;1964;1999;LWR;Guns and Butter Doctrine;Very High;M9037;x
9039;Chief of Navy;Bento Gonçalves;1936;1964;1999;LE;Power Projection Doctrine;Very High;POR_bento_goncalves;x
