PRK;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
579001;Head of State;Lala Lajpat Rai;1936;1964;1999;LWR;Weary Stiffneck;High;PRKTil;X
579003;Head of Government;Narendra Deva;1936;1964;1999;LWR;Ambitious Union Boss;High;PRKNar;X
579004;Foreign Minister;Subhas Chandra Bose;1936;1964;1999;ST;General Staffer;High;KRSubhas;X
579008;Minister of Armament;Lal Bahadur Shastri;1936;1964;1966;LE;Administrative Genius;High;PRKSha;X
579126;Head of Government;Lal Bahadur Shastri;1940;1966;1966;LE;Silent Workhorse;Very High;PRKSha;X
579127;Head of Government;Panjabrao Deshmukh;1940;1965;1965;LWR;Ambitious Union Boss;Very High;PRKDes;X
579128;Minister of Armament;Panjabrao Deshmukh;1938;1965;1965;LWR;Theoretical Scientist;Very High;PRKDes;X
579011;Minister of Security;Rafi Ahmed Kidwai;1936;1964;1999;LWR;Crime Fighter;Medium;M59068;X
579012;Head of Military Intelligence;Jagjivan Ram;1936;1964;1999;LWR;Political Specialist;Very High;PRKJag;X
579014;Chief of Staff;Subhas Chandra Bose;1936;1964;1999;ST;School of Manoeuvre;Medium;KRSubhas;X
579016;Chief of Navy;Bhaskar Soman;1944;1970;1999;LWR;Power Projection Doctrine;Medium;M59107;X
579018;Chief of Army;M.P.T. Acharya;1936;1964;1999;LWR;Guns and Butter Doctrine;Very High;PRKAch;X
579017;Chief of Air Force;Subroto Mukherjee;1939;1970;1999;LWR;Army Aviation Doctrine;Medium;M59115;X
579002;Head of Government;Mohandas Karamchand Gandhi;1936;1964;1999;LWR;Silent Workhorse;High;PRKGandhi;X
579005;Foreign Minister;Ananthasayanam Ayyangar;1936;1964;1999;LWR;Great Compromiser;Low;M59044;X
579006;Foreign Minister;Sarat Chandra Bose;1936;1964;1999;ST;The Cloak N Dagger Schemer;Very High;M59045;X
579007;Minister of Armament;Vallabhbhai Jhaverbhai Patel;1936;1964;1999;LE;Mixed Economy;High;PRKPat;X
579009;Minister of Armament;Dr. John Mathai;1936;1964;1999;LWR;Balanced Budget Economy;Very High;M59039;X
579010;Minister of Armament;Hitendra Desai;1936;1964;1999;SL;Resource Industrialist;Very High;M59060;X
579013;Head of Military Intelligence;Rafi Ahmed Kidwai;1936;1964;1999;LWR;Dismal Enigma;Medium;M59068;X
579015;Chief of Staff;Barindra Kumar Ghosh;1936;1959;1999;LWR;School of Mass Combat;High;PRKBar;X
579019;Minister of Security;Subhas Chandra Bose;1936;1964;1999;ST;Compassionate Gentleman;Medium;KRSubhas;X
579020;Minister of Security;Mohandas Karamchand Gandhi;1936;1964;1999;LWR;Great Soul;High;PRKGandhi;X
579021;Head of Government;Shri Aurobindo;1936;1964;1999;LWR;Naive Optimist;Medium;KRAuro;X
579022;Head of Government;Rabindranath Tagore;1936;1942;1942;LWR;Silent Workhorse;Medium;KRTagore;X
579023;Foreign Minister;Sardul Singh Caveeshar;1936;1964;1999;ST;Biased Intellectual;Medium;PRKCav;X
579024;Minister of Armament;Syama Prasad Mookerjee;1936;1964;1999;SC;Theoretical Scientist;Medium;Syama_Prasad_Mookerjee;X
579025;Minister of Security;A.C. Bhaktivedanta Swami Prabhupada;1936;1964;1999;PA;Compassionate Gentleman;Medium;AC_Bhaktivedanta_Swami_Prabhupada;X
579026;Head of Military Intelligence;M.A.G. Osmani;1947;1970;1999;LE;Logistics Specialist;Medium;MAG_Osmani;X
579027;Chief of Staff;Rash Behari Bose;1936;1960;1999;LE;School of Psychology;Medium;PRKReh;X
579028;Chief of Army;Tarak Nath Das;1936;1959;1999;LE;Elastic Defence Doctrine;Medium;Tarak_Nath_Das;X
579029;Chief of Navy;M.A.G. Osmani;1947;1970;1999;LE;Base Control Doctrine;Medium;MAG_Osmani;X
579030;Chief of Air Force;Padmanabha Krishnamurti;1944;1970;1999;LE;Air Defence Doctrine;Medium;PRKPkr;X
579031;Head of State;A.K. Fazlul Huq;1936;1962;1962;LE;Tiger Of Bengal;High;PRKHuq;X
579032;Head of Government;Muhammad Ali Bogra;1952;1964;1999;SD;Ambitious Union Boss;Medium;Muhammad_Ali_Bogra;X
579033;Foreign Minister;Alexandra David-Néel;1936;1964;1999;ST;Ideological Crusader;Medium;PRKAlex;X
579034;Minister of Armament;Jnananjan Niyogi;1936;1956;1956;LWR;Administrative Genius;Medium;Jnananjan_Niyogi;X
579035;Minister of Security;Maulana Bhashani;1936;1964;1999;LWR;Man of the People;Medium;Maulana_Bhashani;X
579036;Head of Military Intelligence;Rash Behari Bose;1936;1960;1999;LE;Political Specialist;Medium;PRKReh;X
579037;Chief of Staff;Tarak Nath Das;1936;1959;1999;LE;School of Manoeuvre;Medium;Tarak_Nath_Das;X
579038;Chief of Army;Baba Prithvi Singh Azad;1936;1970;1999;SD;Elastic Defence Doctrine;Medium;Baba_Prithvi_Singh_Azad;X
579117;Chief of Army;Subhas Chandra Bose;1936;1964;1999;ST;Armoured Spearhead Doctrine;Very High;KRSubhas;X
579118;Chief of Staff;A.D. Loganadan;1936;1955;1999;ST;School of Fire Support;Very High;PRKLog;X
579039;Head of State;Nawab Khwaja Habibullah;1936;1964;1999;PA;Pig-headed Isolationist;Medium;Nawab_Khwaja_Habibullah;X
579040;Head of Government;Huseyn Shaheed Suhrawardy;1936;1964;1999;ML;Ambitious Union Boss;Medium;Huseyn_Shaheed_Suhrawardy;X
