RSI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
508001;Head of State;Benito Mussolini;1936;1959;1999;ST;totalist president;High;kaiserreich_RSI_Benito_Mussolini;x
508002;Head of State;Edmondo Rossoni;1936;1966;1999;ST;totalist president;High;kaiserreich_Edmondo_Rossoni;x
508003;Head of State;Michele Bianchi;1936;1945;1999;ST;die-hard reformer;High;kaiserreich_RSI_Bianchi;x
508004;Head of State;Palmiro Togliatti;1936;1965;1999;LE;syndicalist demagogue;High;M3021;x
508005;Head of State;Alceste De Ambris;1936;1950;1999;LE;syndicalist demagogue;High;kaiserreich_ITA_De_Ambris;x
508006;Head of State;Giuseppe Di Vittorio;1936;1958;1999;LE;ruthless powermonger;High;M3120;x
508007;Head of State;Angelo Tasca;1936;1961;1999;LE;insignificant layman;High;kaiserreich angelotasca;x
508008;Head of State;Giacomo Matteotti;1936;1960;1999;LWR;pig-headed isolationist;High;kaiserreich_RSI_Matteotti;x
508009;Head of State;Gaetano Salvemini;1936;1958;1999;LWR;Benevolent Gentleman;High;kaiserreich_RSI_Salvemini;x
508010;Head of State;Giuseppe Romita;1936;1959;1999;LWR;weary stiffneck;High;M3105;x
508011;Head of State;Olindo Vernocchi;1936;1949;1999;LWR;powerhungry demagogue;High;kaiserreich_Olindo_Vernocchi;x
508021;Head of Government;Benito Mussolini;1936;1959;1999;ST;Old General;High;kaiserreich_RSI_Benito_Mussolini;x
508022;Head of Government;Michele Bianchi;1936;1945;1999;ST;Ambitious Union Boss;High;kaiserreich_RSI_Bianchi;x
508023;Head of Government;Edmondo Rossoni;1936;1966;1999;ST;flamboyant tough guy;High;kaiserreich_Edmondo_Rossoni;x
508024;Head of Government;Leandro Arpinati;1936;1968;1999;ST;political protege;High;kaiserreich_Leandro_Arpinati;x
508025;Head of Government;Antonio Gramsci;1936;1967;1999;LE;Silent Workhorse;High;kaiserreich antoniogramsci;x
508026;Head of Government;Luigi 1981;1936;1981;1999;LE;Political Protege;High;M3022;x
508027;Head of Government;Alceste De Ambris;1936;1950;1999;LE;Ambitious Union Boss;High;kaiserreich_ITA_De_Ambris;x
