SAF;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
70002;Head of Government;James Hertzog;1936;1964;1999;PA;Old General;High;M70002;x
70003;Foreign Minister;James Hertzog;1936;1964;1999;PA;General Staffer;Very High;M70002;x
70004;Minister of Armament;Jan Hendrik Hofmeyr;1936;1964;1999;ML;Laissez-Faire Capitalist;Very High;kaiserreich_SAF_Hofmeyr;x
70005;Minister of Security;Jan C. Smuts;1936;1964;1999;SC;Man of the People;High;M70005;x
70006;Head of Military Intelligence;Jan C. Smuts;1936;1964;1999;SC;Logistics Specialist;Medium;M70005;x
70007;Chief of Staff;Pierre van Ryneveld;1936;1964;1999;SC;School of Manoeuvre;Very High;M70007;x
70008;Chief of Army;Jan C. Smuts;1936;1964;1999;SC;Armoured Spearhead Doctrine;Very High;M70005;x
70009;Chief of Navy;Pierre Oliver-Knoll;1936;1964;1999;SC;Open Seas Doctrine;Very High;M70009;x
70010;Chief of Air Force;Pierre van Ryneveld;1936;1964;1999;SC;Air Superiority Doctrine;Very High;M70007;x
70029;Head of Government;D. F. Malan;1936;1964;1999;FA;Flamboyant Tough Guy;High;M70029;x
70030;Head of Government;Jan C. Smuts;1936;1964;1999;SC;Backroom Backstabber;High;M70005;x
70031;Foreign Minister;Gert Cronje;1936;1964;1999;PA;Iron Fisted Brute;High;M70031;x
70032;Foreign Minister;Eric H. Louw;1936;1964;1999;PA;Biased Intellectual;Very High;M70032;x
70033;Foreign Minister;Reginald Blankenberg;1936;1964;1999;SC;Biased Intellectual;High;M70033;x
70034;Foreign Minister;Graham Botha;1936;1964;1999;ML;Apologetic Clerk;High;M70034;x
70035;Foreign Minister;Jan C. Smuts;1936;1964;1999;SC;Ideological Crusader;Very High;M70005;x
70036;Foreign Minister;E.G. Jansen;1936;1964;1999;PA;Great Compromiser;High;M70036;x
70037;Foreign Minister;Pierre van Ryneveld;1936;1964;1999;SC;General Staffer;Very High;M70007;x
70038;Foreign Minister;L. J. du Plessis;1936;1964;1999;ML;Ideological Crusader;High;M70013;x
70039;Foreign Minister;D. F. Malan;1936;1964;1999;FA;The Cloak N Dagger Schemer;medium;M70029;x
70040;Minister of Armament;C. de Weenburg du Toit;1936;1964;1999;PA;Tank Proponent;Medium;M70015;x
70041;Minister of Armament;J. G. Strijdom;1936;1964;1999;FA;Resource Industrialist;Very High;M70041;x
70042;Minister of Armament;James Hertzog;1936;1964;1999;PA;Infantry Proponent;Very High;M70002;x
70043;Minister of Armament;S.P. Le Roux;1936;1964;1999;FA;Administrative Genius;Low;M70043;x
70045;Minister of Armament;H. J. van der Byl;1936;1964;1999;ML;Theoretical Scientist;Very High;M70045;x
70047;Minister of Armament;Adolph Malan;1936;1964;1999;ML;Air to Ground Proponent;Low;M70047;x
70048;Minister of Armament;Charles T. te Water;1936;1964;1999;SC;Resource Industrialist;High;M70048;x
70049;Minister of Armament;Oswald Pirow;1936;1964;1999;FA;Military Entrepreneur;Medium;M70014;x
70050;Minister of Armament;Cornelis van Zuigenbrogge;1936;1964;1999;SC;Submarine Proponent;Very High;M70050;x
70051;Minister of Armament;Pierre Oliver-Knoll;1936;1964;1999;SC;Battle Fleet Proponent;Very High;M70009;x
70052;Minister of Armament;P.O. Sauer;1936;1964;1999;PA;laissez-faire capitalist;Very High;M70052;x
70053;Minister of Armament;Marinus van Osterkemp;1936;1964;1999;SC;Air to Sea Proponent;Low;M70053;x
70055;Minister of Security;Hendrijk F. Verwoerd;1936;1964;1999;FA;Prince of Terror;High;M70055;x
70056;Minister of Security;N. J. van der Merwe;1936;1964;1999;PA;Compassionate Gentleman;High;M70056;x
70057;Minister of Security;C. R. Swart;1936;1964;1999;PA;Silent Lawyer;Very High;M70057;x
70058;Minister of Security;C. F. Stallard;1936;1964;1999;ML;Silent Lawyer;High;M70058;x
70059;Minister of Security;T.E. Dönges;1936;1964;1999;PA;Man of the People;High;M70059;x
70060;Minister of Security;D. F. Malan;1936;1964;1999;FA;Crime Fighter;Low;M70029;x
70061;Minister of Security;E.G. Jansen;1936;1964;1999;PA;Silent Lawyer;High;M70036;x
70062;Minister of Security;J. G. Strijdom;1936;1964;1999;FA;Back Stabber;Very High;M70041;x
70063;Minister of Security;F.C. Erasmus;1936;1964;1999;FA;Efficient Sociopath;Very High;M70063;x
70064;Minister of Security;C. de Weenburg du Toit;1936;1964;1999;PA;Crime Fighter;Medium;M70015;x
70065;Head of Military Intelligence;B.J. Schoeman;1936;1964;1999;PA;Logistics Specialist;Medium;M70065;x
70066;Head of Military Intelligence;Jeannot de la Tourier;1936;1964;1999;SC;Naval Intelligence Specialist;Very High;M70066;x
70067;Head of Military Intelligence;Seymour Jacklin;1936;1964;1999;SC;Political Specialist;Medium;M70016;x
70068;Head of Military Intelligence;Eric Louw;1936;1964;1999;SC;Technical Specialist;Very High;M70032;x
70069;Head of Military Intelligence;C. R. Swart;1936;1964;1999;PA;Dismal Enigma;Very High;M70057;x
