SAU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
63001;Head of State;Emir Faisal bin Hussein;1936;1964;1999;PA;Benevolent Gentleman;High;SAUFai;X
63002;Head of State;Abdullah bin Hussein;1936;1964;1999;PA;Die-hard Reformer;High;SAUAbd;X
63003;Head of State;Zeid bin Hussein;1936;1964;1999;PA;Stern Imperialist;High;SAUZei;X
63004;Head of State;Ghazi bin Faisal;1936;1964;1999;PA;Popular Figurehead;High;SAUGha;X
63005;Head of State;Faisal II bin Ghazi;1953;1964;1999;PA;Insignificant Layman;High;SAUFaiII;X
63006;Head of Government;Jafar al-Askari;1936;1964;1999;SC;Flamboyant Tough Guy;High;k_AlAskari;X
63007;Head of Government;Nuri as Said;1936;1964;1999;PA;Old General;High;SAUNur;X
63008;Head of Government;Yusuf Al-Azmah;1936;1964;1999;SC;Flamboyant Tough Guy;High;SAUYus;X
63009;Head of Government;Rustum Haidar;1936;1964;1999;PA;Naive Optimist;Medium;SAURus;X
63010;Head of Government;Jamil al Midfai;1936;1964;1999;PA;Corporate Suit;High;SAUJam;X
63011;Head of Government;Yasin Hilmi Salman;1936;1964;1999;SC;Naive Optimist;High;SAUYas;X
63012;Head of Government;Jamil Mardam Bey;1936;1964;1999;SC;Happy Amateur;High;SAUMar;X
63013;Foreign Minister;Jamil al Midfai;1936;1964;1999;PA;Apologetic Clerk;Medium;SAUJam;X
63014;Foreign Minister;Jafar al-Askari;1936;1964;1999;SC;General Staffer;High;k_AlAskari;X
63015;Foreign Minister;Nesi el Bikri;1936;1964;1999;PA;Iron Fisted Brute;Medium;SAUNes;X
63016;Foreign Minister;Abdullah bin Hussein;1936;1964;1999;PA;Great Compromiser;High;SAUAbd;X
63017;Foreign Minister;Rustum Haidar;1936;1964;1999;PA;Ideological Crusader;Medium;SAURus;X
63018;Foreign Minister;Nuri as Said;1936;1964;1999;PA;General Staffer;Medium;SAUNur;X
63019;Foreign Minister;Mawlid al Mukhlis;1936;1964;1999;PA;Biased Intellectual;High;SAUMaw;X
63020;Minister of Armament;Ghazi bin Faisal;1936;1964;1999;SC;Laissez-Faire Capitalist;High;SAUGha;X
63021;Minister of Armament;Nuri as Said;1936;1964;1999;PA;Military Entrepreneur;Medium;SAUNur;X
63022;Minister of Armament;Jamil al Midfai;1936;1964;1999;PA;Tank Proponent;Medium;SAUJam;X
63023;Minister of Armament;Yusuf Al-Azmah;1936;1964;1999;PA;Infantry Proponent;Medium;SAUYus;X
63024;Minister of Armament;Sultan al-Atrash;1936;1964;1999;PA;Resource Industrialist;High;SAUSul;X
63025;Minister of Armament;Faris al-Khoury;1936;1964;1999;PA;Administrative Genius;High;SAUFar;X
63026;Minister of Armament;Jamil Mardam Bey;1936;1964;1999;SC;Bank President;High;SAUMar;X
63027;Minister of Security;Abdullah bin Hussein;1936;1964;1999;PA;Compassionate Gentleman;High;SAUAbd;X
63028;Minister of Security;Bakr Sidqi;1936;1964;1999;PA;Prince of Terror;High;SAUSid;X
63029;Minister of Security;Nuri as Said;1936;1964;1999;PA;Silent Lawyer;Medium;SAUNur;X
63030;Minister of Security;Rustum Haidar;1936;1964;1999;PA;Man of the People;Medium;SAURus;X
63031;Minister of Security;Jamil al Midfai;1936;1964;1999;PA;Silent Lawyer;Medium;SAUJam;X
63032;Minister of Security;Jamil al-Ulshi;1936;1964;1999;PA;Crime Fighter;High;SAUUls;X
63033;Head of Military Intelligence;Ronald Storrs;1936;1964;1999;SC;Logistics Specialist;High;SAUSto;X
63034;Head of Military Intelligence;Rustum Haidar;1936;1964;1999;PA;Political Specialist;Medium;SAURus;X
63035;Head of Military Intelligence;Bakr Sidqi;1936;1964;1999;PA;Dismal Enigma;Medium;SAUSid;X
63036;Head of Military Intelligence;Tahsin Qadri;1936;1964;1999;PA;Technical Specialist;Medium;k_TahsinQadri;X
63037;Head of Military Intelligence;Salman bin Hamad Al Khalifa;1936;1964;1999;PA;Industrial Specialist;Medium;SAUSalm;X
63038;Chief of Staff;Yusuf Al-Azmah;1936;1964;1999;PA;School of Psychology;Medium;SAUYus;X
63039;Chief of Staff;Nuri as-Said;1936;1964;1999;PA;School of Mass Combat;Medium;SAUNur;X
63040;Chief of Staff;Jamil al Midfai;1936;1964;1999;PA;School of Fire Support;Medium;SAUJam;X
63041;Chief of Staff;Zeid bin Hussein;1936;1964;1999;PA;School of Psychology;High;SAUZei;X
63042;Chief of Staff;Emir Faisal bin Hussein;1936;1964;1999;PA;School of Manoeuvre;High;SAUFai;X
63043;Chief of Army;Nuri as Said;1936;1964;1999;PA;Guns and Butter Doctrine;Medium;SAUNur;X
63044;Chief of Army;Abdullah bin Hussein;1936;1964;1999;PA;Decisive Battle Doctrine;High;SAUAbd;X
63045;Chief of Army;Jafar al-Askari;1936;1964;1999;PA;Static Defence Doctrine;High;k_AlAskari;X
63046;Chief of Army;Yusuf Al-Azmah;1936;1964;1999;PA;Armoured Spearhead Doctrine;High;SAUYus;X
63047;Chief of Army;Ronald Storrs;1936;1964;1999;SC;Armoured Spearhead Doctrine;High;SAUSto;X
63048;Chief of Army;Mawlid al Mukhlis;1936;1964;1999;PA;Elastic Defence Doctrine;High;SAUMaw;X
63049;Chief of Army;Saleh al-Ali;1936;1964;1999;PA;Decisive Battle Doctrine;High;SAUSal;X
