SER;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
547001;Head of State;Milan Nedic;1936;1964;1999;FA;Resigned Generalissimo;High;SER-KR_Milan_Nedic;X
547002;Head of Government;Dragisa Cvetkovic;1936;1964;1999;PA;Corporate Suit;High;M20032;X
547003;Foreign Minister;Aleksandar Cincar-Markovic;1936;1964;1999;PA;Apologetic Clerk;High;SER-KR_Aleksandar_Cincar-Markovic;X
547004;Minister of Armament;Milan Stojadinovic;1936;1964;1999;PA;Resource Industrialist;High;kaimilstojd;X
547005;Minister of Security;Dragisa Cvetkovic;1936;1964;1999;PA;Silent Lawyer;High;M20032;X
547006;Head of Military Intelligence;Borivoje Josimovic;1936;1964;1999;PA;Logistics Specialist;High;L46013;X
547007;Chief of Staff;Petar Kosic;1936;1964;1999;PA;School of Defence;High;SER-KR_Petar_Kosic;X
547008;Chief of Army;Milutin Nedic;1936;1964;1999;PA;Decisive Battle Doctrine;High;L46026;X
547009;Chief of Navy;Under Army Command;1936;1964;1999;PA;Base Control Doctrine;High;SER-KR_Navy;X
547010;Chief of Air Force;Dusan Simovic;1936;1964;1999;PA;Air Superiority Doctrine;High;L46060;X
547011;Head of State;Filip Filipovic;1936;1964;1999;LE;Syndicalist Demagogue;High;SER-KR_Filip_Filipovic;X
547012;Head of State;Jasa Prodanovic;1936;1964;1999;SL;Popular Figurehead;High;SER-KR_Jasa_Prodanovic;X
547013;Head of Government;Sima Markovic;1936;1964;1999;LE;Silent Workhorse;High;SER-KR_Sima_Markovic;X
547014;Head of Government;Milan Grol;1936;1964;1999;SL;Naive Optimist;High;M20042;X
547015;Foreign Minister;Bogoljub Jevtic;1936;1964;1999;PA;Ideological Crusader;High;M20004;X
547016;Foreign Minister;Mosa Pijade;1936;1964;1999;LE;Biased Intellectual;High;SER-KR_Mosa_Pijade;X
547017;Foreign Minister;Milan Grol;1936;1964;1999;SL;Biased Intellectual;High;M20042;X
547018;Foreign Minister;Momcilo Nincic;1936;1964;1999;SC;Great Compromiser;High;kaimocninc;X
547019;Minister of Armament;Bogdan Markovic;1936;1964;1999;SC;Bank President;High;SER-KR_Bogdan_Markovic;X
