SIA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
62001;Head of State;Rama VIII;1936;1964;1999;PA;Popular Figurehead;High;M62001;X
62002;Head of Government;Phot Phahonyothin;1936;1947;1999;PA;Old General;High;M62002;X
62003;Foreign Minister;Ha Samptasiri;1936;1949;1999;PA;Apologetic Clerk;Medium;M62003;X
62004;Minister of Armament;Phot Phahonyothin;1936;1947;1999;SC;Infantry Proponent;Medium;M62002;X
62007;Chief of Staff;Luang Phibunsongkhram;1936;1964;1999;PA;School of Fire Support;Medium;M62007;X
62008;Chief of Army;Luang Phibunsongkhram;1936;1964;1999;PA;Decisive Battle Doctrine;High;M62007;X
62010;Chief of Air Force;Muni M. Vechayanrangsarit;1937;1970;1999;ML;Army Aviation Doctrine;High;M62010;X
62031;Head of State;H.R.H. Prince Rangsit of Chainand;1942;1964;1999;PA;Autocratic Charmer;High;M62031;X
62032;Head of State;Rama VIII;1945;1964;1999;SC;Popular Figurehead;High;M62001;X
62033;Head of State;Rama IX;1946;1964;1999;PA;Benevolent Gentleman;High;M62011;X
62035;Head of Government;Luang Phibunsongkhram;1938;1964;1999;FA;Old General;High;M62007;X
62036;Head of Government;Khuang Aphaiwong;1944;1968;1999;PA;Silent Workhorse;High;M62036;X
62037;Head of Government;Thawee Punyaketu;1945;1964;1999;SC;Smiling Oilman;High;M62015;X
62038;Head of Government;Seni Pramoja;1946;1964;1999;SC;Backroom Backstabber;High;M62012;X
62039;Head of Government;Khuang Aphaiwong;1946;1968;1999;ML;Silent Workhorse;High;M62036;X
62041;Head of Government;Thawon Thamrongnawasawat;1946;1964;1999;PA;Political Protege;High;M62029;X
62042;Head of Government;Phot Phahonyothin;1939;1947;1999;SC;Old General;High;M62002;X
62043;Foreign Minister;Phraya Chitnasongkhla;1938;1964;1999;FA;Apologetic Clerk;Medium;M62026;X
62044;Foreign Minister;Wichit Wichitwathakarn;1939;1962;1999;FA;Ideological Crusader;Very High;M62044;X
62045;Foreign Minister;Luang Phibunsongkhram;1943;1964;1999;FA;General Staffer;High;M62007;X
62047;Foreign Minister;Atthakitti Banomyong;1944;1964;1999;PA;Biased Intellectual;Medium;M62047;X
62048;Foreign Minister;Thawee Punyaketu;1945;1964;1999;SC;General Staffer;Medium;M62015;X
62049;Foreign Minister;Seni Pramoja;1945;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M62012;X
62050;Foreign Minister;Direk Jayanama;1941;1967;1999;ML;Great Compromiser;Low;M62014;X
62051;Foreign Minister;Tianliang Huntrakool;1933;1964;1999;PA;Apologetic Clerk;Medium;M62051;X
62052;Foreign Minister;Thawon Thamrongnawasawat;1946;1964;1999;PA;Iron Fisted Brute;Medium;M62029;X
62054;Minister of Armament;Phya Bidadhkosha;1937;1964;1999;PA;Administrative Genius;Medium;M62054;X
62055;Minister of Armament;Phraya Wichcitcholathai;1936;1959;1999;PA;Battle Fleet Proponent;Medium;M62055;X
62057;Minister of Armament;Vivadhanajaya Jayanta;1936;1961;1999;SC;Bank President;Medium;MVivadhanajaya_Jayanta;X
62058;Minister of Armament;Muni M. Vechayanrangsarit;1937;1970;1999;ML;Air to Ground Proponent;High;M62010;X
62059;Minister of Armament;Phya Burinavarasth;1941;1964;1999;SC;Resource Industrialist;Medium;M62059;X
62060;Minister of Armament;H.R.H. Prince Charoon;1943;1964;1999;FA;Military Entrepreneur;Medium;M62060;X
62061;Minister of Armament;Phraya Chalerm Akat;1936;1956;1999;PA;Air to Ground Proponent;Medium;M62061;X
62062;Minister of Armament;Phraya Preechacholayudha;1936;1964;1999;SC;Battle Fleet Proponent;Medium;M62019;X
62063;Minister of Armament;Phraya Thayarnpikart;1936;1964;1999;PA;Air Superiority Proponent;Medium;M62063;X
62064;Minister of Armament;Direk Jayanama;1945;1967;1999;ML;Laissez-Faire Capitalist;Low;M62014;X
62066;Minister of Armament;Khuang Aphaiwong;1941;1968;1999;ML;Construction Magnate;Medium;M62036;X
62067;Minister of Armament;A.G. Ellis;1936;1937;1999;SC;Theoretical Scientist;Medium;M62016;X
62068;Minister of Armament;Tianliang Huntrakool;1946;1964;1999;PA;Motorisation Proponent;Medium;M62051;X
62069;Minister of Armament;Luang Sinthusongkhramchai;1942;1970;1999;PA;Submarine Proponent;High;M62069;X
62070;Minister of Armament;Pao Pienlert Boripanyutakit;1936;1970;1999;PA;Military Entrepreneur;Medium;M62024;X
62072;Minister of Security;Chuei Maghaviphulaya;1936;1964;1999;PA;Efficient Sociopath;Medium;M62072;X
62073;Minister of Security;Luang Phibunsongkhram;1938;1964;1999;FA;Efficient Sociopath;High;M62007;X
62074;Minister of Security;Phot Phahonyothin;1939;1947;1999;SC;Crime Fighter;Medium;M62002;X
62075;Minister of Security;Srisena Sampatisiri;1943;1964;1999;FA;Silent Lawyer;Medium;M62075;X
62076;Minister of Security;Ha Samptasiri;1944;1949;1999;PA;Back Stabber;Medium;M62003;X
62077;Minister of Security;Seni Pramoja;1944;1964;1999;SC;Compassionate Gentleman;Medium;M62012;X
62078;Minister of Security;Thawee Punyaketu;1945;1964;1999;SC;Man of the People;Medium;M62015;X
62079;Minister of Security;Chit Munsilpa Sinadyodharaksa;1945;1964;1999;SC;Prince of Terror;Medium;M62079;X
62081;Minister of Security;Chuang Chawengsangsongkram;1946;1964;1999;PA;Silent Lawyer;Medium;M62081;X
62082;Minister of Security;Thawon Thamrongnawasawat;1946;1964;1999;PA;Efficient Sociopath;Medium;M62029;X
62083;Minister of Security;Bung Suphachahlasai;1946;1964;1999;PA;Compassionate Gentleman;Medium;M62083;X
62084;Head of Military Intelligence;A.G. Ellis;1937;1964;1999;SC;Technical Specialist;Medium;M62016;X
62085;Head of Military Intelligence;Luang Phibunsongkhram;1938;1964;1999;FA;Logistics Specialist;Medium;M62007;X
62086;Head of Military Intelligence;Sawat Phutianands;1943;1964;1999;FA;Naval Intelligence Specialist;Medium;M62086;X
62087;Head of Military Intelligence;Serm Khrishnamra;1944;1964;1999;PA;Industrial Specialist;Medium;M62057;X
62088;Head of Military Intelligence;Phraya Chitnasongkhla;1945;1964;1999;SC;Political Specialist;Medium;M62026;X
62089;Head of Military Intelligence;Chuang Chawengsangsongkram;1945;1964;1999;ML;Dismal Enigma;Medium;M62081;X
62091;Chief of Staff;Mangkon Phromyothi;1938;1964;1999;FA;School of Mass Combat;Medium;M62025;X
62092;Chief of Staff;Luang Sinthusongkhramchai;1936;1970;1999;PA;Commando Doctrine Staff;High;M62069;X
62093;Chief of Staff;Chit Munsilpa Sinadyodharaksa;1945;1964;1999;SC;School of Defence;Low;M62079;X
62094;Chief of Staff;Jira Wichitsongkhram;1945;1970;1999;ML;School of Manoeuvre;High;M62094;X
62095;Chief of Staff;Suk Nakrob;1946;1964;1999;PA;School of Fire Support;Medium;M62095;X
