SIE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
554001;Head of State;Sir Henry Monck-Mason Moore;1936;1964;1999;SC;Ruthless Powermonger;High;M550004;x
554002;Head of Government;Sir Douglas Jardine;1936;1964;1999;SC;Backroom Backstabber;High;M554002;x
554003;Foreign Minister;Sir Hubert Craddock Stevenson;1936;1964;1999;SC;Great Compromiser;High;M554003;x
554004;Minister of Armament;James Albert Hall;1936;1964;1999;SC;Air Superiority Proponent;Medium;M554004;x
554005;Minister of Security;John Herbert Duncan;1936;1964;1999;SC;Man of the People;Medium;M554005;x
554006;Head of Military Intelligence;Kenneth McMurphy-Mills;1936;1964;1999;SC;Technical Specialist;Medium;M554006;x
554007;Chief of Staff;John P. Mooreshead;1936;1964;1999;SC;School of Manoeuvre;Medium;M554007;x
554008;Chief of Army;Robert Richardson;1936;1964;1999;SC;Armoured Spearhead Doctrine;Medium;M554008;x
554009;Chief of Navy;Frank Gomersall;1936;1964;1999;SC;Open Seas Doctrine;Medium;M554009;x
554010;Chief of Air Force;Frederick Stevenson;1936;1964;1999;SC;Naval Aviation Doctrine;Medium;M554010;x
554011;Head of State;Sir Milton Margai;1936;1964;1999;SD;Weary Stiffneck;High;M554011;x
554012;Head of Government;Sir Albert Margai;1936;1964;1999;SD;Political Protege;High;M554012;x
554013;Foreign Minister;Eustace Taylor Cummings;1936;1964;1999;SD;Ideological Crusader;High;M554013;x
554014;Minister of Armament;Sir Banja Tejan-sie;1941;1964;1999;SC;Resource Industrialist;Medium;M554014;x
554015;Minister of Armament;Lamina Sankoh;1936;1964;1999;SD;Military Entrepreneur;Medium;M554015;x
554016;Minister of Security;John Karefa Smart;1936;1964;1999;SD;Crime Fighter;Medium;M554016;x
554017;Head of Military Intelligence;Kande Bureh;1936;1964;1999;SD;Logistics Specialist;Medium;M554017;x
554018;Head of Military Intelligence;Mohammed Sanusi Mustapha;1941;1964;1999;SD;Industrial Specialist;Medium;M554018;x
554019;Chief of Staff;Rafiji Manareh;1936;1964;1999;SD;School of Fire Support;Medium;M554019;x
554020;Chief of Army;Sanak Stephens;1936;1964;1999;SD;Guns and Butter Doctrine;Medium;M554020;x
554021;Chief of Navy;Amadu Wurie;1936;1964;1999;SD;Base Control Doctrine;Medium;M554021;x
554022;Chief of Air Force;Ella Koblo Gulama;1936;1964;1999;SD;Army Aviation Doctrine;Medium;M554022;x
554023;Head of State;Under German administration;1963;1964;1999;PA;Weary Stiffneck;High;kai_gercoladmi;x
554024;Head of State;Under German administration;1963;1964;1999;SC;Weary Stiffneck;High;kai_gercoladmi;x
